date,NXPI,isPartial
2016-08-21,21,False
2016-08-28,18,False
2016-09-04,14,False
2016-09-11,15,False
2016-09-18,14,False
2016-09-25,44,False
2016-10-02,53,False
2016-10-09,19,False
2016-10-16,39,False
2016-10-23,70,False
2016-10-30,26,False
2016-11-06,16,False
2016-11-13,17,False
2016-11-20,12,False
2016-11-27,9,False
2016-12-04,13,False
2016-12-11,10,False
2016-12-18,12,False
2016-12-25,10,False
2017-01-01,6,False
2017-01-08,7,False
2017-01-15,11,False
2017-01-22,17,False
2017-01-29,17,False
2017-02-05,14,False
2017-02-12,11,False
2017-02-19,16,False
2017-02-26,11,False
2017-03-05,16,False
2017-03-12,4,False
2017-03-19,7,False
2017-03-26,8,False
2017-04-02,10,False
2017-04-09,8,False
2017-04-16,7,False
2017-04-23,4,False
2017-04-30,7,False
2017-05-07,10,False
2017-05-14,9,False
2017-05-21,11,False
2017-05-28,13,False
2017-06-04,3,False
2017-06-11,4,False
2017-06-18,9,False
2017-06-25,10,False
2017-07-02,5,False
2017-07-09,8,False
2017-07-16,4,False
2017-07-23,10,False
2017-07-30,14,False
2017-08-06,17,False
2017-08-13,4,False
2017-08-20,7,False
2017-08-27,11,False
2017-09-03,7,False
2017-09-10,6,False
2017-09-17,11,False
2017-09-24,8,False
2017-10-01,9,False
2017-10-08,12,False
2017-10-15,9,False
2017-10-22,25,False
2017-10-29,20,False
2017-11-05,18,False
2017-11-12,9,False
2017-11-19,10,False
2017-11-26,16,False
2017-12-03,15,False
2017-12-10,12,False
2017-12-17,6,False
2017-12-24,6,False
2017-12-31,11,False
2018-01-07,12,False
2018-01-14,16,False
2018-01-21,5,False
2018-01-28,15,False
2018-02-04,25,False
2018-02-11,12,False
2018-02-18,22,False
2018-02-25,21,False
2018-03-04,10,False
2018-03-11,12,False
2018-03-18,14,False
2018-03-25,11,False
2018-04-01,10,False
2018-04-08,18,False
2018-04-15,21,False
2018-04-22,17,False
2018-04-29,31,False
2018-05-06,29,False
2018-05-13,43,False
2018-05-20,25,False
2018-05-27,38,False
2018-06-03,45,False
2018-06-10,51,False
2018-06-17,56,False
2018-06-24,39,False
2018-07-01,19,False
2018-07-08,33,False
2018-07-15,34,False
2018-07-22,100,False
2018-07-29,31,False
2018-08-05,16,False
2018-08-12,21,False
2018-08-19,15,False
2018-08-26,19,False
2018-09-02,13,False
2018-09-09,29,False
2018-09-16,12,False
2018-09-23,17,False
2018-09-30,17,False
2018-10-07,17,False
2018-10-14,16,False
2018-10-21,22,False
2018-10-28,27,False
2018-11-04,17,False
2018-11-11,16,False
2018-11-18,10,False
2018-11-25,12,False
2018-12-02,14,False
2018-12-09,16,False
2018-12-16,5,False
2018-12-23,10,False
2018-12-30,9,False
2019-01-06,14,False
2019-01-13,23,False
2019-01-20,17,False
2019-01-27,15,False
2019-02-03,24,False
2019-02-10,19,False
2019-02-17,13,False
2019-02-24,15,False
2019-03-03,18,False
2019-03-10,12,False
2019-03-17,13,False
2019-03-24,11,False
2019-03-31,21,False
2019-04-07,18,False
2019-04-14,12,False
2019-04-21,11,False
2019-04-28,31,False
2019-05-05,16,False
2019-05-12,7,False
2019-05-19,12,False
2019-05-26,11,False
2019-06-02,16,False
2019-06-09,14,False
2019-06-16,11,False
2019-06-23,4,False
2019-06-30,11,False
2019-07-07,11,False
2019-07-14,14,False
2019-07-21,14,False
2019-07-28,16,False
2019-08-04,8,False
2019-08-11,11,False
2019-08-18,7,False
2019-08-25,9,False
2019-09-01,13,False
2019-09-08,12,False
2019-09-15,13,False
2019-09-22,8,False
2019-09-29,5,False
2019-10-06,8,False
2019-10-13,7,False
2019-10-20,7,False
2019-10-27,24,False
2019-11-03,23,False
2019-11-10,12,False
2019-11-17,12,False
2019-11-24,8,False
2019-12-01,7,False
2019-12-08,18,False
2019-12-15,15,False
2019-12-22,13,False
2019-12-29,12,False
2020-01-05,15,False
2020-01-12,14,False
2020-01-19,15,False
2020-01-26,13,False
2020-02-02,21,False
2020-02-09,15,False
2020-02-16,9,False
2020-02-23,16,False
2020-03-01,21,False
2020-03-08,19,False
2020-03-15,21,False
2020-03-22,13,False
2020-03-29,15,False
