date,MCK,isPartial
2016-08-21,39,False
2016-08-28,28,False
2016-09-04,38,False
2016-09-11,33,False
2016-09-18,37,False
2016-09-25,38,False
2016-10-02,31,False
2016-10-09,35,False
2016-10-16,43,False
2016-10-23,66,False
2016-10-30,49,False
2016-11-06,72,False
2016-11-13,40,False
2016-11-20,29,False
2016-11-27,32,False
2016-12-04,44,False
2016-12-11,42,False
2016-12-18,40,False
2016-12-25,39,False
2017-01-01,34,False
2017-01-08,44,False
2017-01-15,50,False
2017-01-22,44,False
2017-01-29,40,False
2017-02-05,48,False
2017-02-12,36,False
2017-02-19,38,False
2017-02-26,40,False
2017-03-05,42,False
2017-03-12,33,False
2017-03-19,40,False
2017-03-26,38,False
2017-04-02,25,False
2017-04-09,36,False
2017-04-16,39,False
2017-04-23,57,False
2017-04-30,86,False
2017-05-07,39,False
2017-05-14,49,False
2017-05-21,51,False
2017-05-28,47,False
2017-06-04,32,False
2017-06-11,36,False
2017-06-18,37,False
2017-06-25,37,False
2017-07-02,33,False
2017-07-09,37,False
2017-07-16,37,False
2017-07-23,42,False
2017-07-30,41,False
2017-08-06,32,False
2017-08-13,35,False
2017-08-20,36,False
2017-08-27,39,False
2017-09-03,43,False
2017-09-10,43,False
2017-09-17,35,False
2017-09-24,43,False
2017-10-01,46,False
2017-10-08,28,False
2017-10-15,36,False
2017-10-22,52,False
2017-10-29,57,False
2017-11-05,55,False
2017-11-12,44,False
2017-11-19,46,False
2017-11-26,43,False
2017-12-03,42,False
2017-12-10,41,False
2017-12-17,37,False
2017-12-24,28,False
2017-12-31,33,False
2018-01-07,38,False
2018-01-14,50,False
2018-01-21,36,False
2018-01-28,45,False
2018-02-04,54,False
2018-02-11,43,False
2018-02-18,40,False
2018-02-25,46,False
2018-03-04,38,False
2018-03-11,35,False
2018-03-18,41,False
2018-03-25,37,False
2018-04-01,38,False
2018-04-08,40,False
2018-04-15,34,False
2018-04-22,44,False
2018-04-29,29,False
2018-05-06,41,False
2018-05-13,38,False
2018-05-20,37,False
2018-05-27,38,False
2018-06-03,29,False
2018-06-10,37,False
2018-06-17,33,False
2018-06-24,36,False
2018-07-01,46,False
2018-07-08,39,False
2018-07-15,33,False
2018-07-22,43,False
2018-07-29,42,False
2018-08-05,27,False
2018-08-12,30,False
2018-08-19,35,False
2018-08-26,46,False
2018-09-02,43,False
2018-09-09,29,False
2018-09-16,44,False
2018-09-23,38,False
2018-09-30,48,False
2018-10-07,42,False
2018-10-14,47,False
2018-10-21,38,False
2018-10-28,33,False
2018-11-04,37,False
2018-11-11,33,False
2018-11-18,32,False
2018-11-25,35,False
2018-12-02,37,False
2018-12-09,43,False
2018-12-16,35,False
2018-12-23,31,False
2018-12-30,35,False
2019-01-06,42,False
2019-01-13,37,False
2019-01-20,36,False
2019-01-27,43,False
2019-02-03,43,False
2019-02-10,48,False
2019-02-17,38,False
2019-02-24,41,False
2019-03-03,47,False
2019-03-10,38,False
2019-03-17,36,False
2019-03-24,34,False
2019-03-31,42,False
2019-04-07,38,False
2019-04-14,38,False
2019-04-21,34,False
2019-04-28,40,False
2019-05-05,45,False
2019-05-12,38,False
2019-05-19,40,False
2019-05-26,33,False
2019-06-02,33,False
2019-06-09,43,False
2019-06-16,38,False
2019-06-23,33,False
2019-06-30,35,False
2019-07-07,32,False
2019-07-14,36,False
2019-07-21,46,False
2019-07-28,36,False
2019-08-04,49,False
2019-08-11,34,False
2019-08-18,37,False
2019-08-25,37,False
2019-09-01,42,False
2019-09-08,41,False
2019-09-15,44,False
2019-09-22,36,False
2019-09-29,42,False
2019-10-06,38,False
2019-10-13,35,False
2019-10-20,35,False
2019-10-27,42,False
2019-11-03,43,False
2019-11-10,50,False
2019-11-17,34,False
2019-11-24,43,False
2019-12-01,40,False
2019-12-08,40,False
2019-12-15,33,False
2019-12-22,28,False
2019-12-29,33,False
2020-01-05,38,False
2020-01-12,47,False
2020-01-19,36,False
2020-01-26,39,False
2020-02-02,54,False
2020-02-09,45,False
2020-02-16,44,False
2020-02-23,50,False
2020-03-01,57,False
2020-03-08,37,False
2020-03-15,35,False
2020-03-22,37,False
2020-03-29,40,False
2020-04-05,37,False
2020-04-12,30,False
2020-04-19,36,False
2020-04-26,36,False
2020-05-03,37,False
2020-05-10,37,False
2020-05-17,37,False
2020-05-24,33,False
2020-05-31,39,False
2020-06-07,32,False
2020-06-14,33,False
2020-06-21,40,False
2020-06-28,38,False
2020-07-05,47,False
2020-07-12,52,False
2020-07-19,35,False
2020-07-26,37,False
2020-08-02,38,False
2020-08-09,50,False
2020-08-16,47,False
2020-08-23,45,False
2020-08-30,51,False
2020-09-06,43,False
2020-09-13,46,False
2020-09-20,52,False
2020-09-27,52,False
2020-10-04,49,False
2020-10-11,40,False
2020-10-18,47,False
2020-10-25,79,False
2020-11-01,66,False
2020-11-08,100,False
2020-11-15,77,False
2020-11-22,58,False
2020-11-29,54,False
2020-12-06,57,False
2020-12-13,66,False
2020-12-20,42,False
2020-12-27,48,False
2021-01-03,62,False
2021-01-10,46,False
2021-01-17,61,False
2021-01-24,53,False
2021-01-31,58,False
2021-02-07,59,False
