date,CBOE,isPartial
2016-08-21,4,False
2016-08-28,3,False
2016-09-04,3,False
2016-09-11,3,False
2016-09-18,4,False
2016-09-25,7,False
2016-10-02,4,False
2016-10-09,4,False
2016-10-16,4,False
2016-10-23,3,False
2016-10-30,5,False
2016-11-06,4,False
2016-11-13,4,False
2016-11-20,3,False
2016-11-27,3,False
2016-12-04,3,False
2016-12-11,3,False
2016-12-18,3,False
2016-12-25,3,False
2017-01-01,3,False
2017-01-08,4,False
2017-01-15,3,False
2017-01-22,3,False
2017-01-29,4,False
2017-02-05,3,False
2017-02-12,4,False
2017-02-19,4,False
2017-02-26,3,False
2017-03-05,4,False
2017-03-12,4,False
2017-03-19,4,False
2017-03-26,4,False
2017-04-02,3,False
2017-04-09,6,False
2017-04-16,3,False
2017-04-23,3,False
2017-04-30,4,False
2017-05-07,3,False
2017-05-14,4,False
2017-05-21,4,False
2017-05-28,3,False
2017-06-04,2,False
2017-06-11,3,False
2017-06-18,4,False
2017-06-25,3,False
2017-07-02,3,False
2017-07-09,3,False
2017-07-16,4,False
2017-07-23,3,False
2017-07-30,6,False
2017-08-06,5,False
2017-08-13,4,False
2017-08-20,3,False
2017-08-27,5,False
2017-09-03,3,False
2017-09-10,2,False
2017-09-17,4,False
2017-09-24,3,False
2017-10-01,3,False
2017-10-08,2,False
2017-10-15,3,False
2017-10-22,4,False
2017-10-29,3,False
2017-11-05,5,False
2017-11-12,5,False
2017-11-19,4,False
2017-11-26,5,False
2017-12-03,26,False
2017-12-10,100,False
2017-12-17,18,False
2017-12-24,6,False
2017-12-31,8,False
2018-01-07,7,False
2018-01-14,12,False
2018-01-21,8,False
2018-01-28,7,False
2018-02-04,20,False
2018-02-11,10,False
2018-02-18,6,False
2018-02-25,7,False
2018-03-04,8,False
2018-03-11,6,False
2018-03-18,6,False
2018-03-25,4,False
2018-04-01,6,False
2018-04-08,3,False
2018-04-15,6,False
2018-04-22,4,False
2018-04-29,5,False
2018-05-06,3,False
2018-05-13,4,False
2018-05-20,4,False
2018-05-27,5,False
2018-06-03,4,False
2018-06-10,6,False
2018-06-17,6,False
2018-06-24,4,False
2018-07-01,4,False
2018-07-08,5,False
2018-07-15,5,False
2018-07-22,7,False
2018-07-29,5,False
2018-08-05,4,False
2018-08-12,7,False
2018-08-19,5,False
2018-08-26,6,False
2018-09-02,5,False
2018-09-09,4,False
2018-09-16,7,False
2018-09-23,5,False
2018-09-30,4,False
2018-10-07,5,False
2018-10-14,5,False
2018-10-21,5,False
2018-10-28,3,False
2018-11-04,5,False
2018-11-11,5,False
2018-11-18,4,False
2018-11-25,3,False
2018-12-02,5,False
2018-12-09,4,False
2018-12-16,7,False
2018-12-23,5,False
2018-12-30,3,False
2019-01-06,5,False
2019-01-13,5,False
2019-01-20,5,False
