date,GPN,isPartial
2016-08-21,9,False
2016-08-28,7,False
2016-09-04,12,False
2016-09-11,8,False
2016-09-18,12,False
2016-09-25,10,False
2016-10-02,14,False
2016-10-09,15,False
2016-10-16,14,False
2016-10-23,7,False
2016-10-30,5,False
2016-11-06,14,False
2016-11-13,19,False
2016-11-20,7,False
2016-11-27,14,False
2016-12-04,7,False
2016-12-11,12,False
2016-12-18,12,False
2016-12-25,4,False
2017-01-01,10,False
2017-01-08,15,False
2017-01-15,11,False
2017-01-22,14,False
2017-01-29,11,False
2017-02-05,11,False
2017-02-12,9,False
2017-02-19,10,False
2017-02-26,14,False
2017-03-05,10,False
2017-03-12,7,False
2017-03-19,10,False
2017-03-26,15,False
2017-04-02,11,False
2017-04-09,9,False
2017-04-16,8,False
2017-04-23,13,False
2017-04-30,18,False
2017-05-07,7,False
2017-05-14,15,False
2017-05-21,14,False
2017-05-28,12,False
2017-06-04,13,False
2017-06-11,22,False
2017-06-18,12,False
2017-06-25,12,False
2017-07-02,12,False
2017-07-09,11,False
2017-07-16,8,False
2017-07-23,14,False
2017-07-30,11,False
2017-08-06,10,False
2017-08-13,9,False
2017-08-20,12,False
2017-08-27,12,False
2017-09-03,14,False
2017-09-10,13,False
2017-09-17,7,False
2017-09-24,12,False
2017-10-01,14,False
2017-10-08,9,False
2017-10-15,11,False
2017-10-22,9,False
2017-10-29,11,False
2017-11-05,10,False
2017-11-12,16,False
2017-11-19,9,False
2017-11-26,13,False
2017-12-03,17,False
2017-12-10,9,False
2017-12-17,12,False
2017-12-24,9,False
2017-12-31,7,False
2018-01-07,11,False
2018-01-14,14,False
2018-01-21,16,False
2018-01-28,14,False
2018-02-04,15,False
2018-02-11,16,False
2018-02-18,15,False
2018-02-25,21,False
2018-03-04,14,False
2018-03-11,18,False
2018-03-18,16,False
2018-03-25,10,False
2018-04-01,7,False
2018-04-08,14,False
2018-04-15,21,False
2018-04-22,17,False
2018-04-29,15,False
2018-05-06,28,False
2018-05-13,15,False
2018-05-20,20,False
2018-05-27,17,False
2018-06-03,16,False
2018-06-10,22,False
2018-06-17,18,False
2018-06-24,16,False
2018-07-01,19,False
2018-07-08,15,False
2018-07-15,18,False
2018-07-22,26,False
2018-07-29,100,False
2018-08-05,48,False
2018-08-12,23,False
2018-08-19,22,False
