date,CTLT,isPartial
2016-08-21,0,False
2016-08-28,49,False
2016-09-04,0,False
2016-09-11,0,False
2016-09-18,48,False
2016-09-25,12,False
2016-10-02,35,False
2016-10-09,0,False
2016-10-16,24,False
2016-10-23,24,False
2016-10-30,0,False
2016-11-06,0,False
2016-11-13,0,False
2016-11-20,12,False
2016-11-27,34,False
2016-12-04,11,False
2016-12-11,23,False
2016-12-18,12,False
2016-12-25,24,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,11,False
2017-01-22,0,False
2017-01-29,11,False
2017-02-05,22,False
2017-02-12,54,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,11,False
2017-03-19,0,False
2017-03-26,54,False
2017-04-02,33,False
2017-04-09,34,False
2017-04-16,22,False
2017-04-23,11,False
2017-04-30,11,False
2017-05-07,33,False
2017-05-14,0,False
2017-05-21,35,False
2017-05-28,35,False
2017-06-04,23,False
2017-06-11,23,False
2017-06-18,0,False
2017-06-25,0,False
2017-07-02,12,False
2017-07-09,0,False
2017-07-16,24,False
2017-07-23,35,False
2017-07-30,11,False
2017-08-06,22,False
2017-08-13,0,False
2017-08-20,22,False
2017-08-27,0,False
2017-09-03,0,False
2017-09-10,11,False
2017-09-17,11,False
2017-09-24,33,False
2017-10-01,33,False
2017-10-08,11,False
2017-10-15,11,False
2017-10-22,11,False
2017-10-29,44,False
2017-11-05,21,False
2017-11-12,11,False
2017-11-19,32,False
2017-11-26,0,False
2017-12-03,11,False
2017-12-10,21,False
2017-12-17,0,False
2017-12-24,0,False
2017-12-31,11,False
2018-01-07,0,False
2018-01-14,21,False
2018-01-21,0,False
2018-01-28,10,False
2018-02-04,10,False
2018-02-11,20,False
2018-02-18,10,False
2018-02-25,30,False
2018-03-04,10,False
2018-03-11,20,False
2018-03-18,31,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,10,False
2018-04-22,10,False
2018-04-29,10,False
2018-05-06,10,False
2018-05-13,21,False
2018-05-20,31,False
2018-05-27,10,False
2018-06-03,10,False
2018-06-10,10,False
2018-06-17,0,False
2018-06-24,10,False
2018-07-01,10,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,10,False
2018-07-29,31,False
2018-08-05,10,False
2018-08-12,10,False
2018-08-19,10,False
2018-08-26,41,False
2018-09-02,0,False
2018-09-09,10,False
2018-09-16,10,False
2018-09-23,20,False
2018-09-30,10,False
2018-10-07,20,False
2018-10-14,10,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,30,False
2018-11-11,30,False
2018-11-18,10,False
2018-11-25,0,False
2018-12-02,10,False
2018-12-09,0,False
2018-12-16,10,False
2018-12-23,0,False
2018-12-30,11,False
2019-01-06,30,False
2019-01-13,0,False
2019-01-20,20,False
2019-01-27,10,False
2019-02-03,10,False
2019-02-10,30,False
2019-02-17,20,False
2019-02-24,10,False
2019-03-03,30,False
2019-03-10,0,False
2019-03-17,30,False
2019-03-24,10,False
2019-03-31,10,False
2019-04-07,20,False
2019-04-14,31,False
2019-04-21,10,False
2019-04-28,30,False
2019-05-05,10,False
2019-05-12,0,False
2019-05-19,10,False
2019-05-26,10,False
2019-06-02,20,False
2019-06-09,19,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,10,False
2019-07-07,20,False
2019-07-14,20,False
2019-07-21,21,False
2019-07-28,10,False
2019-08-04,20,False
2019-08-11,20,False
2019-08-18,20,False
2019-08-25,29,False
2019-09-01,0,False
2019-09-08,9,False
2019-09-15,9,False
2019-09-22,28,False
2019-09-29,19,False
2019-10-06,19,False
2019-10-13,56,False
2019-10-20,9,False
2019-10-27,9,False
2019-11-03,28,False
2019-11-10,0,False
2019-11-17,28,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,19,False
2019-12-15,0,False
2019-12-22,10,False
2019-12-29,10,False
2020-01-05,27,False
2020-01-12,26,False
2020-01-19,27,False
2020-01-26,18,False
2020-02-02,0,False
2020-02-09,9,False
2020-02-16,17,False
2020-02-23,26,False
2020-03-01,25,False
2020-03-08,17,False
2020-03-15,16,False
2020-03-22,24,False
2020-03-29,32,False
2020-04-05,16,False
2020-04-12,24,False
2020-04-19,0,False
2020-04-26,8,False
2020-05-03,32,False
2020-05-10,24,False
2020-05-17,8,False
2020-05-24,33,False
2020-05-31,48,False
2020-06-07,32,False
2020-06-14,16,False
2020-06-21,25,False
2020-06-28,17,False
2020-07-05,52,False
2020-07-12,61,False
2020-07-19,35,False
2020-07-26,18,False
2020-08-02,35,False
2020-08-09,9,False
2020-08-16,26,False
2020-08-23,59,False
2020-08-30,100,False
2020-09-06,50,False
2020-09-13,58,False
2020-09-20,33,False
2020-09-27,26,False
2020-10-04,26,False
2020-10-11,27,False
2020-10-18,45,False
2020-10-25,9,False
2020-11-01,8,False
2020-11-08,71,False
2020-11-15,27,False
2020-11-22,44,False
2020-11-29,69,False
