date,DHR,isPartial
2016-08-21,71,False
2016-08-28,57,False
2016-09-04,67,False
2016-09-11,56,False
2016-09-18,59,False
2016-09-25,68,False
2016-10-02,56,False
2016-10-09,63,False
2016-10-16,64,False
2016-10-23,54,False
2016-10-30,73,False
2016-11-06,52,False
2016-11-13,65,False
2016-11-20,47,False
2016-11-27,50,False
2016-12-04,58,False
2016-12-11,55,False
2016-12-18,53,False
2016-12-25,44,False
2017-01-01,44,False
2017-01-08,51,False
2017-01-15,54,False
2017-01-22,63,False
2017-01-29,58,False
2017-02-05,59,False
2017-02-12,50,False
2017-02-19,57,False
2017-02-26,50,False
2017-03-05,61,False
2017-03-12,53,False
2017-03-19,70,False
2017-03-26,60,False
2017-04-02,57,False
2017-04-09,55,False
2017-04-16,61,False
2017-04-23,54,False
2017-04-30,59,False
2017-05-07,59,False
2017-05-14,65,False
2017-05-21,62,False
2017-05-28,61,False
2017-06-04,65,False
2017-06-11,62,False
2017-06-18,76,False
2017-06-25,62,False
2017-07-02,58,False
2017-07-09,70,False
2017-07-16,60,False
2017-07-23,56,False
2017-07-30,57,False
2017-08-06,53,False
2017-08-13,54,False
2017-08-20,50,False
2017-08-27,64,False
2017-09-03,62,False
2017-09-10,65,False
2017-09-17,58,False
2017-09-24,61,False
2017-10-01,62,False
2017-10-08,53,False
2017-10-15,66,False
2017-10-22,62,False
2017-10-29,55,False
2017-11-05,65,False
2017-11-12,57,False
2017-11-19,55,False
2017-11-26,64,False
2017-12-03,64,False
2017-12-10,55,False
2017-12-17,44,False
2017-12-24,55,False
2017-12-31,58,False
2018-01-07,65,False
2018-01-14,58,False
2018-01-21,61,False
2018-01-28,67,False
2018-02-04,68,False
2018-02-11,63,False
2018-02-18,58,False
2018-02-25,56,False
2018-03-04,56,False
2018-03-11,59,False
2018-03-18,58,False
2018-03-25,55,False
2018-04-01,50,False
2018-04-08,54,False
2018-04-15,57,False
2018-04-22,62,False
2018-04-29,64,False
2018-05-06,46,False
2018-05-13,52,False
2018-05-20,52,False
2018-05-27,54,False
2018-06-03,67,False
2018-06-10,59,False
2018-06-17,57,False
2018-06-24,64,False
2018-07-01,45,False
2018-07-08,65,False
2018-07-15,75,False
2018-07-22,58,False
2018-07-29,64,False
2018-08-05,64,False
2018-08-12,58,False
2018-08-19,69,False
2018-08-26,59,False
2018-09-02,54,False
2018-09-09,73,False
2018-09-16,65,False
2018-09-23,48,False
2018-09-30,56,False
2018-10-07,59,False
2018-10-14,64,False
2018-10-21,50,False
2018-10-28,57,False
2018-11-04,53,False
2018-11-11,57,False
2018-11-18,48,False
2018-11-25,65,False
2018-12-02,52,False
2018-12-09,61,False
2018-12-16,57,False
2018-12-23,43,False
2018-12-30,51,False
2019-01-06,62,False
2019-01-13,71,False
2019-01-20,55,False
2019-01-27,45,False
2019-02-03,64,False
2019-02-10,65,False
2019-02-17,48,False
2019-02-24,65,False
2019-03-03,66,False
2019-03-10,54,False
2019-03-17,59,False
2019-03-24,53,False
2019-03-31,59,False
2019-04-07,76,False
2019-04-14,64,False
2019-04-21,59,False
2019-04-28,67,False
2019-05-05,63,False
2019-05-12,62,False
2019-05-19,56,False
2019-05-26,55,False
2019-06-02,56,False
2019-06-09,68,False
2019-06-16,61,False
2019-06-23,63,False
2019-06-30,55,False
2019-07-07,67,False
2019-07-14,59,False
2019-07-21,57,False
2019-07-28,68,False
2019-08-04,67,False
2019-08-11,68,False
2019-08-18,61,False
2019-08-25,59,False
2019-09-01,63,False
2019-09-08,73,False
2019-09-15,54,False
2019-09-22,60,False
2019-09-29,62,False
2019-10-06,60,False
2019-10-13,57,False
2019-10-20,57,False
2019-10-27,58,False
2019-11-03,75,False
2019-11-10,52,False
2019-11-17,62,False
2019-11-24,45,False
2019-12-01,64,False
2019-12-08,73,False
2019-12-15,60,False
2019-12-22,46,False
2019-12-29,57,False
2020-01-05,63,False
2020-01-12,69,False
2020-01-19,61,False
2020-01-26,58,False
2020-02-02,68,False
2020-02-09,52,False
2020-02-16,62,False
2020-02-23,57,False
2020-03-01,66,False
2020-03-08,61,False
2020-03-15,63,False
2020-03-22,93,False
2020-03-29,77,False
2020-04-05,83,False
2020-04-12,96,False
2020-04-19,88,False
2020-04-26,73,False
2020-05-03,100,False
2020-05-10,74,False
2020-05-17,71,False
2020-05-24,67,False
2020-05-31,72,False
2020-06-07,70,False
2020-06-14,57,False
2020-06-21,66,False
2020-06-28,86,False
2020-07-05,79,False
2020-07-12,81,False
2020-07-19,77,False
2020-07-26,66,False
2020-08-02,79,False
2020-08-09,77,False
2020-08-16,70,False
2020-08-23,69,False
2020-08-30,73,False
2020-09-06,72,False
2020-09-13,79,False
2020-09-20,79,False
2020-09-27,72,False
2020-10-04,79,False
2020-10-11,73,False
2020-10-18,82,False
2020-10-25,69,False
2020-11-01,63,False
2020-11-08,71,False
2020-11-15,74,False
2020-11-22,64,False
2020-11-29,66,False
2020-12-06,65,False
2020-12-13,72,False
2020-12-20,54,False
2020-12-27,62,False
2021-01-03,75,False
2021-01-10,76,False
2021-01-17,63,False
2021-01-24,86,False
2021-01-31,93,False
2021-02-07,73,False
2021-02-14,64,False
2021-02-21,70,False
2021-02-28,80,False
2021-03-07,80,False
2021-03-14,70,False
2021-03-21,69,False
2021-03-28,69,False
2021-04-04,61,False
2021-04-11,59,False
2021-04-18,72,False
2021-04-25,71,False
2021-05-02,67,False
2021-05-09,61,False
2021-05-16,66,False
2021-05-23,62,False
2021-05-30,63,False
2021-06-06,71,False
2021-06-13,64,False
2021-06-20,56,False
2021-06-27,72,False
2021-07-04,68,False
2021-07-11,62,False
2021-07-18,72,False
2021-07-25,70,False
2021-08-01,64,False
2021-08-08,64,True
