date,MNST,isPartial
2016-08-21,20,False
2016-08-28,0,False
2016-09-04,19,False
2016-09-11,6,False
2016-09-18,13,False
2016-09-25,6,False
2016-10-02,6,False
2016-10-09,19,False
2016-10-16,31,False
2016-10-23,19,False
2016-10-30,45,False
2016-11-06,43,False
2016-11-13,37,False
2016-11-20,18,False
2016-11-27,12,False
2016-12-04,29,False
2016-12-11,30,False
2016-12-18,19,False
2016-12-25,26,False
2017-01-01,12,False
2017-01-08,64,False
2017-01-15,12,False
2017-01-22,29,False
2017-01-29,34,False
2017-02-05,74,False
2017-02-12,23,False
2017-02-19,6,False
2017-02-26,95,False
2017-03-05,33,False
2017-03-12,39,False
2017-03-19,46,False
2017-03-26,46,False
2017-04-02,17,False
2017-04-09,0,False
2017-04-16,23,False
2017-04-23,29,False
2017-04-30,35,False
2017-05-07,29,False
2017-05-14,24,False
2017-05-21,56,False
2017-05-28,6,False
2017-06-04,12,False
2017-06-11,25,False
2017-06-18,12,False
2017-06-25,31,False
2017-07-02,19,False
2017-07-09,25,False
2017-07-16,19,False
2017-07-23,31,False
2017-07-30,54,False
2017-08-06,65,False
2017-08-13,6,False
2017-08-20,47,False
2017-08-27,29,False
2017-09-03,6,False
2017-09-10,35,False
2017-09-17,17,False
2017-09-24,12,False
2017-10-01,12,False
2017-10-08,23,False
2017-10-15,17,False
2017-10-22,40,False
2017-10-29,29,False
2017-11-05,50,False
2017-11-12,28,False
2017-11-19,0,False
2017-11-26,6,False
2017-12-03,0,False
2017-12-10,17,False
2017-12-17,18,False
2017-12-24,13,False
2017-12-31,6,False
2018-01-07,16,False
2018-01-14,38,False
2018-01-21,43,False
2018-01-28,5,False
2018-02-04,33,False
2018-02-11,38,False
2018-02-18,16,False
2018-02-25,100,False
2018-03-04,48,False
2018-03-11,32,False
2018-03-18,32,False
2018-03-25,17,False
2018-04-01,11,False
2018-04-08,27,False
2018-04-15,33,False
2018-04-22,38,False
2018-04-29,27,False
2018-05-06,88,False
2018-05-13,44,False
2018-05-20,33,False
2018-05-27,27,False
2018-06-03,27,False
2018-06-10,16,False
2018-06-17,11,False
2018-06-24,27,False
2018-07-01,22,False
2018-07-08,32,False
2018-07-15,34,False
2018-07-22,22,False
2018-07-29,16,False
2018-08-05,70,False
2018-08-12,33,False
2018-08-19,17,False
2018-08-26,22,False
2018-09-02,11,False
2018-09-09,37,False
2018-09-16,21,False
2018-09-23,26,False
2018-09-30,5,False
2018-10-07,11,False
2018-10-14,0,False
2018-10-21,16,False
2018-10-28,32,False
2018-11-04,42,False
2018-11-11,43,False
2018-11-18,27,False
2018-11-25,31,False
2018-12-02,11,False
2018-12-09,27,False
2018-12-16,11,False
2018-12-23,18,False
2018-12-30,12,False
2019-01-06,16,False
2019-01-13,26,False
2019-01-20,16,False
2019-01-27,36,False
2019-02-03,16,False
2019-02-10,16,False
2019-02-17,42,False
2019-02-24,62,False
2019-03-03,21,False
2019-03-10,42,False
2019-03-17,16,False
2019-03-24,31,False
2019-03-31,16,False
2019-04-07,31,False
2019-04-14,71,False
2019-04-21,32,False
2019-04-28,48,False
2019-05-05,37,False
2019-05-12,11,False
2019-05-19,21,False
2019-05-26,26,False
2019-06-02,26,False
2019-06-09,10,False
2019-06-16,47,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,52,False
2019-07-14,16,False
2019-07-21,16,False
2019-07-28,5,False
2019-08-04,43,False
2019-08-11,26,False
2019-08-18,31,False
2019-08-25,21,False
2019-09-01,25,False
2019-09-08,10,False
2019-09-15,5,False
2019-09-22,20,False
2019-09-29,40,False
2019-10-06,20,False
2019-10-13,29,False
2019-10-20,29,False
2019-10-27,20,False
2019-11-03,53,False
2019-11-10,19,False
2019-11-17,5,False
2019-11-24,5,False
2019-12-01,24,False
2019-12-08,20,False
2019-12-15,10,False
2019-12-22,11,False
2019-12-29,5,False
2020-01-05,9,False
2020-01-12,18,False
2020-01-19,9,False
2020-01-26,9,False
2020-02-02,33,False
2020-02-09,18,False
2020-02-16,41,False
2020-02-23,27,False
2020-03-01,36,False
2020-03-08,40,False
2020-03-15,17,False
2020-03-22,30,False
2020-03-29,25,False
2020-04-05,30,False
2020-04-12,13,False
2020-04-19,12,False
2020-04-26,33,False
2020-05-03,33,False
2020-05-10,34,False
2020-05-17,21,False
2020-05-24,26,False
2020-05-31,0,False
2020-06-07,17,False
2020-06-14,4,False
2020-06-21,4,False
2020-06-28,18,False
2020-07-05,27,False
2020-07-12,37,False
2020-07-19,37,False
2020-07-26,33,False
2020-08-02,32,False
2020-08-09,45,False
2020-08-16,23,False
2020-08-23,9,False
2020-08-30,48,False
2020-09-06,9,False
2020-09-13,17,False
2020-09-20,26,False
2020-09-27,23,False
2020-10-04,27,False
2020-10-11,19,False
2020-10-18,9,False
2020-10-25,9,False
2020-11-01,18,False
2020-11-08,28,False
2020-11-15,9,False
2020-11-22,14,False
2020-11-29,32,False
2020-12-06,32,False
2020-12-13,9,False
2020-12-20,25,False
2020-12-27,20,False
2021-01-03,37,False
2021-01-10,19,False
2021-01-17,5,False
2021-01-24,9,False
2021-01-31,28,False
2021-02-07,41,False
2021-02-14,19,False
2021-02-21,55,False
2021-02-28,37,False
2021-03-07,19,False
2021-03-14,30,False
2021-03-21,14,False
2021-03-28,24,False
2021-04-04,28,False
2021-04-11,14,False
2021-04-18,23,False
2021-04-25,23,False
2021-05-02,51,False
2021-05-09,33,False
2021-05-16,37,False
2021-05-23,24,False
2021-05-30,28,False
2021-06-06,33,False
2021-06-13,47,False
2021-06-20,57,False
2021-06-27,24,False
2021-07-04,24,False
2021-07-11,24,False
2021-07-18,50,False
2021-07-25,48,False
2021-08-01,29,False
2021-08-08,62,True
