date,PBCT,isPartial
2016-08-21,13,False
2016-08-28,6,False
2016-09-04,0,False
2016-09-11,13,False
2016-09-18,13,False
2016-09-25,6,False
2016-10-02,0,False
2016-10-09,0,False
2016-10-16,6,False
2016-10-23,13,False
2016-10-30,19,False
2016-11-06,18,False
2016-11-13,19,False
2016-11-20,24,False
2016-11-27,18,False
2016-12-04,29,False
2016-12-11,18,False
2016-12-18,6,False
2016-12-25,13,False
2017-01-01,31,False
2017-01-08,18,False
2017-01-15,0,False
2017-01-22,29,False
2017-01-29,11,False
2017-02-05,6,False
2017-02-12,11,False
2017-02-19,6,False
2017-02-26,6,False
2017-03-05,11,False
2017-03-12,22,False
2017-03-19,17,False
2017-03-26,29,False
2017-04-02,6,False
2017-04-09,0,False
2017-04-16,6,False
2017-04-23,11,False
2017-04-30,23,False
2017-05-07,12,False
2017-05-14,12,False
2017-05-21,6,False
2017-05-28,6,False
2017-06-04,0,False
2017-06-11,18,False
2017-06-18,6,False
2017-06-25,12,False
2017-07-02,13,False
2017-07-09,37,False
2017-07-16,13,False
2017-07-23,12,False
2017-07-30,12,False
2017-08-06,6,False
2017-08-13,0,False
2017-08-20,6,False
2017-08-27,12,False
2017-09-03,24,False
2017-09-10,11,False
2017-09-17,6,False
2017-09-24,6,False
2017-10-01,6,False
2017-10-08,6,False
2017-10-15,17,False
2017-10-22,11,False
2017-10-29,17,False
2017-11-05,0,False
2017-11-12,6,False
2017-11-19,6,False
2017-11-26,6,False
2017-12-03,11,False
2017-12-10,6,False
2017-12-17,12,False
2017-12-24,6,False
2017-12-31,6,False
2018-01-07,5,False
2018-01-14,27,False
2018-01-21,16,False
2018-01-28,11,False
2018-02-04,22,False
2018-02-11,11,False
2018-02-18,5,False
2018-02-25,10,False
2018-03-04,5,False
2018-03-11,21,False
2018-03-18,5,False
2018-03-25,22,False
2018-04-01,16,False
2018-04-08,16,False
2018-04-15,16,False
2018-04-22,5,False
2018-04-29,22,False
2018-05-06,5,False
2018-05-13,16,False
2018-05-20,0,False
2018-05-27,11,False
2018-06-03,27,False
2018-06-10,11,False
2018-06-17,16,False
2018-06-24,32,False
2018-07-01,16,False
2018-07-08,5,False
2018-07-15,17,False
2018-07-22,11,False
2018-07-29,16,False
2018-08-05,11,False
2018-08-12,27,False
2018-08-19,11,False
2018-08-26,11,False
2018-09-02,5,False
2018-09-09,11,False
2018-09-16,21,False
2018-09-23,11,False
2018-09-30,11,False
2018-10-07,16,False
2018-10-14,16,False
2018-10-21,21,False
2018-10-28,11,False
2018-11-04,21,False
2018-11-11,11,False
2018-11-18,16,False
2018-11-25,26,False
2018-12-02,0,False
2018-12-09,21,False
2018-12-16,22,False
2018-12-23,18,False
2018-12-30,17,False
2019-01-06,11,False
2019-01-13,26,False
2019-01-20,21,False
2019-01-27,26,False
2019-02-03,21,False
2019-02-10,10,False
2019-02-17,31,False
2019-02-24,15,False
2019-03-03,21,False
2019-03-10,16,False
2019-03-17,21,False
2019-03-24,21,False
2019-03-31,5,False
2019-04-07,10,False
2019-04-14,22,False
