date,PRGO,isPartial
2016-08-21,30,False
2016-08-28,29,False
2016-09-04,51,False
2016-09-11,51,False
2016-09-18,35,False
2016-09-25,21,False
2016-10-02,48,False
2016-10-09,14,False
2016-10-16,28,False
2016-10-23,56,False
2016-10-30,35,False
2016-11-06,34,False
2016-11-13,7,False
2016-11-20,27,False
2016-11-27,20,False
2016-12-04,39,False
2016-12-11,34,False
2016-12-18,43,False
2016-12-25,14,False
2017-01-01,41,False
2017-01-08,46,False
2017-01-15,45,False
2017-01-22,52,False
2017-01-29,25,False
2017-02-05,44,False
2017-02-12,32,False
2017-02-19,58,False
2017-02-26,100,False
2017-03-05,37,False
2017-03-12,25,False
2017-03-19,32,False
2017-03-26,57,False
2017-04-02,32,False
2017-04-09,0,False
2017-04-16,32,False
2017-04-23,83,False
2017-04-30,58,False
2017-05-07,26,False
2017-05-14,20,False
2017-05-21,41,False
2017-05-28,27,False
2017-06-04,40,False
2017-06-11,27,False
2017-06-18,20,False
2017-06-25,35,False
2017-07-02,35,False
2017-07-09,28,False
2017-07-16,28,False
2017-07-23,34,False
2017-07-30,60,False
2017-08-06,72,False
2017-08-13,53,False
2017-08-20,39,False
2017-08-27,72,False
2017-09-03,33,False
2017-09-10,32,False
2017-09-17,45,False
2017-09-24,19,False
2017-10-01,39,False
2017-10-08,38,False
2017-10-15,51,False
2017-10-22,19,False
2017-10-29,13,False
2017-11-05,49,False
2017-11-12,19,False
2017-11-19,25,False
2017-11-26,31,False
2017-12-03,31,False
2017-12-10,13,False
2017-12-17,20,False
2017-12-24,7,False
2017-12-31,20,False
2018-01-07,31,False
2018-01-14,12,False
2018-01-21,24,False
2018-01-28,18,False
2018-02-04,18,False
2018-02-11,24,False
2018-02-18,12,False
2018-02-25,53,False
2018-03-04,6,False
2018-03-11,24,False
2018-03-18,24,False
2018-03-25,6,False
2018-04-01,12,False
2018-04-08,42,False
2018-04-15,30,False
2018-04-22,18,False
2018-04-29,12,False
2018-05-06,55,False
2018-05-13,31,False
2018-05-20,18,False
2018-05-27,31,False
2018-06-03,18,False
2018-06-10,18,False
2018-06-17,6,False
2018-06-24,18,False
2018-07-01,12,False
2018-07-08,36,False
2018-07-15,19,False
2018-07-22,25,False
2018-07-29,30,False
2018-08-05,66,False
2018-08-12,12,False
2018-08-19,6,False
2018-08-26,12,False
2018-09-02,18,False
2018-09-09,24,False
2018-09-16,18,False
2018-09-23,18,False
2018-09-30,23,False
2018-10-07,18,False
2018-10-14,30,False
2018-10-21,18,False
2018-10-28,18,False
2018-11-04,76,False
2018-11-11,24,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,6,False
2018-12-09,36,False
2018-12-16,18,False
2018-12-23,33,False
2018-12-30,13,False
2019-01-06,30,False
2019-01-13,17,False
2019-01-20,0,False
2019-01-27,17,False
2019-02-03,46,False
2019-02-10,52,False
2019-02-17,23,False
2019-02-24,23,False
2019-03-03,18,False
2019-03-10,12,False
2019-03-17,6,False
2019-03-24,12,False
2019-03-31,18,False
2019-04-07,18,False
2019-04-14,31,False
2019-04-21,12,False
2019-04-28,35,False
2019-05-05,53,False
2019-05-12,18,False
2019-05-19,6,False
2019-05-26,12,False
2019-06-02,6,False
2019-06-09,34,False
2019-06-16,6,False
2019-06-23,23,False
2019-06-30,18,False
2019-07-07,12,False
2019-07-14,18,False
2019-07-21,49,False
2019-07-28,18,False
2019-08-04,24,False
2019-08-11,6,False
2019-08-18,40,False
2019-08-25,11,False
2019-09-01,23,False
2019-09-08,22,False
2019-09-15,39,False
2019-09-22,17,False
2019-09-29,33,False
2019-10-06,11,False
2019-10-13,16,False
2019-10-20,21,False
2019-10-27,11,False
2019-11-03,16,False
2019-11-10,11,False
2019-11-17,5,False
2019-11-24,16,False
2019-12-01,11,False
2019-12-08,22,False
2019-12-15,6,False
2019-12-22,12,False
2019-12-29,17,False
2020-01-05,0,False
2020-01-12,35,False
2020-01-19,26,False
2020-01-26,16,False
2020-02-02,10,False
2020-02-09,15,False
2020-02-16,20,False
2020-02-23,30,False
2020-03-01,55,False
2020-03-08,25,False
2020-03-15,10,False
2020-03-22,9,False
2020-03-29,33,False
2020-04-05,43,False
2020-04-12,24,False
2020-04-19,37,False
2020-04-26,23,False
2020-05-03,9,False
2020-05-10,29,False
2020-05-17,38,False
2020-05-24,19,False
2020-05-31,19,False
2020-06-07,19,False
2020-06-14,29,False
2020-06-21,10,False
2020-06-28,25,False
2020-07-05,10,False
2020-07-12,20,False
2020-07-19,10,False
2020-07-26,21,False
2020-08-02,36,False
2020-08-09,5,False
2020-08-16,20,False
2020-08-23,15,False
2020-08-30,10,False
2020-09-06,30,False
2020-09-13,5,False
2020-09-20,5,False
2020-09-27,5,False
2020-10-04,5,False
2020-10-11,11,False
2020-10-18,16,False
2020-10-25,5,False
2020-11-01,44,False
2020-11-08,42,False
2020-11-15,10,False
2020-11-22,10,False
2020-11-29,15,False
2020-12-06,21,False
2020-12-13,16,False
2020-12-20,23,False
2020-12-27,11,False
2021-01-03,15,False
2021-01-10,26,False
2021-01-17,15,False
2021-01-24,10,False
2021-01-31,16,False
2021-02-07,36,False
2021-02-14,10,False
2021-02-21,15,False
2021-02-28,15,False
2021-03-07,15,False
2021-03-14,34,False
2021-03-21,15,False
2021-03-28,11,False
2021-04-04,21,False
2021-04-11,10,False
2021-04-18,16,False
2021-04-25,20,False
2021-05-02,21,False
2021-05-09,27,False
2021-05-16,26,False
2021-05-23,32,False
2021-05-30,11,False
2021-06-06,31,False
2021-06-13,11,False
2021-06-20,16,False
2021-06-27,21,False
2021-07-04,16,False
2021-07-11,22,False
2021-07-18,22,False
2021-07-25,16,False
2021-08-01,11,False
2021-08-08,6,True
