date,EVRG,isPartial
2016-08-21,30,False
2016-08-28,14,False
2016-09-04,0,False
2016-09-11,0,False
2016-09-18,0,False
2016-09-25,0,False
2016-10-02,0,False
2016-10-09,0,False
2016-10-16,0,False
2016-10-23,14,False
2016-10-30,28,False
2016-11-06,0,False
2016-11-13,14,False
2016-11-20,0,False
2016-11-27,26,False
2016-12-04,13,False
2016-12-11,53,False
2016-12-18,28,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,13,False
2017-01-15,0,False
2017-01-22,13,False
2017-01-29,0,False
2017-02-05,0,False
2017-02-12,12,False
2017-02-19,25,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,0,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,13,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,26,False
2017-05-07,25,False
2017-05-14,26,False
2017-05-21,0,False
2017-05-28,14,False
2017-06-04,13,False
2017-06-11,0,False
2017-06-18,13,False
2017-06-25,0,False
2017-07-02,0,False
2017-07-09,0,False
2017-07-16,0,False
2017-07-23,14,False
2017-07-30,0,False
2017-08-06,13,False
2017-08-13,0,False
2017-08-20,13,False
2017-08-27,0,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,26,False
2017-09-24,13,False
2017-10-01,0,False
2017-10-08,0,False
2017-10-15,13,False
2017-10-22,0,False
2017-10-29,0,False
2017-11-05,24,False
2017-11-12,0,False
2017-11-19,12,False
2017-11-26,12,False
2017-12-03,12,False
2017-12-10,12,False
2017-12-17,0,False
2017-12-24,14,False
2017-12-31,0,False
2018-01-07,12,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,12,False
2018-02-25,12,False
2018-03-04,23,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,24,False
2018-04-29,24,False
2018-05-06,0,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,12,False
2018-06-03,96,False
2018-06-10,47,False
2018-06-17,60,False
2018-06-24,12,False
2018-07-01,12,False
2018-07-08,24,False
2018-07-15,12,False
2018-07-22,12,False
2018-07-29,12,False
2018-08-05,12,False
2018-08-12,24,False
2018-08-19,24,False
2018-08-26,60,False
2018-09-02,59,False
2018-09-09,12,False
2018-09-16,46,False
2018-09-23,23,False
2018-09-30,23,False
2018-10-07,0,False
2018-10-14,12,False
2018-10-21,0,False
2018-10-28,24,False
2018-11-04,34,False
2018-11-11,12,False
2018-11-18,12,False
2018-11-25,23,False
2018-12-02,0,False
2018-12-09,95,False
2018-12-16,12,False
2018-12-23,0,False
2018-12-30,13,False
2019-01-06,0,False
2019-01-13,12,False
2019-01-20,46,False
2019-01-27,11,False
2019-02-03,46,False
2019-02-10,11,False
2019-02-17,23,False
2019-02-24,11,False
2019-03-03,12,False
2019-03-10,23,False
2019-03-17,23,False
2019-03-24,23,False
2019-03-31,0,False
2019-04-07,12,False
2019-04-14,0,False
2019-04-21,12,False
2019-04-28,0,False
2019-05-05,46,False
2019-05-12,12,False
2019-05-19,11,False
2019-05-26,34,False
2019-06-02,23,False
2019-06-09,23,False
2019-06-16,58,False
2019-06-23,34,False
2019-06-30,46,False
2019-07-07,11,False
2019-07-14,12,False
2019-07-21,0,False
2019-07-28,24,False
2019-08-04,0,False
2019-08-11,23,False
2019-08-18,46,False
2019-08-25,34,False
2019-09-01,22,False
2019-09-08,11,False
2019-09-15,33,False
2019-09-22,44,False
2019-09-29,22,False
2019-10-06,33,False
2019-10-13,11,False
2019-10-20,21,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,21,False
2019-11-17,22,False
2019-11-24,32,False
2019-12-01,21,False
