date,DUK,isPartial
2016-08-21,18,False
2016-08-28,15,False
2016-09-04,16,False
2016-09-11,15,False
2016-09-18,19,False
2016-09-25,13,False
2016-10-02,20,False
2016-10-09,18,False
2016-10-16,18,False
2016-10-23,14,False
2016-10-30,18,False
2016-11-06,18,False
2016-11-13,17,False
2016-11-20,19,False
2016-11-27,21,False
2016-12-04,19,False
2016-12-11,21,False
2016-12-18,22,False
2016-12-25,17,False
2017-01-01,23,False
2017-01-08,17,False
2017-01-15,17,False
2017-01-22,20,False
2017-01-29,15,False
2017-02-05,17,False
2017-02-12,16,False
2017-02-19,18,False
2017-02-26,19,False
2017-03-05,16,False
2017-03-12,17,False
2017-03-19,19,False
2017-03-26,17,False
2017-04-02,16,False
2017-04-09,16,False
2017-04-16,18,False
2017-04-23,17,False
2017-04-30,19,False
2017-05-07,18,False
2017-05-14,15,False
2017-05-21,15,False
2017-05-28,14,False
2017-06-04,16,False
2017-06-11,17,False
2017-06-18,18,False
2017-06-25,16,False
2017-07-02,16,False
2017-07-09,18,False
2017-07-16,19,False
2017-07-23,14,False
2017-07-30,16,False
2017-08-06,16,False
2017-08-13,18,False
2017-08-20,14,False
2017-08-27,16,False
2017-09-03,15,False
2017-09-10,17,False
2017-09-17,15,False
2017-09-24,14,False
2017-10-01,18,False
2017-10-08,20,False
2017-10-15,15,False
2017-10-22,20,False
2017-10-29,20,False
2017-11-05,16,False
2017-11-12,18,False
2017-11-19,17,False
2017-11-26,19,False
2017-12-03,16,False
2017-12-10,19,False
2017-12-17,19,False
2017-12-24,22,False
2017-12-31,18,False
2018-01-07,20,False
2018-01-14,18,False
2018-01-21,19,False
2018-01-28,19,False
2018-02-04,22,False
2018-02-11,18,False
2018-02-18,19,False
2018-02-25,20,False
2018-03-04,21,False
2018-03-11,17,False
2018-03-18,19,False
2018-03-25,21,False
2018-04-01,17,False
2018-04-08,17,False
2018-04-15,20,False
2018-04-22,17,False
2018-04-29,21,False
2018-05-06,20,False
2018-05-13,16,False
2018-05-20,20,False
2018-05-27,16,False
2018-06-03,21,False
2018-06-10,18,False
2018-06-17,14,False
2018-06-24,17,False
2018-07-01,14,False
2018-07-08,20,False
2018-07-15,17,False
2018-07-22,15,False
2018-07-29,17,False
2018-08-05,16,False
2018-08-12,18,False
2018-08-19,17,False
2018-08-26,16,False
2018-09-02,17,False
2018-09-09,16,False
2018-09-16,19,False
2018-09-23,19,False
2018-09-30,17,False
2018-10-07,17,False
2018-10-14,19,False
2018-10-21,15,False
2018-10-28,14,False
2018-11-04,16,False
2018-11-11,18,False
2018-11-18,18,False
2018-11-25,18,False
2018-12-02,19,False
2018-12-09,17,False
2018-12-16,19,False
2018-12-23,18,False
2018-12-30,20,False
2019-01-06,19,False
2019-01-13,16,False
2019-01-20,17,False
2019-01-27,14,False
2019-02-03,17,False
2019-02-10,17,False
2019-02-17,19,False
2019-02-24,14,False
2019-03-03,16,False
2019-03-10,21,False
2019-03-17,20,False
2019-03-24,17,False
2019-03-31,17,False
2019-04-07,21,False
2019-04-14,12,False
2019-04-21,19,False
2019-04-28,17,False
2019-05-05,18,False
2019-05-12,16,False
2019-05-19,18,False
2019-05-26,18,False
2019-06-02,17,False
2019-06-09,16,False
2019-06-16,18,False
2019-06-23,14,False
2019-06-30,15,False
2019-07-07,16,False
2019-07-14,16,False
2019-07-21,18,False
2019-07-28,15,False
2019-08-04,17,False
2019-08-11,16,False
2019-08-18,15,False
2019-08-25,18,False
2019-09-01,15,False
2019-09-08,16,False
2019-09-15,15,False
2019-09-22,16,False
2019-09-29,14,False
2019-10-06,15,False
2019-10-13,17,False
2019-10-20,17,False
2019-10-27,15,False
2019-11-03,18,False
2019-11-10,16,False
2019-11-17,19,False
2019-11-24,16,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,15,False
2019-12-22,18,False
2019-12-29,20,False
2020-01-05,19,False
2020-01-12,19,False
2020-01-19,19,False
2020-01-26,17,False
2020-02-02,19,False
2020-02-09,19,False
2020-02-16,25,False
2020-02-23,18,False
2020-03-01,17,False
2020-03-08,17,False
2020-03-15,21,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,20,False
2020-04-12,21,False
2020-04-19,19,False
2020-04-26,18,False
2020-05-03,17,False
2020-05-10,18,False
2020-05-17,18,False
2020-05-24,22,False
2020-05-31,21,False
2020-06-07,24,False
2020-06-14,18,False
