date,EA,isPartial
2016-08-21,46,False
2016-08-28,79,False
2016-09-04,52,False
2016-09-11,57,False
2016-09-18,78,False
2016-09-25,63,False
2016-10-02,54,False
2016-10-09,57,False
2016-10-16,67,False
2016-10-23,55,False
2016-10-30,74,False
2016-11-06,51,False
2016-11-13,46,False
2016-11-20,52,False
2016-11-27,50,False
2016-12-04,50,False
2016-12-11,53,False
2016-12-18,50,False
2016-12-25,62,False
2017-01-01,51,False
2017-01-08,52,False
2017-01-15,50,False
2017-01-22,51,False
2017-01-29,49,False
2017-02-05,48,False
2017-02-12,49,False
2017-02-19,49,False
2017-02-26,50,False
2017-03-05,51,False
2017-03-12,56,False
2017-03-19,56,False
2017-03-26,50,False
2017-04-02,51,False
2017-04-09,52,False
2017-04-16,50,False
2017-04-23,47,False
2017-04-30,46,False
2017-05-07,51,False
2017-05-14,44,False
2017-05-21,47,False
2017-05-28,46,False
2017-06-04,58,False
2017-06-11,56,False
2017-06-18,46,False
2017-06-25,45,False
2017-07-02,45,False
2017-07-09,41,False
2017-07-16,46,False
2017-07-23,41,False
2017-07-30,46,False
2017-08-06,47,False
2017-08-13,48,False
2017-08-20,47,False
2017-08-27,45,False
2017-09-03,51,False
2017-09-10,48,False
2017-09-17,67,False
2017-09-24,62,False
2017-10-01,58,False
2017-10-08,50,False
2017-10-15,53,False
2017-10-22,51,False
2017-10-29,52,False
2017-11-05,50,False
2017-11-12,100,False
2017-11-19,67,False
2017-11-26,63,False
2017-12-03,56,False
2017-12-10,49,False
2017-12-17,48,False
2017-12-24,71,False
2017-12-31,48,False
2018-01-07,48,False
2018-01-14,48,False
2018-01-21,46,False
2018-01-28,54,False
2018-02-04,46,False
2018-02-11,43,False
2018-02-18,44,False
2018-02-25,45,False
2018-03-04,50,False
2018-03-11,42,False
2018-03-18,42,False
2018-03-25,42,False
2018-04-01,38,False
2018-04-08,40,False
2018-04-15,38,False
2018-04-22,41,False
2018-04-29,40,False
2018-05-06,42,False
2018-05-13,40,False
2018-05-20,42,False
2018-05-27,47,False
2018-06-03,57,False
2018-06-10,51,False
2018-06-17,38,False
2018-06-24,35,False
2018-07-01,37,False
2018-07-08,38,False
2018-07-15,38,False
2018-07-22,38,False
2018-07-29,44,False
2018-08-05,44,False
2018-08-12,39,False
2018-08-19,40,False
2018-08-26,44,False
2018-09-02,47,False
2018-09-09,48,False
2018-09-16,57,False
2018-09-23,49,False
2018-09-30,47,False
2018-10-07,44,False
