date,HSIC,isPartial
2016-08-21,34,False
2016-08-28,11,False
2016-09-04,22,False
2016-09-11,0,False
2016-09-18,75,False
2016-09-25,21,False
2016-10-02,10,False
2016-10-09,32,False
2016-10-16,0,False
2016-10-23,42,False
2016-10-30,22,False
2016-11-06,31,False
2016-11-13,52,False
2016-11-20,41,False
2016-11-27,30,False
2016-12-04,59,False
2016-12-11,31,False
2016-12-18,11,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,29,False
2017-01-29,10,False
2017-02-05,19,False
2017-02-12,0,False
2017-02-19,49,False
2017-02-26,28,False
2017-03-05,28,False
2017-03-12,19,False
2017-03-19,39,False
2017-03-26,19,False
2017-04-02,19,False
2017-04-09,20,False
2017-04-16,10,False
2017-04-23,10,False
2017-04-30,10,False
2017-05-07,58,False
2017-05-14,61,False
2017-05-21,10,False
2017-05-28,31,False
2017-06-04,10,False
2017-06-11,41,False
2017-06-18,30,False
2017-06-25,11,False
2017-07-02,11,False
2017-07-09,31,False
2017-07-16,21,False
2017-07-23,10,False
2017-07-30,40,False
2017-08-06,30,False
2017-08-13,30,False
2017-08-20,30,False
2017-08-27,20,False
2017-09-03,10,False
2017-09-10,68,False
2017-09-17,29,False
2017-09-24,29,False
2017-10-01,49,False
2017-10-08,0,False
2017-10-15,29,False
2017-10-22,29,False
2017-10-29,39,False
2017-11-05,66,False
2017-11-12,28,False
2017-11-19,38,False
2017-11-26,84,False
2017-12-03,38,False
2017-12-10,47,False
2017-12-17,30,False
2017-12-24,43,False
2017-12-31,50,False
2018-01-07,28,False
2018-01-14,46,False
2018-01-21,27,False
2018-01-28,64,False
2018-02-04,28,False
2018-02-11,36,False
2018-02-18,36,False
2018-02-25,27,False
2018-03-04,0,False
2018-03-11,27,False
2018-03-18,9,False
2018-03-25,38,False
2018-04-01,9,False
2018-04-08,9,False
2018-04-15,18,False
2018-04-22,74,False
2018-04-29,37,False
2018-05-06,9,False
2018-05-13,19,False
2018-05-20,56,False
2018-05-27,28,False
2018-06-03,18,False
2018-06-10,27,False
2018-06-17,18,False
2018-06-24,0,False
2018-07-01,9,False
2018-07-08,27,False
2018-07-15,9,False
2018-07-22,28,False
2018-07-29,37,False
2018-08-05,18,False
2018-08-12,9,False
2018-08-19,28,False
2018-08-26,37,False
2018-09-02,36,False
2018-09-09,36,False
2018-09-16,18,False
2018-09-23,9,False
2018-09-30,27,False
2018-10-07,27,False
2018-10-14,36,False
2018-10-21,27,False
2018-10-28,9,False
2018-11-04,53,False
2018-11-11,27,False
2018-11-18,18,False
2018-11-25,27,False
2018-12-02,27,False
2018-12-09,9,False
2018-12-16,9,False
2018-12-23,10,False
2018-12-30,39,False
2019-01-06,54,False
2019-01-13,44,False
2019-01-20,0,False
2019-01-27,17,False
2019-02-03,79,False
2019-02-10,44,False
2019-02-17,35,False
2019-02-24,26,False
2019-03-03,27,False
2019-03-10,9,False
2019-03-17,0,False
2019-03-24,18,False
2019-03-31,0,False
2019-04-07,44,False
2019-04-14,28,False
2019-04-21,36,False
2019-04-28,18,False
2019-05-05,18,False
2019-05-12,35,False
2019-05-19,26,False
2019-05-26,35,False
2019-06-02,9,False
2019-06-09,17,False
2019-06-16,18,False
2019-06-23,35,False
2019-06-30,9,False
2019-07-07,44,False
2019-07-14,9,False
2019-07-21,18,False
2019-07-28,0,False
2019-08-04,18,False
2019-08-11,27,False
2019-08-18,17,False
2019-08-25,17,False
2019-09-01,26,False
2019-09-08,42,False
2019-09-15,8,False
2019-09-22,8,False
2019-09-29,17,False
2019-10-06,42,False
2019-10-13,33,False
2019-10-20,16,False
2019-10-27,33,False
2019-11-03,33,False
2019-11-10,16,False
2019-11-17,17,False
2019-11-24,8,False
2019-12-01,49,False
2019-12-08,8,False
2019-12-15,17,False
2019-12-22,27,False
2019-12-29,26,False
2020-01-05,16,False
2020-01-12,15,False
2020-01-19,48,False
2020-01-26,16,False
2020-02-02,16,False
2020-02-09,15,False
2020-02-16,54,False
2020-02-23,53,False
2020-03-01,23,False
2020-03-08,30,False
2020-03-15,22,False
2020-03-22,100,False
2020-03-29,57,False
2020-04-05,87,False
2020-04-12,43,False
2020-04-19,49,False
2020-04-26,35,False
2020-05-03,42,False
2020-05-10,22,False
2020-05-17,36,False
2020-05-24,29,False
2020-05-31,21,False
2020-06-07,36,False
2020-06-14,7,False
2020-06-21,30,False
2020-06-28,30,False
2020-07-05,23,False
2020-07-12,23,False
2020-07-19,31,False
2020-07-26,32,False
2020-08-02,23,False
2020-08-09,8,False
2020-08-16,15,False
2020-08-23,38,False
2020-08-30,30,False
2020-09-06,22,False
2020-09-13,37,False
2020-09-20,22,False
2020-09-27,0,False
2020-10-04,15,False
2020-10-11,24,False
2020-10-18,24,False
2020-10-25,8,False
2020-11-01,7,False
2020-11-08,31,False
2020-11-15,8,False
2020-11-22,24,False
2020-11-29,23,False
2020-12-06,39,False
2020-12-13,31,False
2020-12-20,26,False
2020-12-27,17,False
2021-01-03,39,False
2021-01-10,47,False
2021-01-17,8,False
2021-01-24,0,False
2021-01-31,31,False
2021-02-07,0,False
2021-02-14,24,False
2021-02-21,8,False
2021-02-28,31,False
2021-03-07,31,False
2021-03-14,29,False
2021-03-21,23,False
2021-03-28,8,False
2021-04-04,16,False
2021-04-11,23,False
2021-04-18,40,False
2021-04-25,15,False
2021-05-02,24,False
2021-05-09,32,False
2021-05-16,8,False
2021-05-23,8,False
2021-05-30,0,False
2021-06-06,24,False
2021-06-13,40,False
2021-06-20,0,False
2021-06-27,8,False
2021-07-04,16,False
2021-07-11,16,False
2021-07-18,25,False
2021-07-25,24,False
2021-08-01,41,False
2021-08-08,10,True
