date,XEL,isPartial
2016-08-21,85,False
2016-08-28,85,False
2016-09-04,86,False
2016-09-11,79,False
2016-09-18,77,False
2016-09-25,68,False
2016-10-02,69,False
2016-10-09,57,False
2016-10-16,64,False
2016-10-23,77,False
2016-10-30,54,False
2016-11-06,67,False
2016-11-13,75,False
2016-11-20,76,False
2016-11-27,56,False
2016-12-04,57,False
2016-12-11,66,False
2016-12-18,78,False
2016-12-25,65,False
2017-01-01,88,False
2017-01-08,75,False
2017-01-15,73,False
2017-01-22,79,False
2017-01-29,76,False
2017-02-05,69,False
2017-02-12,64,False
2017-02-19,71,False
2017-02-26,59,False
2017-03-05,69,False
2017-03-12,64,False
2017-03-19,78,False
2017-03-26,81,False
2017-04-02,67,False
2017-04-09,79,False
2017-04-16,68,False
2017-04-23,68,False
2017-04-30,65,False
2017-05-07,73,False
2017-05-14,71,False
2017-05-21,81,False
2017-05-28,68,False
2017-06-04,86,False
2017-06-11,96,False
2017-06-18,88,False
2017-06-25,81,False
2017-07-02,95,False
2017-07-09,73,False
2017-07-16,84,False
2017-07-23,100,False
2017-07-30,89,False
2017-08-06,90,False
2017-08-13,95,False
2017-08-20,78,False
2017-08-27,63,False
2017-09-03,52,False
2017-09-10,65,False
2017-09-17,57,False
2017-09-24,53,False
2017-10-01,71,False
2017-10-08,69,False
2017-10-15,66,False
2017-10-22,67,False
2017-10-29,69,False
2017-11-05,70,False
2017-11-12,72,False
2017-11-19,67,False
2017-11-26,53,False
2017-12-03,67,False
2017-12-10,57,False
2017-12-17,83,False
2017-12-24,87,False
2017-12-31,95,False
2018-01-07,80,False
2018-01-14,70,False
2018-01-21,70,False
2018-01-28,50,False
2018-02-04,88,False
2018-02-11,88,False
2018-02-18,68,False
2018-02-25,86,False
2018-03-04,76,False
2018-03-11,76,False
2018-03-18,85,False
2018-03-25,94,False
2018-04-01,74,False
2018-04-08,70,False
2018-04-15,62,False
2018-04-22,54,False
2018-04-29,73,False
2018-05-06,69,False
2018-05-13,67,False
2018-05-20,68,False
2018-05-27,76,False
2018-06-03,62,False
2018-06-10,81,False
2018-06-17,69,False
2018-06-24,80,False
2018-07-01,83,False
2018-07-08,88,False
2018-07-15,82,False
2018-07-22,79,False
2018-07-29,76,False
2018-08-05,73,False
2018-08-12,67,False
2018-08-19,84,False
2018-08-26,56,False
2018-09-02,56,False
2018-09-09,58,False
2018-09-16,61,False
2018-09-23,53,False
2018-09-30,53,False
2018-10-07,44,False
2018-10-14,59,False
2018-10-21,51,False
2018-10-28,68,False
2018-11-04,51,False
2018-11-11,67,False
2018-11-18,53,False
2018-11-25,67,False
2018-12-02,52,False
2018-12-09,54,False
2018-12-16,73,False
2018-12-23,72,False
2018-12-30,84,False
2019-01-06,77,False
2019-01-13,53,False
2019-01-20,79,False
2019-01-27,65,False
2019-02-03,76,False
2019-02-10,54,False
2019-02-17,65,False
2019-02-24,76,False
2019-03-03,57,False
2019-03-10,84,False
2019-03-17,78,False
2019-03-24,79,False
2019-03-31,62,False
2019-04-07,56,False
2019-04-14,66,False
