date,LUV,isPartial
2016-08-21,48,False
2016-08-28,47,False
2016-09-04,42,False
2016-09-11,42,False
2016-09-18,40,False
2016-09-25,40,False
2016-10-02,40,False
2016-10-09,44,False
2016-10-16,43,False
2016-10-23,42,False
2016-10-30,38,False
2016-11-06,37,False
2016-11-13,38,False
2016-11-20,38,False
2016-11-27,36,False
2016-12-04,33,False
2016-12-11,38,False
2016-12-18,39,False
2016-12-25,38,False
2017-01-01,39,False
2017-01-08,37,False
2017-01-15,35,False
2017-01-22,33,False
2017-01-29,32,False
2017-02-05,35,False
2017-02-12,37,False
2017-02-19,35,False
2017-02-26,37,False
2017-03-05,34,False
2017-03-12,34,False
2017-03-19,35,False
2017-03-26,34,False
2017-04-02,32,False
2017-04-09,35,False
2017-04-16,33,False
2017-04-23,36,False
2017-04-30,33,False
2017-05-07,39,False
2017-05-14,39,False
2017-05-21,35,False
2017-05-28,35,False
2017-06-04,34,False
2017-06-11,36,False
2017-06-18,34,False
2017-06-25,35,False
2017-07-02,37,False
2017-07-09,33,False
2017-07-16,34,False
2017-07-23,36,False
2017-07-30,36,False
2017-08-06,30,False
2017-08-13,33,False
2017-08-20,55,False
2017-08-27,38,False
2017-09-03,34,False
2017-09-10,32,False
2017-09-17,32,False
2017-09-24,34,False
2017-10-01,33,False
2017-10-08,35,False
2017-10-15,35,False
2017-10-22,32,False
2017-10-29,33,False
2017-11-05,31,False
2017-11-12,33,False
2017-11-19,32,False
2017-11-26,34,False
2017-12-03,35,False
2017-12-10,44,False
2017-12-17,45,False
2017-12-24,40,False
2017-12-31,40,False
2018-01-07,48,False
2018-01-14,38,False
2018-01-21,38,False
2018-01-28,31,False
2018-02-04,30,False
2018-02-11,30,False
2018-02-18,28,False
2018-02-25,29,False
2018-03-04,29,False
2018-03-11,29,False
2018-03-18,30,False
2018-03-25,32,False
2018-04-01,32,False
2018-04-08,30,False
2018-04-15,31,False
2018-04-22,29,False
2018-04-29,30,False
2018-05-06,33,False
2018-05-13,37,False
2018-05-20,32,False
2018-05-27,31,False
2018-06-03,37,False
2018-06-10,36,False
2018-06-17,32,False
2018-06-24,31,False
2018-07-01,29,False
2018-07-08,31,False
2018-07-15,31,False
2018-07-22,33,False
2018-07-29,32,False
2018-08-05,32,False
2018-08-12,31,False
2018-08-19,30,False
2018-08-26,30,False
2018-09-02,33,False
2018-09-09,30,False
2018-09-16,28,False
2018-09-23,27,False
2018-09-30,29,False
2018-10-07,32,False
2018-10-14,32,False
2018-10-21,30,False
2018-10-28,31,False
2018-11-04,29,False
2018-11-11,29,False
2018-11-18,31,False
2018-11-25,29,False
2018-12-02,29,False
2018-12-09,29,False
2018-12-16,31,False
2018-12-23,33,False
2018-12-30,33,False
2019-01-06,29,False
2019-01-13,30,False
2019-01-20,29,False
2019-01-27,29,False
2019-02-03,28,False
2019-02-10,28,False
2019-02-17,27,False
2019-02-24,27,False
2019-03-03,27,False
2019-03-10,27,False
2019-03-17,28,False
2019-03-24,29,False
2019-03-31,28,False
2019-04-07,92,False
2019-04-14,100,False
2019-04-21,71,False
2019-04-28,61,False
2019-05-05,52,False
2019-05-12,50,False
2019-05-19,48,False
2019-05-26,45,False
2019-06-02,44,False
2019-06-09,44,False
2019-06-16,42,False
2019-06-23,42,False
2019-06-30,44,False
2019-07-07,38,False
2019-07-14,40,False
2019-07-21,41,False
2019-07-28,39,False
2019-08-04,43,False
2019-08-11,38,False
2019-08-18,36,False
2019-08-25,35,False
2019-09-01,32,False
2019-09-08,32,False
2019-09-15,36,False
2019-09-22,33,False
2019-09-29,30,False
2019-10-06,32,False
2019-10-13,30,False
2019-10-20,30,False
2019-10-27,32,False
2019-11-03,39,False
2019-11-10,36,False
2019-11-17,36,False
2019-11-24,33,False
2019-12-01,33,False
2019-12-08,34,False
2019-12-15,35,False
2019-12-22,39,False
2019-12-29,33,False
2020-01-05,31,False
2020-01-12,32,False
2020-01-19,31,False
2020-01-26,33,False
2020-02-02,29,False
2020-02-09,30,False
2020-02-16,31,False
2020-02-23,30,False
2020-03-01,33,False
2020-03-08,34,False
2020-03-15,32,False
2020-03-22,32,False
2020-03-29,35,False
2020-04-05,36,False
2020-04-12,39,False
2020-04-19,43,False
2020-04-26,62,False
2020-05-03,45,False
2020-05-10,39,False
2020-05-17,41,False
2020-05-24,38,False
2020-05-31,40,False
2020-06-07,42,False
2020-06-14,37,False
2020-06-21,40,False
2020-06-28,36,False
2020-07-05,36,False
2020-07-12,35,False
2020-07-19,34,False
2020-07-26,34,False
2020-08-02,35,False
2020-08-09,34,False
2020-08-16,34,False
2020-08-23,33,False
2020-08-30,30,False
2020-09-06,32,False
2020-09-13,30,False
2020-09-20,31,False
2020-09-27,30,False
2020-10-04,29,False
2020-10-11,31,False
2020-10-18,32,False
2020-10-25,32,False
2020-11-01,27,False
2020-11-08,37,False
2020-11-15,31,False
2020-11-22,32,False
2020-11-29,30,False
2020-12-06,32,False
2020-12-13,29,False
2020-12-20,32,False
2020-12-27,32,False
2021-01-03,29,False
2021-01-10,30,False
2021-01-17,28,False
2021-01-24,31,False
2021-01-31,29,False
2021-02-07,30,False
2021-02-14,30,False
2021-02-21,34,False
2021-02-28,31,False
2021-03-07,31,False
2021-03-14,31,False
2021-03-21,31,False
2021-03-28,32,False
2021-04-04,31,False
2021-04-11,31,False
2021-04-18,32,False
2021-04-25,31,False
2021-05-02,33,False
2021-05-09,31,False
2021-05-16,32,False
2021-05-23,33,False
2021-05-30,29,False
2021-06-06,32,False
2021-06-13,30,False
2021-06-20,31,False
2021-06-27,29,False
2021-07-04,34,False
2021-07-11,33,False
2021-07-18,33,False
2021-07-25,32,False
2021-08-01,31,False
2021-08-08,31,True
