date,QRVO,isPartial
2016-08-21,30,False
2016-08-28,19,False
2016-09-04,34,False
2016-09-11,19,False
2016-09-18,14,False
2016-09-25,19,False
2016-10-02,5,False
2016-10-09,9,False
2016-10-16,23,False
2016-10-23,14,False
2016-10-30,47,False
2016-11-06,27,False
2016-11-13,28,False
2016-11-20,23,False
2016-11-27,18,False
2016-12-04,22,False
2016-12-11,27,False
2016-12-18,10,False
2016-12-25,0,False
2017-01-01,23,False
2017-01-08,26,False
2017-01-15,9,False
2017-01-22,52,False
2017-01-29,61,False
2017-02-05,60,False
2017-02-12,29,False
2017-02-19,26,False
2017-02-26,21,False
2017-03-05,21,False
2017-03-12,21,False
2017-03-19,21,False
2017-03-26,30,False
2017-04-02,26,False
2017-04-09,31,False
2017-04-16,43,False
2017-04-23,25,False
2017-04-30,56,False
2017-05-07,17,False
2017-05-14,73,False
2017-05-21,37,False
2017-05-28,37,False
2017-06-04,14,False
2017-06-11,23,False
2017-06-18,9,False
2017-06-25,33,False
2017-07-02,14,False
2017-07-09,19,False
2017-07-16,14,False
2017-07-23,18,False
2017-07-30,9,False
2017-08-06,26,False
2017-08-13,14,False
2017-08-20,18,False
2017-08-27,27,False
2017-09-03,22,False
2017-09-10,26,False
2017-09-17,9,False
2017-09-24,22,False
2017-10-01,17,False
2017-10-08,9,False
2017-10-15,13,False
2017-10-22,8,False
2017-10-29,47,False
2017-11-05,34,False
2017-11-12,34,False
2017-11-19,21,False
2017-11-26,29,False
2017-12-03,25,False
2017-12-10,25,False
2017-12-17,22,False
2017-12-24,19,False
2017-12-31,9,False
2018-01-07,21,False
2018-01-14,16,False
2018-01-21,24,False
2018-01-28,57,False
2018-02-04,24,False
2018-02-11,25,False
2018-02-18,24,False
2018-02-25,39,False
2018-03-04,20,False
2018-03-11,48,False
2018-03-18,24,False
2018-03-25,17,False
2018-04-01,8,False
2018-04-08,24,False
2018-04-15,28,False
2018-04-22,16,False
2018-04-29,25,False
2018-05-06,29,False
2018-05-13,8,False
2018-05-20,21,False
2018-05-27,4,False
2018-06-03,12,False
2018-06-10,12,False
2018-06-17,12,False
2018-06-24,12,False
2018-07-01,20,False
2018-07-08,28,False
2018-07-15,25,False
2018-07-22,12,False
2018-07-29,25,False
2018-08-05,20,False
2018-08-12,20,False
2018-08-19,21,False
2018-08-26,16,False
2018-09-02,24,False
2018-09-09,8,False
2018-09-16,16,False
2018-09-23,16,False
2018-09-30,8,False
2018-10-07,16,False
2018-10-14,16,False
2018-10-21,20,False
2018-10-28,40,False
2018-11-04,23,False
2018-11-11,24,False
2018-11-18,16,False
2018-11-25,16,False
2018-12-02,16,False
2018-12-09,28,False
2018-12-16,21,False
2018-12-23,14,False
2018-12-30,9,False
2019-01-06,12,False
2019-01-13,12,False
2019-01-20,8,False
2019-01-27,31,False
2019-02-03,19,False
2019-02-10,15,False
2019-02-17,8,False
2019-02-24,27,False
2019-03-03,4,False
2019-03-10,16,False
2019-03-17,16,False
2019-03-24,16,False
2019-03-31,28,False
2019-04-07,12,False
2019-04-14,25,False
2019-04-21,32,False
2019-04-28,20,False
2019-05-05,63,False
2019-05-12,39,False
2019-05-19,16,False
2019-05-26,16,False
2019-06-02,12,False
2019-06-09,19,False
2019-06-16,27,False
2019-06-23,23,False
2019-06-30,20,False
2019-07-07,20,False
2019-07-14,16,False
2019-07-21,37,False
2019-07-28,49,False
2019-08-04,36,False
2019-08-11,8,False
2019-08-18,20,False
2019-08-25,4,False
2019-09-01,15,False
2019-09-08,19,False
2019-09-15,7,False
2019-09-22,15,False
2019-09-29,4,False
2019-10-06,18,False
2019-10-13,11,False
2019-10-20,11,False
2019-10-27,29,False
2019-11-03,36,False
2019-11-10,32,False
2019-11-17,15,False
2019-11-24,25,False
2019-12-01,33,False
2019-12-08,37,False
2019-12-15,26,False
2019-12-22,45,False
2019-12-29,16,False
2020-01-05,35,False
2020-01-12,34,False
2020-01-19,60,False
2020-01-26,77,False
2020-02-02,38,False
2020-02-09,17,False
2020-02-16,38,False
2020-02-23,23,False
2020-03-01,27,False
2020-03-08,30,False
2020-03-15,49,False
2020-03-22,29,False
2020-03-29,22,False
2020-04-05,32,False
2020-04-12,45,False
2020-04-19,25,False
2020-04-26,35,False
2020-05-03,50,False
2020-05-10,54,False
2020-05-17,38,False
2020-05-24,36,False
2020-05-31,50,False
2020-06-07,45,False
2020-06-14,61,False
2020-06-21,20,False
2020-06-28,23,False
