date,CSCO,isPartial
2016-08-21,31,False
2016-08-28,36,False
2016-09-04,27,False
2016-09-11,27,False
2016-09-18,28,False
2016-09-25,25,False
2016-10-02,21,False
2016-10-09,26,False
2016-10-16,26,False
2016-10-23,17,False
2016-10-30,18,False
2016-11-06,38,False
2016-11-13,47,False
2016-11-20,23,False
2016-11-27,25,False
2016-12-04,26,False
2016-12-11,24,False
2016-12-18,25,False
2016-12-25,33,False
2017-01-01,45,False
2017-01-08,39,False
2017-01-15,35,False
2017-01-22,36,False
2017-01-29,35,False
2017-02-05,29,False
2017-02-12,73,False
2017-02-19,39,False
2017-02-26,36,False
2017-03-05,27,False
2017-03-12,27,False
2017-03-19,29,False
2017-03-26,26,False
2017-04-02,22,False
2017-04-09,24,False
2017-04-16,29,False
2017-04-23,25,False
2017-04-30,29,False
2017-05-07,24,False
2017-05-14,53,False
2017-05-21,28,False
2017-05-28,24,False
2017-06-04,28,False
2017-06-11,32,False
2017-06-18,31,False
2017-06-25,31,False
2017-07-02,30,False
2017-07-09,25,False
2017-07-16,30,False
2017-07-23,33,False
2017-07-30,29,False
2017-08-06,22,False
2017-08-13,59,False
2017-08-20,27,False
2017-08-27,22,False
2017-09-03,17,False
2017-09-10,28,False
2017-09-17,39,False
2017-09-24,29,False
2017-10-01,31,False
2017-10-08,30,False
2017-10-15,29,False
2017-10-22,30,False
2017-10-29,31,False
2017-11-05,23,False
2017-11-12,64,False
2017-11-19,33,False
2017-11-26,46,False
2017-12-03,31,False
2017-12-10,43,False
2017-12-17,41,False
2017-12-24,20,False
2017-12-31,37,False
2018-01-07,44,False
2018-01-14,42,False
2018-01-21,45,False
2018-01-28,50,False
2018-02-04,65,False
2018-02-11,100,False
2018-02-18,41,False
2018-02-25,54,False
2018-03-04,42,False
2018-03-11,40,False
2018-03-18,43,False
2018-03-25,45,False
2018-04-01,40,False
2018-04-08,31,False
2018-04-15,46,False
2018-04-22,29,False
2018-04-29,34,False
2018-05-06,41,False
2018-05-13,64,False
2018-05-20,35,False
2018-05-27,32,False
2018-06-03,31,False
2018-06-10,36,False
2018-06-17,33,False
2018-06-24,27,False
2018-07-01,31,False
2018-07-08,40,False
2018-07-15,38,False
2018-07-22,35,False
2018-07-29,44,False
2018-08-05,34,False
2018-08-12,83,False
2018-08-19,43,False
2018-08-26,44,False
2018-09-02,40,False
2018-09-09,33,False
2018-09-16,44,False
2018-09-23,37,False
2018-09-30,34,False
2018-10-07,39,False
2018-10-14,27,False
2018-10-21,30,False
2018-10-28,28,False
2018-11-04,34,False
2018-11-11,57,False
2018-11-18,24,False
2018-11-25,39,False
2018-12-02,44,False
2018-12-09,24,False
2018-12-16,30,False
2018-12-23,39,False
2018-12-30,39,False
2019-01-06,41,False
2019-01-13,35,False
2019-01-20,37,False
