date,EXPE,isPartial
2016-08-21,67,False
2016-08-28,73,False
2016-09-04,38,False
2016-09-11,40,False
2016-09-18,45,False
2016-09-25,58,False
2016-10-02,46,False
2016-10-09,41,False
2016-10-16,68,False
2016-10-23,56,False
2016-10-30,48,False
2016-11-06,64,False
2016-11-13,55,False
2016-11-20,69,False
2016-11-27,55,False
2016-12-04,60,False
2016-12-11,62,False
2016-12-18,74,False
2016-12-25,15,False
2017-01-01,61,False
2017-01-08,44,False
2017-01-15,65,False
2017-01-22,44,False
2017-01-29,71,False
2017-02-05,70,False
2017-02-12,54,False
2017-02-19,61,False
2017-02-26,56,False
2017-03-05,64,False
2017-03-12,57,False
2017-03-19,45,False
2017-03-26,68,False
2017-04-02,59,False
2017-04-09,59,False
2017-04-16,43,False
2017-04-23,37,False
2017-04-30,54,False
2017-05-07,47,False
2017-05-14,62,False
2017-05-21,44,False
2017-05-28,42,False
2017-06-04,58,False
2017-06-11,63,False
2017-06-18,47,False
2017-06-25,43,False
2017-07-02,56,False
2017-07-09,38,False
2017-07-16,54,False
2017-07-23,55,False
2017-07-30,53,False
2017-08-06,56,False
2017-08-13,63,False
2017-08-20,32,False
2017-08-27,78,False
2017-09-03,57,False
2017-09-10,39,False
2017-09-17,46,False
2017-09-24,55,False
2017-10-01,32,False
2017-10-08,60,False
2017-10-15,57,False
2017-10-22,62,False
2017-10-29,67,False
2017-11-05,93,False
2017-11-12,69,False
2017-11-19,54,False
2017-11-26,85,False
2017-12-03,71,False
2017-12-10,59,False
2017-12-17,54,False
2017-12-24,41,False
2017-12-31,52,False
2018-01-07,79,False
2018-01-14,68,False
2018-01-21,44,False
2018-01-28,72,False
2018-02-04,97,False
2018-02-11,61,False
2018-02-18,63,False
2018-02-25,76,False
2018-03-04,51,False
2018-03-11,56,False
2018-03-18,81,False
2018-03-25,61,False
2018-04-01,65,False
2018-04-08,52,False
2018-04-15,56,False
2018-04-22,77,False
2018-04-29,47,False
2018-05-06,62,False
2018-05-13,51,False
2018-05-20,60,False
2018-05-27,53,False
2018-06-03,39,False
2018-06-10,56,False
2018-06-17,54,False
2018-06-24,42,False
2018-07-01,44,False
2018-07-08,72,False
2018-07-15,63,False
2018-07-22,100,False
2018-07-29,55,False
2018-08-05,59,False
2018-08-12,43,False
2018-08-19,40,False
2018-08-26,48,False
2018-09-02,46,False
2018-09-09,52,False
2018-09-16,54,False
2018-09-23,45,False
2018-09-30,59,False
2018-10-07,45,False
2018-10-14,35,False
2018-10-21,51,False
2018-10-28,55,False
2018-11-04,46,False
2018-11-11,44,False
2018-11-18,46,False
2018-11-25,39,False
2018-12-02,47,False
2018-12-09,48,False
2018-12-16,60,False
2018-12-23,41,False
2018-12-30,54,False
2019-01-06,51,False
2019-01-13,66,False
2019-01-20,64,False
2019-01-27,57,False
2019-02-03,78,False
2019-02-10,53,False
2019-02-17,66,False
2019-02-24,46,False
2019-03-03,49,False
2019-03-10,53,False
2019-03-17,61,False
2019-03-24,56,False
2019-03-31,39,False
2019-04-07,63,False
2019-04-14,54,False
2019-04-21,46,False
2019-04-28,40,False
2019-05-05,47,False
2019-05-12,50,False
2019-05-19,37,False
2019-05-26,30,False
2019-06-02,56,False
2019-06-09,49,False
2019-06-16,48,False
2019-06-23,43,False
2019-06-30,52,False
2019-07-07,67,False
2019-07-14,42,False
2019-07-21,65,False
2019-07-28,53,False
2019-08-04,53,False
2019-08-11,38,False
2019-08-18,37,False
2019-08-25,47,False
2019-09-01,40,False
2019-09-08,44,False
2019-09-15,51,False
2019-09-22,49,False
2019-09-29,44,False
2019-10-06,37,False
2019-10-13,33,False
2019-10-20,39,False
2019-10-27,35,False
2019-11-03,93,False
2019-11-10,53,False
2019-11-17,64,False
2019-11-24,49,False
2019-12-01,83,False
2019-12-08,53,False
2019-12-15,51,False
2019-12-22,60,False
2019-12-29,49,False
2020-01-05,73,False
2020-01-12,45,False
2020-01-19,58,False
2020-01-26,72,False
2020-02-02,56,False
2020-02-09,63,False
2020-02-16,61,False
2020-02-23,77,False
2020-03-01,67,False
2020-03-08,91,False
2020-03-15,69,False
2020-03-22,58,False
2020-03-29,59,False
2020-04-05,59,False
2020-04-12,52,False
2020-04-19,52,False
2020-04-26,67,False
2020-05-03,48,False
2020-05-10,69,False
2020-05-17,92,False
2020-05-24,55,False
2020-05-31,62,False
2020-06-07,66,False
2020-06-14,56,False
2020-06-21,46,False
2020-06-28,46,False
2020-07-05,40,False
2020-07-12,39,False
2020-07-19,51,False
2020-07-26,52,False
2020-08-02,45,False
2020-08-09,43,False
2020-08-16,43,False
2020-08-23,52,False
2020-08-30,35,False
2020-09-06,33,False
2020-09-13,30,False
2020-09-20,42,False
2020-09-27,38,False
2020-10-04,43,False
2020-10-11,44,False
2020-10-18,29,False
2020-10-25,34,False
2020-11-01,56,False
2020-11-08,70,False
2020-11-15,45,False
2020-11-22,43,False
2020-11-29,53,False
2020-12-06,46,False
2020-12-13,46,False
2020-12-20,47,False
2020-12-27,41,False
2021-01-03,42,False
2021-01-10,46,False
2021-01-17,41,False
2021-01-24,68,False
2021-01-31,46,False
2021-02-07,49,False
2021-02-14,59,False
2021-02-21,45,False
2021-02-28,50,False
2021-03-07,43,False
2021-03-14,62,False
2021-03-21,43,False
2021-03-28,30,False
2021-04-04,53,False
2021-04-11,43,False
2021-04-18,34,False
2021-04-25,47,False
2021-05-02,52,False
2021-05-09,50,False
2021-05-16,46,False
2021-05-23,26,False
2021-05-30,52,False
2021-06-06,48,False
2021-06-13,62,False
2021-06-20,42,False
2021-06-27,57,False
2021-07-04,28,False
2021-07-11,48,False
2021-07-18,36,False
2021-07-25,38,False
2021-08-01,55,False
2021-08-08,52,True
