date,PCAR,isPartial
2016-08-21,88,False
2016-08-28,58,False
2016-09-04,78,False
2016-09-11,76,False
2016-09-18,46,False
2016-09-25,100,False
2016-10-02,51,False
2016-10-09,76,False
2016-10-16,53,False
2016-10-23,74,False
2016-10-30,55,False
2016-11-06,73,False
2016-11-13,51,False
2016-11-20,85,False
2016-11-27,73,False
2016-12-04,76,False
2016-12-11,67,False
2016-12-18,81,False
2016-12-25,74,False
2017-01-01,61,False
2017-01-08,54,False
2017-01-15,79,False
2017-01-22,61,False
2017-01-29,90,False
2017-02-05,56,False
2017-02-12,65,False
2017-02-19,70,False
2017-02-26,71,False
2017-03-05,54,False
2017-03-12,37,False
2017-03-19,62,False
2017-03-26,49,False
2017-04-02,46,False
2017-04-09,64,False
2017-04-16,45,False
2017-04-23,58,False
2017-04-30,55,False
2017-05-07,73,False
2017-05-14,55,False
2017-05-21,51,False
2017-05-28,57,False
2017-06-04,42,False
2017-06-11,45,False
2017-06-18,28,False
2017-06-25,38,False
2017-07-02,54,False
2017-07-09,63,False
2017-07-16,56,False
2017-07-23,62,False
2017-07-30,59,False
2017-08-06,43,False
2017-08-13,50,False
2017-08-20,45,False
2017-08-27,56,False
2017-09-03,60,False
2017-09-10,68,False
2017-09-17,42,False
2017-09-24,62,False
2017-10-01,40,False
2017-10-08,56,False
2017-10-15,57,False
2017-10-22,49,False
2017-10-29,51,False
2017-11-05,48,False
2017-11-12,69,False
2017-11-19,39,False
2017-11-26,40,False
2017-12-03,53,False
2017-12-10,54,False
2017-12-17,45,False
2017-12-24,38,False
2017-12-31,45,False
2018-01-07,43,False
2018-01-14,45,False
2018-01-21,48,False
2018-01-28,45,False
2018-02-04,42,False
2018-02-11,32,False
2018-02-18,45,False
2018-02-25,43,False
2018-03-04,30,False
2018-03-11,25,False
2018-03-18,31,False
2018-03-25,44,False
2018-04-01,36,False
2018-04-08,46,False
2018-04-15,36,False
2018-04-22,37,False
2018-04-29,28,False
2018-05-06,61,False
2018-05-13,31,False
2018-05-20,33,False
2018-05-27,26,False
2018-06-03,36,False
2018-06-10,24,False
2018-06-17,29,False
2018-06-24,34,False
2018-07-01,33,False
2018-07-08,48,False
2018-07-15,37,False
2018-07-22,35,False
2018-07-29,24,False
2018-08-05,19,False
2018-08-12,16,False
2018-08-19,23,False
2018-08-26,33,False
2018-09-02,32,False
2018-09-09,42,False
2018-09-16,23,False
2018-09-23,27,False
2018-09-30,33,False
2018-10-07,19,False
2018-10-14,29,False
2018-10-21,39,False
2018-10-28,32,False
2018-11-04,23,False
2018-11-11,24,False
2018-11-18,22,False
2018-11-25,28,False
2018-12-02,29,False
2018-12-09,27,False
2018-12-16,29,False
2018-12-23,13,False
2018-12-30,24,False
2019-01-06,35,False
2019-01-13,38,False
2019-01-20,34,False
2019-01-27,13,False
2019-02-03,26,False
2019-02-10,30,False
2019-02-17,16,False
2019-02-24,26,False
2019-03-03,12,False
2019-03-10,13,False
2019-03-17,17,False
2019-03-24,22,False
2019-03-31,20,False
2019-04-07,22,False
2019-04-14,17,False
2019-04-21,24,False
2019-04-28,20,False
2019-05-05,18,False
2019-05-12,23,False
2019-05-19,18,False
2019-05-26,21,False
2019-06-02,8,False
2019-06-09,24,False
2019-06-16,15,False
2019-06-23,18,False
2019-06-30,18,False
2019-07-07,16,False
2019-07-14,17,False
2019-07-21,26,False
2019-07-28,8,False
2019-08-04,20,False
2019-08-11,28,False
2019-08-18,26,False
2019-08-25,26,False
2019-09-01,18,False
2019-09-08,25,False
2019-09-15,22,False
2019-09-22,17,False
2019-09-29,19,False
2019-10-06,24,False
2019-10-13,16,False
2019-10-20,20,False
2019-10-27,17,False
2019-11-03,17,False
2019-11-10,28,False
