date,AFL,isPartial
2016-08-21,53,False
2016-08-28,46,False
2016-09-04,54,False
2016-09-11,49,False
2016-09-18,53,False
2016-09-25,87,False
2016-10-02,26,False
2016-10-09,29,False
2016-10-16,30,False
2016-10-23,17,False
2016-10-30,12,False
2016-11-06,13,False
2016-11-13,12,False
2016-11-20,19,False
2016-11-27,13,False
2016-12-04,10,False
2016-12-11,9,False
2016-12-18,9,False
2016-12-25,7,False
2017-01-01,8,False
2017-01-08,10,False
2017-01-15,10,False
2017-01-22,11,False
2017-01-29,19,False
2017-02-05,17,False
2017-02-12,21,False
2017-02-19,20,False
2017-02-26,20,False
2017-03-05,21,False
2017-03-12,21,False
2017-03-19,63,False
2017-03-26,65,False
2017-04-02,60,False
2017-04-09,59,False
2017-04-16,55,False
2017-04-23,66,False
2017-04-30,63,False
2017-05-07,53,False
2017-05-14,56,False
2017-05-21,56,False
2017-05-28,49,False
2017-06-04,42,False
2017-06-11,48,False
2017-06-18,48,False
2017-06-25,52,False
2017-07-02,54,False
2017-07-09,55,False
2017-07-16,52,False
2017-07-23,52,False
2017-07-30,54,False
2017-08-06,56,False
2017-08-13,58,False
2017-08-20,59,False
2017-08-27,54,False
2017-09-03,58,False
2017-09-10,47,False
2017-09-17,56,False
2017-09-24,95,False
2017-10-01,29,False
2017-10-08,29,False
2017-10-15,27,False
2017-10-22,15,False
2017-10-29,16,False
2017-11-05,11,False
2017-11-12,12,False
2017-11-19,17,False
2017-11-26,12,False
2017-12-03,9,False
2017-12-10,8,False
2017-12-17,8,False
2017-12-24,7,False
2017-12-31,7,False
2018-01-07,9,False
2018-01-14,9,False
2018-01-21,10,False
2018-01-28,14,False
2018-02-04,13,False
2018-02-11,16,False
2018-02-18,15,False
2018-02-25,17,False
2018-03-04,19,False
2018-03-11,22,False
2018-03-18,57,False
2018-03-25,57,False
2018-04-01,58,False
2018-04-08,54,False
2018-04-15,54,False
2018-04-22,61,False
2018-04-29,57,False
2018-05-06,56,False
2018-05-13,49,False
2018-05-20,57,False
2018-05-27,55,False
2018-06-03,50,False
2018-06-10,55,False
2018-06-17,46,False
2018-06-24,53,False
2018-07-01,52,False
2018-07-08,52,False
2018-07-15,57,False
2018-07-22,62,False
2018-07-29,63,False
2018-08-05,64,False
2018-08-12,68,False
2018-08-19,71,False
2018-08-26,51,False
2018-09-02,69,False
2018-09-09,54,False
2018-09-16,71,False
2018-09-23,99,False
2018-09-30,31,False
2018-10-07,30,False
2018-10-14,27,False
2018-10-21,16,False
2018-10-28,17,False
2018-11-04,11,False
2018-11-11,11,False
2018-11-18,21,False
2018-11-25,11,False
2018-12-02,10,False
2018-12-09,10,False
2018-12-16,10,False
2018-12-23,7,False
2018-12-30,8,False
2019-01-06,9,False
2019-01-13,9,False
2019-01-20,11,False
2019-01-27,12,False
2019-02-03,16,False
2019-02-10,15,False
2019-02-17,16,False
2019-02-24,19,False
