date,JKHY,isPartial
2016-08-21,12,False
2016-08-28,24,False
2016-09-04,24,False
2016-09-11,12,False
2016-09-18,23,False
2016-09-25,12,False
2016-10-02,0,False
2016-10-09,23,False
2016-10-16,0,False
2016-10-23,0,False
2016-10-30,12,False
2016-11-06,11,False
2016-11-13,0,False
2016-11-20,22,False
2016-11-27,11,False
2016-12-04,0,False
2016-12-11,22,False
2016-12-18,0,False
2016-12-25,24,False
2017-01-01,11,False
2017-01-08,11,False
2017-01-15,0,False
2017-01-22,43,False
2017-01-29,10,False
2017-02-05,10,False
2017-02-12,10,False
2017-02-19,11,False
2017-02-26,21,False
2017-03-05,20,False
2017-03-12,31,False
2017-03-19,0,False
2017-03-26,11,False
2017-04-02,11,False
2017-04-09,22,False
2017-04-16,0,False
2017-04-23,11,False
2017-04-30,21,False
2017-05-07,21,False
2017-05-14,0,False
2017-05-21,80,False
2017-05-28,0,False
2017-06-04,22,False
2017-06-11,23,False
2017-06-18,11,False
2017-06-25,12,False
2017-07-02,0,False
2017-07-09,11,False
2017-07-16,47,False
2017-07-23,0,False
2017-07-30,22,False
2017-08-06,11,False
2017-08-13,0,False
2017-08-20,11,False
2017-08-27,11,False
2017-09-03,22,False
2017-09-10,32,False
2017-09-17,11,False
2017-09-24,0,False
2017-10-01,11,False
2017-10-08,0,False
2017-10-15,21,False
2017-10-22,0,False
2017-10-29,0,False
2017-11-05,21,False
2017-11-12,10,False
2017-11-19,21,False
2017-11-26,20,False
2017-12-03,31,False
2017-12-10,21,False
2017-12-17,11,False
2017-12-24,0,False
2017-12-31,0,False
2018-01-07,0,False
2018-01-14,20,False
2018-01-21,0,False
2018-01-28,50,False
2018-02-04,60,False
2018-02-11,0,False
2018-02-18,10,False
2018-02-25,10,False
2018-03-04,0,False
2018-03-11,10,False
2018-03-18,10,False
2018-03-25,21,False
2018-04-01,20,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,20,False
2018-04-29,20,False
2018-05-06,0,False
2018-05-13,20,False
2018-05-20,10,False
2018-05-27,0,False
2018-06-03,10,False
2018-06-10,10,False
2018-06-17,10,False
2018-06-24,10,False
2018-07-01,0,False
2018-07-08,20,False
2018-07-15,0,False
2018-07-22,10,False
2018-07-29,10,False
2018-08-05,10,False
2018-08-12,0,False
2018-08-19,20,False
2018-08-26,10,False
2018-09-02,40,False
2018-09-09,10,False
2018-09-16,10,False
2018-09-23,10,False
2018-09-30,10,False
2018-10-07,20,False
2018-10-14,20,False
2018-10-21,10,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,10,False
2018-11-25,19,False
2018-12-02,29,False
2018-12-09,20,False
2018-12-16,10,False
2018-12-23,22,False
2018-12-30,0,False
2019-01-06,20,False
2019-01-13,10,False
2019-01-20,0,False
2019-01-27,10,False
2019-02-03,0,False
2019-02-10,10,False
2019-02-17,0,False
2019-02-24,19,False
2019-03-03,19,False
2019-03-10,10,False
2019-03-17,0,False
2019-03-24,19,False
2019-03-31,29,False
2019-04-07,10,False
2019-04-14,10,False
2019-04-21,10,False
2019-04-28,29,False
2019-05-05,10,False
2019-05-12,29,False
2019-05-19,10,False
2019-05-26,19,False
