date,GNRC,isPartial
2016-08-21,11,False
2016-08-28,26,False
2016-09-04,36,False
2016-09-11,5,False
2016-09-18,10,False
2016-09-25,20,False
2016-10-02,10,False
2016-10-09,30,False
2016-10-16,5,False
2016-10-23,15,False
2016-10-30,15,False
2016-11-06,24,False
2016-11-13,0,False
2016-11-20,19,False
2016-11-27,14,False
2016-12-04,19,False
2016-12-11,14,False
2016-12-18,10,False
2016-12-25,26,False
2017-01-01,5,False
2017-01-08,14,False
2017-01-15,5,False
2017-01-22,5,False
2017-01-29,13,False
2017-02-05,18,False
2017-02-12,18,False
2017-02-19,18,False
2017-02-26,13,False
2017-03-05,26,False
2017-03-12,18,False
2017-03-19,23,False
2017-03-26,5,False
2017-04-02,9,False
2017-04-09,9,False
2017-04-16,5,False
2017-04-23,9,False
2017-04-30,23,False
2017-05-07,28,False
2017-05-14,38,False
2017-05-21,25,False
2017-05-28,5,False
2017-06-04,24,False
2017-06-11,29,False
2017-06-18,9,False
2017-06-25,5,False
2017-07-02,25,False
2017-07-09,20,False
2017-07-16,25,False
2017-07-23,5,False
2017-07-30,33,False
2017-08-06,9,False
2017-08-13,14,False
2017-08-20,37,False
2017-08-27,33,False
2017-09-03,33,False
2017-09-10,50,False
2017-09-17,41,False
2017-09-24,41,False
2017-10-01,32,False
2017-10-08,36,False
2017-10-15,28,False
2017-10-22,22,False
2017-10-29,27,False
2017-11-05,26,False
2017-11-12,40,False
2017-11-19,31,False
2017-11-26,22,False
2017-12-03,40,False
2017-12-10,4,False
2017-12-17,23,False
2017-12-24,30,False
2017-12-31,19,False
2018-01-07,30,False
2018-01-14,43,False
2018-01-21,30,False
2018-01-28,17,False
2018-02-04,22,False
2018-02-11,9,False
2018-02-18,21,False
2018-02-25,29,False
2018-03-04,30,False
2018-03-11,17,False
2018-03-18,38,False
2018-03-25,13,False
2018-04-01,22,False
2018-04-08,34,False
2018-04-15,13,False
2018-04-22,35,False
2018-04-29,43,False
2018-05-06,4,False
2018-05-13,44,False
2018-05-20,26,False
2018-05-27,35,False
2018-06-03,26,False
2018-06-10,25,False
2018-06-17,26,False
2018-06-24,47,False
2018-07-01,13,False
2018-07-08,30,False
2018-07-15,35,False
2018-07-22,39,False
2018-07-29,21,False
2018-08-05,21,False
2018-08-12,43,False
2018-08-19,44,False
2018-08-26,39,False
2018-09-02,30,False
2018-09-09,46,False
2018-09-16,38,False
2018-09-23,21,False
2018-09-30,8,False
2018-10-07,25,False
2018-10-14,26,False
2018-10-21,25,False
2018-10-28,38,False
2018-11-04,17,False
2018-11-11,13,False
2018-11-18,17,False
2018-11-25,25,False
2018-12-02,21,False
2018-12-09,34,False
2018-12-16,17,False
2018-12-23,24,False
2018-12-30,32,False
2019-01-06,25,False
2019-01-13,29,False
2019-01-20,25,False
2019-01-27,41,False
2019-02-03,33,False
2019-02-10,25,False
2019-02-17,25,False
2019-02-24,41,False
2019-03-03,13,False
2019-03-10,41,False
2019-03-17,29,False
2019-03-24,12,False
2019-03-31,46,False
2019-04-07,62,False
2019-04-14,31,False
2019-04-21,34,False
2019-04-28,25,False
2019-05-05,42,False
2019-05-12,21,False
2019-05-19,41,False
2019-05-26,29,False
2019-06-02,25,False
2019-06-09,37,False
2019-06-16,33,False
2019-06-23,29,False
2019-06-30,29,False
2019-07-07,29,False
2019-07-14,55,False
2019-07-21,13,False
2019-07-28,30,False
2019-08-04,34,False
2019-08-11,33,False
2019-08-18,25,False
2019-08-25,37,False
2019-09-01,44,False
2019-09-08,59,False
2019-09-15,24,False
2019-09-22,27,False
2019-09-29,39,False
2019-10-06,51,False
2019-10-13,39,False
2019-10-20,42,False
2019-10-27,83,False
2019-11-03,54,False
2019-11-10,19,False
2019-11-17,39,False
2019-11-24,65,False
2019-12-01,43,False
2019-12-08,20,False
2019-12-15,12,False
2019-12-22,47,False
2019-12-29,28,False
2020-01-05,34,False
2020-01-12,29,False
2020-01-19,26,False
2020-01-26,48,False
2020-02-02,41,False
2020-02-09,58,False
2020-02-16,33,False
2020-02-23,50,False
2020-03-01,60,False
2020-03-08,25,False
2020-03-15,48,False
2020-03-22,44,False
2020-03-29,20,False
2020-04-05,20,False
2020-04-12,17,False
2020-04-19,20,False
2020-04-26,30,False
2020-05-03,26,False
2020-05-10,31,False
2020-05-17,20,False
2020-05-24,31,False
2020-05-31,30,False
2020-06-07,14,False
2020-06-14,45,False
2020-06-21,38,False
2020-06-28,43,False
2020-07-05,29,False
2020-07-12,40,False
2020-07-19,48,False
2020-07-26,38,False
2020-08-02,40,False
2020-08-09,51,False
2020-08-16,57,False
2020-08-23,60,False
2020-08-30,56,False
2020-09-06,60,False
2020-09-13,52,False
2020-09-20,38,False
2020-09-27,65,False
2020-10-04,57,False
2020-10-11,49,False
2020-10-18,71,False
2020-10-25,52,False
2020-11-01,35,False
2020-11-08,52,False
2020-11-15,33,False
2020-11-22,26,False
2020-11-29,54,False
2020-12-06,59,False
2020-12-13,22,False
2020-12-20,36,False
2020-12-27,40,False
2021-01-03,58,False
2021-01-10,37,False
2021-01-17,33,False
2021-01-24,59,False
2021-01-31,63,False
2021-02-07,69,False
2021-02-14,52,False
2021-02-21,72,False
2021-02-28,48,False
2021-03-07,41,False
2021-03-14,100,False
2021-03-21,73,False
2021-03-28,50,False
2021-04-04,59,False
2021-04-11,29,False
2021-04-18,63,False
2021-04-25,69,False
2021-05-02,44,False
2021-05-09,61,False
2021-05-16,52,False
2021-05-23,34,False
2021-05-30,41,False
2021-06-06,48,False
2021-06-13,87,False
2021-06-20,80,False
2021-06-27,57,False
2021-07-04,54,False
2021-07-11,62,False
2021-07-18,75,False
2021-07-25,84,False
2021-08-01,89,False
2021-08-08,58,True
