date,ATVI,isPartial
2016-08-21,7,False
2016-08-28,9,False
2016-09-04,13,False
2016-09-11,8,False
2016-09-18,11,False
2016-09-25,6,False
2016-10-02,9,False
2016-10-09,6,False
2016-10-16,11,False
2016-10-23,13,False
2016-10-30,19,False
2016-11-06,14,False
2016-11-13,19,False
2016-11-20,14,False
2016-11-27,13,False
2016-12-04,15,False
2016-12-11,14,False
2016-12-18,9,False
2016-12-25,9,False
2017-01-01,10,False
2017-01-08,15,False
2017-01-15,8,False
2017-01-22,11,False
2017-01-29,13,False
2017-02-05,41,False
2017-02-12,27,False
2017-02-19,11,False
2017-02-26,13,False
2017-03-05,12,False
2017-03-12,16,False
2017-03-19,10,False
2017-03-26,11,False
2017-04-02,12,False
2017-04-09,9,False
2017-04-16,6,False
2017-04-23,17,False
2017-04-30,31,False
2017-05-07,27,False
2017-05-14,28,False
2017-05-21,25,False
2017-05-28,12,False
2017-06-04,23,False
2017-06-11,15,False
2017-06-18,16,False
2017-06-25,15,False
2017-07-02,12,False
2017-07-09,18,False
2017-07-16,19,False
2017-07-23,12,False
2017-07-30,48,False
2017-08-06,31,False
2017-08-13,19,False
2017-08-20,20,False
2017-08-27,24,False
2017-09-03,17,False
2017-09-10,22,False
2017-09-17,20,False
2017-09-24,22,False
2017-10-01,14,False
2017-10-08,17,False
2017-10-15,15,False
2017-10-22,22,False
2017-10-29,43,False
2017-11-05,35,False
2017-11-12,22,False
2017-11-19,16,False
2017-11-26,28,False
2017-12-03,24,False
2017-12-10,14,False
2017-12-17,18,False
2017-12-24,9,False
2017-12-31,12,False
2018-01-07,24,False
2018-01-14,19,False
2018-01-21,14,False
2018-01-28,28,False
2018-02-04,43,False
2018-02-11,20,False
2018-02-18,13,False
2018-02-25,16,False
2018-03-04,22,False
2018-03-11,17,False
2018-03-18,19,False
2018-03-25,19,False
2018-04-01,10,False
2018-04-08,13,False
2018-04-15,16,False
2018-04-22,17,False
2018-04-29,36,False
2018-05-06,16,False
2018-05-13,19,False
2018-05-20,11,False
2018-05-27,15,False
2018-06-03,17,False
2018-06-10,18,False
2018-06-17,12,False
2018-06-24,16,False
2018-07-01,12,False
2018-07-08,22,False
2018-07-15,21,False
2018-07-22,18,False
2018-07-29,43,False
2018-08-05,23,False
2018-08-12,24,False
2018-08-19,22,False
2018-08-26,21,False
2018-09-02,16,False
2018-09-09,33,False
2018-09-16,19,False
2018-09-23,20,False
2018-09-30,21,False
2018-10-07,21,False
2018-10-14,40,False
2018-10-21,34,False
2018-10-28,26,False
2018-11-04,80,False
2018-11-11,38,False
2018-11-18,27,False
2018-11-25,18,False
2018-12-02,40,False
2018-12-09,28,False
2018-12-16,21,False
2018-12-23,13,False
2018-12-30,22,False
2019-01-06,36,False
2019-01-13,27,False
2019-01-20,19,False
2019-01-27,15,False
2019-02-03,41,False
2019-02-10,96,False
2019-02-17,26,False
2019-02-24,18,False
2019-03-03,23,False
2019-03-10,16,False
2019-03-17,22,False
2019-03-24,19,False
2019-03-31,20,False
2019-04-07,14,False
2019-04-14,17,False
2019-04-21,18,False
2019-04-28,29,False
2019-05-05,26,False
2019-05-12,12,False
2019-05-19,15,False
2019-05-26,17,False
2019-06-02,9,False
2019-06-09,17,False
