date,NDAQ,isPartial
2016-08-21,27,False
2016-08-28,0,False
2016-09-04,17,False
2016-09-11,17,False
2016-09-18,34,False
2016-09-25,17,False
2016-10-02,17,False
2016-10-09,0,False
2016-10-16,0,False
2016-10-23,0,False
2016-10-30,9,False
2016-11-06,25,False
2016-11-13,17,False
2016-11-20,0,False
2016-11-27,8,False
2016-12-04,8,False
2016-12-11,24,False
2016-12-18,26,False
2016-12-25,9,False
2017-01-01,8,False
2017-01-08,16,False
2017-01-15,16,False
2017-01-22,8,False
2017-01-29,15,False
2017-02-05,8,False
2017-02-12,15,False
2017-02-19,16,False
2017-02-26,15,False
2017-03-05,22,False
2017-03-12,7,False
2017-03-19,0,False
2017-03-26,15,False
2017-04-02,0,False
2017-04-09,24,False
2017-04-16,8,False
2017-04-23,23,False
2017-04-30,8,False
2017-05-07,23,False
2017-05-14,16,False
2017-05-21,25,False
2017-05-28,8,False
2017-06-04,8,False
2017-06-11,41,False
2017-06-18,24,False
2017-06-25,17,False
2017-07-02,17,False
2017-07-09,0,False
2017-07-16,17,False
2017-07-23,16,False
2017-07-30,24,False
2017-08-06,8,False
2017-08-13,8,False
2017-08-20,24,False
2017-08-27,8,False
2017-09-03,32,False
2017-09-10,0,False
2017-09-17,8,False
2017-09-24,8,False
2017-10-01,16,False
2017-10-08,61,False
2017-10-15,23,False
2017-10-22,15,False
2017-10-29,8,False
2017-11-05,15,False
2017-11-12,0,False
2017-11-19,15,False
2017-11-26,37,False
2017-12-03,23,False
2017-12-10,8,False
2017-12-17,16,False
2017-12-24,34,False
2017-12-31,8,False
2018-01-07,15,False
2018-01-14,22,False
2018-01-21,7,False
2018-01-28,7,False
2018-02-04,22,False
2018-02-11,14,False
2018-02-18,29,False
2018-02-25,21,False
2018-03-04,7,False
2018-03-11,36,False
2018-03-18,7,False
2018-03-25,15,False
2018-04-01,22,False
2018-04-08,29,False
2018-04-15,29,False
2018-04-22,37,False
2018-04-29,22,False
2018-05-06,22,False
2018-05-13,15,False
2018-05-20,7,False
2018-05-27,30,False
2018-06-03,37,False
2018-06-10,21,False
2018-06-17,7,False
2018-06-24,29,False
2018-07-01,0,False
2018-07-08,7,False
2018-07-15,7,False
2018-07-22,22,False
2018-07-29,22,False
2018-08-05,7,False
2018-08-12,15,False
2018-08-19,15,False
2018-08-26,15,False
2018-09-02,22,False
2018-09-09,14,False
2018-09-16,14,False
2018-09-23,42,False
2018-09-30,35,False
2018-10-07,29,False
2018-10-14,22,False
2018-10-21,21,False
2018-10-28,22,False
2018-11-04,14,False
2018-11-11,21,False
2018-11-18,22,False
2018-11-25,14,False
2018-12-02,36,False
2018-12-09,7,False
2018-12-16,51,False
2018-12-23,16,False
2018-12-30,8,False
2019-01-06,43,False
2019-01-13,21,False
2019-01-20,21,False
2019-01-27,49,False
2019-02-03,14,False
2019-02-10,7,False
2019-02-17,7,False
2019-02-24,28,False
2019-03-03,42,False
2019-03-10,21,False
2019-03-17,14,False
2019-03-24,14,False
2019-03-31,42,False
2019-04-07,35,False
2019-04-14,22,False
2019-04-21,50,False
2019-04-28,43,False
2019-05-05,49,False
2019-05-12,14,False
2019-05-19,35,False
2019-05-26,14,False
2019-06-02,35,False
2019-06-09,34,False
2019-06-16,28,False
2019-06-23,21,False
2019-06-30,35,False
2019-07-07,21,False
2019-07-14,21,False
2019-07-21,22,False
2019-07-28,29,False
2019-08-04,14,False
2019-08-11,21,False
2019-08-18,14,False
2019-08-25,14,False
2019-09-01,0,False
2019-09-08,40,False
2019-09-15,27,False
2019-09-22,40,False
2019-09-29,20,False
2019-10-06,13,False
2019-10-13,7,False
2019-10-20,6,False
2019-10-27,33,False
2019-11-03,0,False
2019-11-10,20,False
2019-11-17,7,False
2019-11-24,6,False
2019-12-01,13,False
2019-12-08,13,False
2019-12-15,20,False
2019-12-22,22,False
2019-12-29,14,False
2020-01-05,13,False
2020-01-12,24,False
2020-01-19,13,False
2020-01-26,25,False
2020-02-02,19,False
2020-02-09,25,False
2020-02-16,25,False
2020-02-23,30,False
2020-03-01,72,False
2020-03-08,53,False
2020-03-15,35,False
2020-03-22,51,False
2020-03-29,39,False
2020-04-05,23,False
2020-04-12,28,False
2020-04-19,45,False
2020-04-26,28,False
2020-05-03,34,False
2020-05-10,17,False
2020-05-17,46,False
2020-05-24,35,False
2020-05-31,57,False
2020-06-07,57,False
2020-06-14,35,False
2020-06-21,18,False
2020-06-28,36,False
2020-07-05,18,False
2020-07-12,56,False
2020-07-19,100,False
2020-07-26,32,False
2020-08-02,43,False
2020-08-09,18,False
2020-08-16,48,False
2020-08-23,42,False
2020-08-30,24,False
2020-09-06,65,False
2020-09-13,35,False
2020-09-20,29,False
2020-09-27,24,False
2020-10-04,42,False
2020-10-11,32,False
2020-10-18,32,False
2020-10-25,6,False
2020-11-01,36,False
2020-11-08,50,False
2020-11-15,38,False
2020-11-22,38,False
2020-11-29,18,False
2020-12-06,6,False
2020-12-13,12,False
2020-12-20,14,False
2020-12-27,27,False
2021-01-03,31,False
2021-01-10,31,False
2021-01-17,12,False
2021-01-24,38,False
2021-01-31,12,False
2021-02-07,37,False
2021-02-14,19,False
2021-02-21,24,False
2021-02-28,25,False
2021-03-07,37,False
2021-03-14,17,False
2021-03-21,25,False
2021-03-28,20,False
2021-04-04,50,False
2021-04-11,50,False
2021-04-18,19,False
2021-04-25,37,False
2021-05-02,19,False
2021-05-09,38,False
2021-05-16,25,False
2021-05-23,32,False
2021-05-30,38,False
2021-06-06,31,False
2021-06-13,19,False
2021-06-20,26,False
2021-06-27,32,False
2021-07-04,13,False
2021-07-11,20,False
2021-07-18,74,False
2021-07-25,39,False
2021-08-01,33,False
2021-08-08,15,True
