date,LRCX,isPartial
2016-08-21,6,False
2016-08-28,4,False
2016-09-04,4,False
2016-09-11,10,False
2016-09-18,4,False
2016-09-25,1,False
2016-10-02,11,False
2016-10-09,6,False
2016-10-16,14,False
2016-10-23,7,False
2016-10-30,3,False
2016-11-06,4,False
2016-11-13,10,False
2016-11-20,5,False
2016-11-27,10,False
2016-12-04,12,False
2016-12-11,9,False
2016-12-18,3,False
2016-12-25,6,False
2017-01-01,10,False
2017-01-08,12,False
2017-01-15,8,False
2017-01-22,15,False
2017-01-29,12,False
2017-02-05,11,False
2017-02-12,10,False
2017-02-19,8,False
2017-02-26,7,False
2017-03-05,6,False
2017-03-12,9,False
2017-03-19,10,False
2017-03-26,6,False
2017-04-02,6,False
2017-04-09,5,False
2017-04-16,24,False
2017-04-23,21,False
2017-04-30,17,False
2017-05-07,22,False
2017-05-14,17,False
2017-05-21,14,False
2017-05-28,11,False
2017-06-04,17,False
2017-06-11,20,False
2017-06-18,5,False
2017-06-25,11,False
2017-07-02,15,False
2017-07-09,26,False
2017-07-16,19,False
2017-07-23,42,False
2017-07-30,21,False
2017-08-06,17,False
2017-08-13,20,False
2017-08-20,20,False
2017-08-27,18,False
2017-09-03,13,False
2017-09-10,13,False
2017-09-17,22,False
2017-09-24,20,False
2017-10-01,11,False
2017-10-08,23,False
2017-10-15,42,False
2017-10-22,33,False
2017-10-29,36,False
2017-11-05,10,False
2017-11-12,25,False
2017-11-19,33,False
2017-11-26,45,False
2017-12-03,33,False
2017-12-10,25,False
2017-12-17,23,False
2017-12-24,18,False
2017-12-31,33,False
2018-01-07,35,False
2018-01-14,35,False
2018-01-21,86,False
2018-01-28,42,False
2018-02-04,35,False
2018-02-11,48,False
2018-02-18,29,False
2018-02-25,28,False
2018-03-04,58,False
2018-03-11,48,False
2018-03-18,52,False
2018-03-25,52,False
2018-04-01,22,False
2018-04-08,37,False
2018-04-15,100,False
2018-04-22,38,False
2018-04-29,31,False
2018-05-06,34,False
2018-05-13,29,False
2018-05-20,21,False
2018-05-27,27,False
2018-06-03,45,False
2018-06-10,46,False
2018-06-17,52,False
2018-06-24,39,False
2018-07-01,34,False
2018-07-08,49,False
2018-07-15,31,False
2018-07-22,67,False
2018-07-29,26,False
2018-08-05,30,False
2018-08-12,34,False
2018-08-19,22,False
2018-08-26,29,False
2018-09-02,31,False
2018-09-09,29,False
2018-09-16,31,False
2018-09-23,20,False
2018-09-30,28,False
2018-10-07,29,False
2018-10-14,52,False
2018-10-21,25,False
2018-10-28,30,False
2018-11-04,29,False
2018-11-11,24,False
2018-11-18,15,False
2018-11-25,14,False
2018-12-02,32,False
2018-12-09,23,False
2018-12-16,16,False
2018-12-23,12,False
2018-12-30,10,False
2019-01-06,19,False
2019-01-13,7,False
2019-01-20,50,False
2019-01-27,25,False
2019-02-03,33,False
2019-02-10,28,False
2019-02-17,21,False
2019-02-24,24,False
2019-03-03,17,False
2019-03-10,36,False
2019-03-17,22,False
2019-03-24,9,False
2019-03-31,30,False
2019-04-07,19,False
2019-04-14,24,False
2019-04-21,37,False
2019-04-28,20,False
2019-05-05,20,False
2019-05-12,19,False
2019-05-19,15,False
2019-05-26,18,False
2019-06-02,17,False
2019-06-09,18,False
2019-06-16,9,False
2019-06-23,17,False
2019-06-30,10,False
2019-07-07,22,False
2019-07-14,11,False
2019-07-21,31,False
2019-07-28,19,False
2019-08-04,18,False
2019-08-11,16,False
2019-08-18,17,False
2019-08-25,16,False
2019-09-01,12,False
2019-09-08,26,False
2019-09-15,14,False
2019-09-22,25,False
2019-09-29,13,False
2019-10-06,18,False
2019-10-13,12,False
2019-10-20,35,False
2019-10-27,23,False
2019-11-03,15,False
2019-11-10,27,False
2019-11-17,16,False
2019-11-24,17,False
2019-12-01,10,False
2019-12-08,9,False
2019-12-15,22,False
2019-12-22,2,False
2019-12-29,12,False
