date,INTU,isPartial
2016-08-21,19,False
2016-08-28,19,False
2016-09-04,20,False
2016-09-11,17,False
2016-09-18,19,False
2016-09-25,19,False
2016-10-02,18,False
2016-10-09,20,False
2016-10-16,18,False
2016-10-23,22,False
2016-10-30,24,False
2016-11-06,21,False
2016-11-13,24,False
2016-11-20,22,False
2016-11-27,26,False
2016-12-04,30,False
2016-12-11,35,False
2016-12-18,36,False
2016-12-25,40,False
2017-01-01,31,False
2017-01-08,21,False
2017-01-15,17,False
2017-01-22,19,False
2017-01-29,19,False
2017-02-05,17,False
2017-02-12,22,False
2017-02-19,15,False
2017-02-26,21,False
2017-03-05,15,False
2017-03-12,16,False
2017-03-19,18,False
2017-03-26,16,False
2017-04-02,19,False
2017-04-09,25,False
2017-04-16,20,False
2017-04-23,16,False
2017-04-30,23,False
2017-05-07,15,False
2017-05-14,17,False
2017-05-21,17,False
2017-05-28,21,False
2017-06-04,20,False
2017-06-11,18,False
2017-06-18,18,False
2017-06-25,24,False
2017-07-02,20,False
2017-07-09,22,False
2017-07-16,20,False
2017-07-23,18,False
2017-07-30,21,False
2017-08-06,21,False
2017-08-13,23,False
2017-08-20,24,False
2017-08-27,19,False
2017-09-03,25,False
2017-09-10,22,False
2017-09-17,23,False
2017-09-24,18,False
2017-10-01,21,False
2017-10-08,18,False
2017-10-15,19,False
2017-10-22,21,False
2017-10-29,20,False
2017-11-05,20,False
2017-11-12,24,False
2017-11-19,25,False
2017-11-26,28,False
2017-12-03,33,False
2017-12-10,33,False
2017-12-17,38,False
2017-12-24,43,False
2017-12-31,25,False
2018-01-07,21,False
2018-01-14,20,False
2018-01-21,17,False
2018-01-28,19,False
2018-02-04,19,False
2018-02-11,21,False
2018-02-18,20,False
2018-02-25,18,False
2018-03-04,20,False
2018-03-11,19,False
2018-03-18,19,False
2018-03-25,27,False
2018-04-01,22,False
2018-04-08,20,False
2018-04-15,16,False
2018-04-22,18,False
2018-04-29,19,False
2018-05-06,19,False
2018-05-13,14,False
2018-05-20,17,False
2018-05-27,19,False
2018-06-03,18,False
2018-06-10,18,False
2018-06-17,16,False
2018-06-24,17,False
2018-07-01,17,False
2018-07-08,16,False
2018-07-15,19,False
2018-07-22,20,False
2018-07-29,20,False
2018-08-05,18,False
2018-08-12,21,False
2018-08-19,20,False
2018-08-26,23,False
2018-09-02,17,False
2018-09-09,20,False
2018-09-16,21,False
2018-09-23,25,False
2018-09-30,24,False
2018-10-07,22,False
2018-10-14,21,False
2018-10-21,23,False
2018-10-28,26,False
2018-11-04,20,False
2018-11-11,27,False
2018-11-18,29,False
2018-11-25,33,False
2018-12-02,33,False
2018-12-09,29,False
2018-12-16,34,False
2018-12-23,41,False
2018-12-30,37,False
2019-01-06,23,False
2019-01-13,21,False
2019-01-20,19,False
2019-01-27,22,False
2019-02-03,19,False
2019-02-10,19,False
2019-02-17,19,False
2019-02-24,15,False
2019-03-03,19,False
2019-03-10,20,False
2019-03-17,16,False
2019-03-24,18,False
2019-03-31,21,False
2019-04-07,22,False
2019-04-14,28,False
2019-04-21,19,False
2019-04-28,19,False
2019-05-05,18,False
2019-05-12,17,False
2019-05-19,15,False
2019-05-26,23,False
2019-06-02,19,False
2019-06-09,22,False
2019-06-16,17,False
2019-06-23,17,False
2019-06-30,17,False
2019-07-07,18,False
2019-07-14,20,False
2019-07-21,23,False
2019-07-28,25,False
2019-08-04,25,False
2019-08-11,25,False
2019-08-18,22,False
2019-08-25,25,False
2019-09-01,22,False
2019-09-08,21,False
2019-09-15,22,False
2019-09-22,21,False
2019-09-29,26,False
2019-10-06,22,False
2019-10-13,23,False
2019-10-20,23,False
2019-10-27,26,False
2019-11-03,25,False
2019-11-10,23,False
2019-11-17,26,False
2019-11-24,28,False
2019-12-01,31,False
2019-12-08,33,False
2019-12-15,34,False
2019-12-22,46,False
2019-12-29,34,False
2020-01-05,25,False
2020-01-12,23,False
2020-01-19,21,False
2020-01-26,21,False
2020-02-02,20,False
2020-02-09,23,False
2020-02-16,26,False
2020-02-23,20,False
2020-03-01,24,False
2020-03-08,27,False
2020-03-15,26,False
2020-03-22,13,False
2020-03-29,10,False
2020-04-05,8,False
2020-04-12,8,False
2020-04-19,7,False
2020-04-26,9,False
2020-05-03,7,False
2020-05-10,8,False
2020-05-17,14,False
2020-05-24,11,False
2020-05-31,19,False
2020-06-07,24,False
2020-06-14,24,False
2020-06-21,100,False
2020-06-28,35,False
2020-07-05,21,False
2020-07-12,20,False
2020-07-19,16,False
2020-07-26,17,False
2020-08-02,15,False
2020-08-09,17,False
2020-08-16,18,False
2020-08-23,19,False
2020-08-30,15,False
2020-09-06,14,False
2020-09-13,10,False
2020-09-20,12,False
2020-09-27,12,False
2020-10-04,12,False
