date,NKE,isPartial
2016-08-21,21,False
2016-08-28,19,False
2016-09-04,19,False
2016-09-11,19,False
2016-09-18,17,False
2016-09-25,26,False
2016-10-02,22,False
2016-10-09,18,False
2016-10-16,16,False
2016-10-23,25,False
2016-10-30,23,False
2016-11-06,16,False
2016-11-13,21,False
2016-11-20,18,False
2016-11-27,20,False
2016-12-04,24,False
2016-12-11,18,False
2016-12-18,29,False
2016-12-25,16,False
2017-01-01,22,False
2017-01-08,21,False
2017-01-15,21,False
2017-01-22,20,False
2017-01-29,24,False
2017-02-05,20,False
2017-02-12,19,False
2017-02-19,13,False
2017-02-26,15,False
2017-03-05,21,False
2017-03-12,25,False
2017-03-19,29,False
2017-03-26,16,False
2017-04-02,22,False
2017-04-09,18,False
2017-04-16,19,False
2017-04-23,18,False
2017-04-30,19,False
2017-05-07,22,False
2017-05-14,22,False
2017-05-21,16,False
2017-05-28,17,False
2017-06-04,17,False
2017-06-11,20,False
2017-06-18,19,False
2017-06-25,31,False
2017-07-02,17,False
2017-07-09,14,False
2017-07-16,17,False
2017-07-23,20,False
2017-07-30,15,False
2017-08-06,19,False
2017-08-13,16,False
2017-08-20,16,False
2017-08-27,19,False
2017-09-03,15,False
2017-09-10,20,False
2017-09-17,14,False
2017-09-24,31,False
2017-10-01,15,False
2017-10-08,18,False
2017-10-15,20,False
2017-10-22,20,False
2017-10-29,14,False
2017-11-05,17,False
2017-11-12,21,False
2017-11-19,18,False
2017-11-26,21,False
2017-12-03,25,False
2017-12-10,20,False
2017-12-17,23,False
2017-12-24,15,False
2017-12-31,20,False
2018-01-07,23,False
2018-01-14,16,False
2018-01-21,25,False
2018-01-28,14,False
2018-02-04,22,False
2018-02-11,19,False
2018-02-18,15,False
2018-02-25,17,False
2018-03-04,17,False
2018-03-11,15,False
2018-03-18,23,False
2018-03-25,15,False
2018-04-01,20,False
2018-04-08,16,False
2018-04-15,18,False
2018-04-22,16,False
2018-04-29,17,False
2018-05-06,17,False
2018-05-13,24,False
2018-05-20,23,False
2018-05-27,20,False
2018-06-03,19,False
2018-06-10,20,False
2018-06-17,20,False
2018-06-24,30,False
2018-07-01,21,False
2018-07-08,13,False
2018-07-15,15,False
2018-07-22,16,False
2018-07-29,17,False
2018-08-05,16,False
2018-08-12,16,False
2018-08-19,18,False
2018-08-26,12,False
2018-09-02,100,False
2018-09-09,38,False
2018-09-16,27,False
2018-09-23,41,False
2018-09-30,22,False
2018-10-07,20,False
2018-10-14,19,False
2018-10-21,17,False
2018-10-28,20,False
2018-11-04,17,False
2018-11-11,12,False
2018-11-18,20,False
2018-11-25,17,False
2018-12-02,17,False
2018-12-09,22,False
2018-12-16,28,False
2018-12-23,18,False
2018-12-30,14,False
2019-01-06,19,False
2019-01-13,20,False
2019-01-20,17,False
2019-01-27,14,False
2019-02-03,18,False
2019-02-10,19,False
2019-02-17,25,False
2019-02-24,19,False
2019-03-03,18,False
2019-03-10,15,False
2019-03-17,19,False
2019-03-24,19,False
2019-03-31,18,False
2019-04-07,14,False
2019-04-14,15,False
2019-04-21,20,False
2019-04-28,16,False
2019-05-05,17,False
2019-05-12,18,False
2019-05-19,15,False
2019-05-26,14,False
2019-06-02,16,False
2019-06-09,18,False
2019-06-16,15,False
2019-06-23,19,False
2019-06-30,15,False
2019-07-07,14,False
2019-07-14,11,False
2019-07-21,12,False
2019-07-28,12,False
2019-08-04,13,False
2019-08-11,11,False
2019-08-18,17,False
2019-08-25,17,False
2019-09-01,13,False
2019-09-08,17,False
2019-09-15,13,False
2019-09-22,20,False
2019-09-29,18,False
2019-10-06,15,False
2019-10-13,16,False
2019-10-20,18,False
2019-10-27,17,False
2019-11-03,15,False
2019-11-10,18,False
2019-11-17,19,False
2019-11-24,18,False
2019-12-01,22,False
2019-12-08,21,False
2019-12-15,28,False
2019-12-22,17,False
2019-12-29,13,False
2020-01-05,20,False
2020-01-12,16,False
2020-01-19,18,False
2020-01-26,15,False
2020-02-02,21,False
2020-02-09,17,False
2020-02-16,15,False
2020-02-23,20,False
2020-03-01,19,False
2020-03-08,19,False
2020-03-15,20,False
2020-03-22,27,False
2020-03-29,20,False
2020-04-05,20,False
2020-04-12,17,False
2020-04-19,18,False
2020-04-26,16,False
2020-05-03,19,False
2020-05-10,15,False
2020-05-17,18,False
2020-05-24,15,False
2020-05-31,14,False
2020-06-07,19,False
2020-06-14,16,False
2020-06-21,30,False
2020-06-28,21,False
2020-07-05,14,False
2020-07-12,15,False
2020-07-19,17,False
2020-07-26,12,False
2020-08-02,16,False
2020-08-09,14,False
2020-08-16,16,False
2020-08-23,20,False
2020-08-30,23,False
2020-09-06,15,False
2020-09-13,20,False
2020-09-20,31,False
2020-09-27,18,False
2020-10-04,19,False
2020-10-11,18,False
2020-10-18,15,False
2020-10-25,15,False
2020-11-01,14,False
2020-11-08,17,False
2020-11-15,21,False
2020-11-22,18,False
2020-11-29,18,False
2020-12-06,17,False
2020-12-13,24,False
2020-12-20,19,False
2020-12-27,13,False
2021-01-03,16,False
2021-01-10,19,False
2021-01-17,19,False
2021-01-24,17,False
2021-01-31,17,False
2021-02-07,17,False
2021-02-14,15,False
2021-02-21,17,False
2021-02-28,14,False
2021-03-07,18,False
2021-03-14,17,False
2021-03-21,23,False
2021-03-28,17,False
2021-04-04,19,False
2021-04-11,17,False
2021-04-18,17,False
2021-04-25,17,False
2021-05-02,16,False
2021-05-09,16,False
2021-05-16,19,False
2021-05-23,14,False
2021-05-30,13,False
2021-06-06,14,False
2021-06-13,11,False
2021-06-20,26,False
2021-06-27,19,False
2021-07-04,15,False
2021-07-11,19,False
2021-07-18,16,False
2021-07-25,14,False
2021-08-01,15,False
2021-08-08,14,True
