date,INCY,isPartial
2016-08-21,87,False
2016-08-28,60,False
2016-09-04,71,False
2016-09-11,65,False
2016-09-18,73,False
2016-09-25,67,False
2016-10-02,69,False
2016-10-09,57,False
2016-10-16,75,False
2016-10-23,81,False
2016-10-30,71,False
2016-11-06,75,False
2016-11-13,67,False
2016-11-20,52,False
2016-11-27,53,False
2016-12-04,60,False
2016-12-11,38,False
2016-12-18,55,False
2016-12-25,56,False
2017-01-01,85,False
2017-01-08,69,False
2017-01-15,70,False
2017-01-22,60,False
2017-01-29,66,False
2017-02-05,59,False
2017-02-12,72,False
2017-02-19,68,False
2017-02-26,64,False
2017-03-05,65,False
2017-03-12,82,False
2017-03-19,61,False
2017-03-26,76,False
2017-04-02,64,False
2017-04-09,70,False
2017-04-16,99,False
2017-04-23,64,False
2017-04-30,63,False
2017-05-07,70,False
2017-05-14,100,False
2017-05-21,64,False
2017-05-28,71,False
2017-06-04,69,False
2017-06-11,74,False
2017-06-18,77,False
2017-06-25,63,False
2017-07-02,69,False
2017-07-09,57,False
2017-07-16,74,False
2017-07-23,77,False
2017-07-30,72,False
2017-08-06,73,False
2017-08-13,81,False
2017-08-20,47,False
2017-08-27,80,False
2017-09-03,70,False
2017-09-10,74,False
2017-09-17,93,False
2017-09-24,78,False
2017-10-01,75,False
2017-10-08,54,False
2017-10-15,73,False
2017-10-22,91,False
2017-10-29,76,False
2017-11-05,75,False
2017-11-12,77,False
2017-11-19,69,False
2017-11-26,49,False
2017-12-03,55,False
2017-12-10,50,False
2017-12-17,49,False
2017-12-24,76,False
2017-12-31,74,False
2018-01-07,67,False
2018-01-14,68,False
2018-01-21,60,False
2018-01-28,73,False
2018-02-04,66,False
2018-02-11,60,False
2018-02-18,66,False
2018-02-25,68,False
2018-03-04,66,False
2018-03-11,76,False
2018-03-18,69,False
2018-03-25,63,False
2018-04-01,69,False
2018-04-08,73,False
2018-04-15,62,False
2018-04-22,61,False
2018-04-29,53,False
2018-05-06,60,False
2018-05-13,58,False
2018-05-20,46,False
2018-05-27,46,False
2018-06-03,69,False
2018-06-10,78,False
2018-06-17,80,False
2018-06-24,65,False
2018-07-01,53,False
2018-07-08,54,False
2018-07-15,75,False
2018-07-22,51,False
2018-07-29,54,False
2018-08-05,52,False
2018-08-12,71,False
2018-08-19,58,False
2018-08-26,62,False
2018-09-02,72,False
2018-09-09,58,False
2018-09-16,63,False
2018-09-23,70,False
2018-09-30,57,False
2018-10-07,69,False
2018-10-14,65,False
2018-10-21,58,False
2018-10-28,74,False
2018-11-04,55,False
2018-11-11,60,False
2018-11-18,75,False
2018-11-25,56,False
2018-12-02,54,False
2018-12-09,63,False
2018-12-16,47,False
2018-12-23,55,False
2018-12-30,62,False
2019-01-06,59,False
2019-01-13,54,False
2019-01-20,50,False
2019-01-27,49,False
2019-02-03,70,False
2019-02-10,63,False
2019-02-17,49,False
2019-02-24,65,False
2019-03-03,71,False
2019-03-10,48,False
2019-03-17,53,False
2019-03-24,60,False
2019-03-31,53,False
2019-04-07,38,False
2019-04-14,31,False
2019-04-21,76,False
2019-04-28,53,False
2019-05-05,47,False
2019-05-12,53,False
2019-05-19,57,False
2019-05-26,55,False
2019-06-02,53,False
2019-06-09,48,False
2019-06-16,50,False
2019-06-23,64,False
2019-06-30,48,False
2019-07-07,53,False
2019-07-14,49,False
2019-07-21,55,False
2019-07-28,51,False
2019-08-04,50,False
2019-08-11,60,False
2019-08-18,57,False
2019-08-25,34,False
2019-09-01,58,False
2019-09-08,60,False
2019-09-15,67,False
2019-09-22,52,False
2019-09-29,56,False
2019-10-06,54,False
2019-10-13,51,False
2019-10-20,63,False
2019-10-27,41,False
2019-11-03,50,False
2019-11-10,47,False
2019-11-17,56,False
2019-11-24,54,False
2019-12-01,49,False
2019-12-08,48,False
2019-12-15,50,False
2019-12-22,37,False
2019-12-29,54,False
2020-01-05,52,False
2020-01-12,50,False
2020-01-19,53,False
2020-01-26,53,False
2020-02-02,36,False
2020-02-09,37,False
2020-02-16,51,False
2020-02-23,40,False
2020-03-01,42,False
2020-03-08,39,False
2020-03-15,32,False
2020-03-22,35,False
2020-03-29,49,False
2020-04-05,32,False
2020-04-12,51,False
2020-04-19,67,False
2020-04-26,55,False
2020-05-03,49,False
2020-05-10,65,False
2020-05-17,49,False
2020-05-24,45,False
2020-05-31,52,False
2020-06-07,48,False
2020-06-14,57,False
2020-06-21,42,False
2020-06-28,31,False
2020-07-05,29,False
2020-07-12,54,False
2020-07-19,48,False
2020-07-26,41,False
2020-08-02,39,False
2020-08-09,48,False
2020-08-16,39,False
2020-08-23,36,False
2020-08-30,40,False
2020-09-06,47,False
2020-09-13,35,False
2020-09-20,43,False
2020-09-27,43,False
2020-10-04,48,False
2020-10-11,35,False
2020-10-18,31,False
2020-10-25,53,False
2020-11-01,44,False
2020-11-08,36,False
2020-11-15,41,False
2020-11-22,43,False
2020-11-29,40,False
2020-12-06,32,False
2020-12-13,39,False
2020-12-20,39,False
2020-12-27,29,False
2021-01-03,38,False
2021-01-10,45,False
2021-01-17,28,False
2021-01-24,51,False
2021-01-31,32,False
2021-02-07,49,False
2021-02-14,40,False
2021-02-21,37,False
2021-02-28,29,False
2021-03-07,39,False
2021-03-14,39,False
2021-03-21,41,False
2021-03-28,36,False
2021-04-04,37,False
2021-04-11,49,False
2021-04-18,40,False
2021-04-25,41,False
2021-05-02,33,False
2021-05-09,37,False
2021-05-16,49,False
2021-05-23,39,False
2021-05-30,26,False
2021-06-06,43,False
2021-06-13,31,False
2021-06-20,40,False
2021-06-27,29,False
2021-07-04,36,False
2021-07-11,42,False
2021-07-18,53,False
2021-07-25,40,False
2021-08-01,36,False
2021-08-08,23,True
