date,ODFL,isPartial
2016-08-21,60,False
2016-08-28,35,False
2016-09-04,23,False
2016-09-11,38,False
2016-09-18,22,False
2016-09-25,45,False
2016-10-02,41,False
2016-10-09,45,False
2016-10-16,41,False
2016-10-23,52,False
2016-10-30,49,False
2016-11-06,47,False
2016-11-13,37,False
2016-11-20,25,False
2016-11-27,28,False
2016-12-04,28,False
2016-12-11,39,False
2016-12-18,46,False
2016-12-25,15,False
2017-01-01,47,False
2017-01-08,7,False
2017-01-15,38,False
2017-01-22,27,False
2017-01-29,21,False
2017-02-05,47,False
2017-02-12,26,False
2017-02-19,24,False
2017-02-26,63,False
2017-03-05,13,False
2017-03-12,30,False
2017-03-19,51,False
2017-03-26,27,False
2017-04-02,44,False
2017-04-09,28,False
2017-04-16,48,False
2017-04-23,30,False
2017-04-30,34,False
2017-05-07,44,False
2017-05-14,54,False
2017-05-21,29,False
2017-05-28,52,False
2017-06-04,36,False
2017-06-11,43,False
2017-06-18,36,False
2017-06-25,44,False
2017-07-02,30,False
2017-07-09,55,False
2017-07-16,47,False
2017-07-23,69,False
2017-07-30,39,False
2017-08-06,49,False
2017-08-13,75,False
2017-08-20,49,False
2017-08-27,67,False
2017-09-03,80,False
2017-09-10,38,False
2017-09-17,65,False
2017-09-24,72,False
2017-10-01,72,False
2017-10-08,51,False
2017-10-15,51,False
2017-10-22,44,False
2017-10-29,40,False
2017-11-05,40,False
2017-11-12,60,False
2017-11-19,43,False
2017-11-26,39,False
2017-12-03,76,False
2017-12-10,64,False
2017-12-17,55,False
2017-12-24,29,False
2017-12-31,35,False
2018-01-07,65,False
2018-01-14,48,False
2018-01-21,60,False
2018-01-28,58,False
2018-02-04,55,False
2018-02-11,49,False
2018-02-18,54,False
2018-02-25,65,False
2018-03-04,57,False
2018-03-11,73,False
2018-03-18,54,False
2018-03-25,56,False
2018-04-01,55,False
2018-04-08,60,False
2018-04-15,29,False
2018-04-22,48,False
2018-04-29,56,False
2018-05-06,55,False
2018-05-13,49,False
2018-05-20,42,False
2018-05-27,59,False
2018-06-03,52,False
2018-06-10,54,False
2018-06-17,74,False
2018-06-24,57,False
2018-07-01,49,False
2018-07-08,29,False
2018-07-15,56,False
2018-07-22,58,False
2018-07-29,65,False
2018-08-05,51,False
2018-08-12,77,False
2018-08-19,69,False
2018-08-26,41,False
2018-09-02,44,False
2018-09-09,56,False
2018-09-16,47,False
2018-09-23,56,False
2018-09-30,89,False
2018-10-07,51,False
2018-10-14,58,False
2018-10-21,79,False
2018-10-28,32,False
2018-11-04,52,False
2018-11-11,38,False
2018-11-18,44,False
2018-11-25,47,False
2018-12-02,38,False
2018-12-09,45,False
2018-12-16,46,False
2018-12-23,25,False
2018-12-30,31,False
2019-01-06,47,False
2019-01-13,31,False
2019-01-20,43,False
2019-01-27,55,False
2019-02-03,55,False
2019-02-10,51,False
2019-02-17,49,False
2019-02-24,36,False
2019-03-03,50,False
2019-03-10,31,False
2019-03-17,37,False
2019-03-24,72,False
2019-03-31,53,False
2019-04-07,60,False
2019-04-14,65,False
2019-04-21,38,False
2019-04-28,60,False
2019-05-05,50,False
2019-05-12,62,False
2019-05-19,37,False
2019-05-26,37,False
2019-06-02,43,False
2019-06-09,39,False
2019-06-16,47,False
2019-06-23,59,False
2019-06-30,53,False
2019-07-07,59,False
2019-07-14,57,False
2019-07-21,52,False
2019-07-28,48,False
2019-08-04,61,False
2019-08-11,85,False
2019-08-18,25,False
2019-08-25,64,False
2019-09-01,47,False
2019-09-08,41,False
2019-09-15,50,False
2019-09-22,29,False
2019-09-29,38,False
2019-10-06,41,False
2019-10-13,64,False
2019-10-20,66,False
2019-10-27,55,False
2019-11-03,57,False
2019-11-10,66,False
2019-11-17,44,False
2019-11-24,29,False
2019-12-01,49,False
2019-12-08,35,False
2019-12-15,27,False
2019-12-22,39,False
2019-12-29,37,False
2020-01-05,50,False
2020-01-12,60,False
2020-01-19,59,False
2020-01-26,61,False
2020-02-02,60,False
2020-02-09,46,False
2020-02-16,44,False
2020-02-23,50,False
2020-03-01,48,False
2020-03-08,50,False
2020-03-15,73,False
2020-03-22,68,False
2020-03-29,67,False
2020-04-05,64,False
2020-04-12,43,False
2020-04-19,52,False
2020-04-26,30,False
2020-05-03,47,False
2020-05-10,61,False
2020-05-17,45,False
2020-05-24,46,False
2020-05-31,57,False
2020-06-07,74,False
2020-06-14,36,False
2020-06-21,61,False
2020-06-28,40,False
2020-07-05,35,False
2020-07-12,60,False
2020-07-19,49,False
2020-07-26,56,False
2020-08-02,52,False
2020-08-09,65,False
2020-08-16,67,False
2020-08-23,77,False
2020-08-30,49,False
2020-09-06,58,False
2020-09-13,72,False
2020-09-20,88,False
2020-09-27,70,False
2020-10-04,64,False
2020-10-11,47,False
2020-10-18,39,False
2020-10-25,47,False
2020-11-01,29,False
2020-11-08,28,False
2020-11-15,58,False
2020-11-22,30,False
2020-11-29,27,False
2020-12-06,52,False
2020-12-13,31,False
2020-12-20,33,False
2020-12-27,32,False
2021-01-03,42,False
2021-01-10,53,False
2021-01-17,35,False
2021-01-24,55,False
2021-01-31,30,False
2021-02-07,47,False
2021-02-14,100,False
2021-02-21,47,False
2021-02-28,49,False
2021-03-07,86,False
2021-03-14,54,False
2021-03-21,64,False
2021-03-28,79,False
2021-04-04,61,False
2021-04-11,53,False
2021-04-18,58,False
2021-04-25,36,False
2021-05-02,47,False
2021-05-09,71,False
2021-05-16,53,False
2021-05-23,73,False
2021-05-30,62,False
2021-06-06,51,False
2021-06-13,78,False
2021-06-20,71,False
2021-06-27,80,False
2021-07-04,43,False
2021-07-11,66,False
2021-07-18,51,False
2021-07-25,77,False
2021-08-01,66,False
2021-08-08,72,True
