date,SPGI,isPartial
2016-08-21,5,False
2016-08-28,13,False
2016-09-04,22,False
2016-09-11,13,False
2016-09-18,13,False
2016-09-25,22,False
2016-10-02,17,False
2016-10-09,26,False
2016-10-16,43,False
2016-10-23,9,False
2016-10-30,26,False
2016-11-06,17,False
2016-11-13,30,False
2016-11-20,12,False
2016-11-27,16,False
2016-12-04,28,False
2016-12-11,21,False
2016-12-18,9,False
2016-12-25,18,False
2017-01-01,8,False
2017-01-08,32,False
2017-01-15,24,False
2017-01-22,16,False
2017-01-29,31,False
2017-02-05,16,False
2017-02-12,12,False
2017-02-19,12,False
2017-02-26,38,False
2017-03-05,45,False
2017-03-12,31,False
2017-03-19,27,False
2017-03-26,4,False
2017-04-02,24,False
2017-04-09,28,False
2017-04-16,12,False
2017-04-23,27,False
2017-04-30,12,False
2017-05-07,28,False
2017-05-14,21,False
2017-05-21,21,False
2017-05-28,46,False
2017-06-04,16,False
2017-06-11,29,False
2017-06-18,37,False
2017-06-25,13,False
2017-07-02,39,False
2017-07-09,25,False
2017-07-16,9,False
2017-07-23,34,False
2017-07-30,12,False
2017-08-06,20,False
2017-08-13,8,False
2017-08-20,36,False
2017-08-27,12,False
2017-09-03,24,False
2017-09-10,12,False
2017-09-17,20,False
2017-09-24,43,False
2017-10-01,16,False
2017-10-08,35,False
2017-10-15,12,False
2017-10-22,39,False
2017-10-29,28,False
2017-11-05,34,False
2017-11-12,15,False
2017-11-19,31,False
2017-11-26,38,False
2017-12-03,42,False
2017-12-10,19,False
2017-12-17,36,False
2017-12-24,9,False
2017-12-31,20,False
2018-01-07,26,False
2018-01-14,26,False
2018-01-21,48,False
2018-01-28,26,False
2018-02-04,26,False
2018-02-11,18,False
2018-02-18,33,False
2018-02-25,47,False
2018-03-04,36,False
2018-03-11,36,False
2018-03-18,40,False
2018-03-25,38,False
2018-04-01,22,False
2018-04-08,26,False
2018-04-15,30,False
2018-04-22,23,False
2018-04-29,22,False
2018-05-06,30,False
2018-05-13,22,False
2018-05-20,45,False
2018-05-27,34,False
2018-06-03,60,False
2018-06-10,18,False
2018-06-17,11,False
2018-06-24,26,False
2018-07-01,33,False
2018-07-08,18,False
2018-07-15,27,False
2018-07-22,26,False
2018-07-29,37,False
2018-08-05,11,False
2018-08-12,41,False
2018-08-19,23,False
2018-08-26,22,False
2018-09-02,29,False
2018-09-09,22,False
2018-09-16,18,False
2018-09-23,32,False
2018-09-30,58,False
2018-10-07,51,False
2018-10-14,52,False
2018-10-21,44,False
2018-10-28,33,False
2018-11-04,29,False
2018-11-11,33,False
2018-11-18,26,False
