date,CINF,isPartial
2016-08-21,9,False
2016-08-28,35,False
2016-09-04,0,False
2016-09-11,9,False
2016-09-18,25,False
2016-09-25,17,False
2016-10-02,8,False
2016-10-09,25,False
2016-10-16,16,False
2016-10-23,33,False
2016-10-30,50,False
2016-11-06,16,False
2016-11-13,24,False
2016-11-20,24,False
2016-11-27,31,False
2016-12-04,23,False
2016-12-11,16,False
2016-12-18,17,False
2016-12-25,0,False
2017-01-01,8,False
2017-01-08,31,False
2017-01-15,8,False
2017-01-22,23,False
2017-01-29,38,False
2017-02-05,15,False
2017-02-12,23,False
2017-02-19,8,False
2017-02-26,30,False
2017-03-05,15,False
2017-03-12,22,False
2017-03-19,15,False
2017-03-26,15,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,30,False
2017-04-23,8,False
2017-04-30,23,False
2017-05-07,38,False
2017-05-14,24,False
2017-05-21,8,False
2017-05-28,24,False
2017-06-04,16,False
2017-06-11,16,False
2017-06-18,16,False
2017-06-25,16,False
2017-07-02,17,False
2017-07-09,0,False
2017-07-16,8,False
2017-07-23,33,False
2017-07-30,8,False
2017-08-06,8,False
2017-08-13,0,False
2017-08-20,16,False
2017-08-27,24,False
2017-09-03,31,False
2017-09-10,8,False
2017-09-17,15,False
2017-09-24,8,False
2017-10-01,31,False
2017-10-08,8,False
2017-10-15,38,False
2017-10-22,23,False
2017-10-29,53,False
2017-11-05,7,False
2017-11-12,37,False
2017-11-19,0,False
2017-11-26,37,False
2017-12-03,22,False
2017-12-10,15,False
2017-12-17,8,False
2017-12-24,16,False
2017-12-31,23,False
2018-01-07,0,False
2018-01-14,21,False
2018-01-21,21,False
2018-01-28,14,False
2018-02-04,43,False
2018-02-11,7,False
2018-02-18,21,False
2018-02-25,21,False
2018-03-04,21,False
2018-03-11,35,False
2018-03-18,14,False
2018-03-25,15,False
2018-04-01,29,False
2018-04-08,43,False
2018-04-15,29,False
2018-04-22,7,False
2018-04-29,14,False
2018-05-06,22,False
2018-05-13,22,False
2018-05-20,37,False
2018-05-27,7,False
2018-06-03,7,False
2018-06-10,14,False
2018-06-17,29,False
2018-06-24,21,False
2018-07-01,7,False
2018-07-08,29,False
2018-07-15,22,False
2018-07-22,36,False
2018-07-29,7,False
2018-08-05,35,False
2018-08-12,0,False
2018-08-19,37,False
2018-08-26,21,False
2018-09-02,21,False
2018-09-09,21,False
2018-09-16,28,False
2018-09-23,34,False
2018-09-30,7,False
2018-10-07,14,False
2018-10-14,0,False
2018-10-21,21,False
2018-10-28,21,False
2018-11-04,14,False
2018-11-11,14,False
2018-11-18,14,False
2018-11-25,28,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,14,False
2018-12-23,40,False
2018-12-30,0,False
2019-01-06,21,False
2019-01-13,35,False
2019-01-20,20,False
2019-01-27,0,False
2019-02-03,20,False
2019-02-10,14,False
2019-02-17,41,False
2019-02-24,40,False
2019-03-03,0,False
2019-03-10,14,False
2019-03-17,28,False
2019-03-24,0,False
2019-03-31,7,False
2019-04-07,28,False
2019-04-14,22,False
2019-04-21,28,False
2019-04-28,35,False
2019-05-05,14,False
2019-05-12,28,False
2019-05-19,21,False
2019-05-26,14,False
2019-06-02,27,False
2019-06-09,27,False
2019-06-16,41,False
2019-06-23,21,False
2019-06-30,21,False
2019-07-07,7,False
2019-07-14,49,False
2019-07-21,35,False
2019-07-28,29,False
2019-08-04,29,False
2019-08-11,28,False
2019-08-18,14,False
2019-08-25,54,False
2019-09-01,33,False
2019-09-08,13,False
2019-09-15,20,False
2019-09-22,26,False
2019-09-29,13,False
2019-10-06,20,False
2019-10-13,13,False
2019-10-20,32,False
2019-10-27,45,False
2019-11-03,26,False
2019-11-10,32,False
2019-11-17,32,False
2019-11-24,13,False
2019-12-01,26,False
2019-12-08,39,False
2019-12-15,32,False
2019-12-22,7,False
2019-12-29,14,False
2020-01-05,13,False
2020-01-12,30,False
2020-01-19,13,False
2020-01-26,25,False
2020-02-02,12,False
2020-02-09,18,False
2020-02-16,37,False
2020-02-23,42,False
2020-03-01,24,False
2020-03-08,41,False
2020-03-15,17,False
2020-03-22,28,False
2020-03-29,17,False
2020-04-05,45,False
2020-04-12,45,False
2020-04-19,17,False
2020-04-26,100,False
2020-05-03,72,False
2020-05-10,96,False
2020-05-17,57,False
2020-05-24,23,False
2020-05-31,66,False
2020-06-07,79,False
2020-06-14,40,False
2020-06-21,36,False
2020-06-28,24,False
2020-07-05,24,False
2020-07-12,24,False
2020-07-19,61,False
2020-07-26,55,False
2020-08-02,25,False
2020-08-09,42,False
2020-08-16,48,False
2020-08-23,29,False
2020-08-30,12,False
2020-09-06,23,False
2020-09-13,23,False
2020-09-20,40,False
2020-09-27,6,False
2020-10-04,18,False
2020-10-11,25,False
2020-10-18,51,False
2020-10-25,25,False
2020-11-01,18,False
2020-11-08,31,False
2020-11-15,6,False
2020-11-22,24,False
2020-11-29,36,False
2020-12-06,6,False
2020-12-13,31,False
2020-12-20,27,False
2020-12-27,7,False
2021-01-03,6,False
2021-01-10,31,False
2021-01-17,36,False
2021-01-24,36,False
2021-01-31,31,False
