date,LYV,isPartial
2016-08-21,7,False
2016-08-28,2,False
2016-09-04,15,False
2016-09-11,4,False
2016-09-18,8,False
2016-09-25,12,False
2016-10-02,8,False
2016-10-09,10,False
2016-10-16,26,False
2016-10-23,4,False
2016-10-30,10,False
2016-11-06,4,False
2016-11-13,14,False
2016-11-20,12,False
2016-11-27,10,False
2016-12-04,19,False
2016-12-11,4,False
2016-12-18,8,False
2016-12-25,8,False
2017-01-01,14,False
2017-01-08,9,False
2017-01-15,13,False
2017-01-22,15,False
2017-01-29,9,False
2017-02-05,15,False
2017-02-12,11,False
2017-02-19,8,False
2017-02-26,13,False
2017-03-05,13,False
2017-03-12,14,False
2017-03-19,17,False
2017-03-26,9,False
2017-04-02,11,False
2017-04-09,19,False
2017-04-16,6,False
2017-04-23,2,False
2017-04-30,11,False
2017-05-07,7,False
2017-05-14,8,False
2017-05-21,14,False
2017-05-28,6,False
2017-06-04,10,False
2017-06-11,14,False
2017-06-18,12,False
2017-06-25,14,False
2017-07-02,12,False
2017-07-09,14,False
2017-07-16,14,False
2017-07-23,8,False
2017-07-30,12,False
2017-08-06,17,False
2017-08-13,23,False
2017-08-20,13,False
2017-08-27,13,False
2017-09-03,10,False
2017-09-10,11,False
2017-09-17,6,False
2017-09-24,11,False
2017-10-01,13,False
2017-10-08,4,False
2017-10-15,8,False
2017-10-22,7,False
2017-10-29,13,False
2017-11-05,11,False
2017-11-12,14,False
2017-11-19,9,False
2017-11-26,11,False
2017-12-03,15,False
2017-12-10,15,False
2017-12-17,15,False
2017-12-24,16,False
2017-12-31,11,False
2018-01-07,9,False
2018-01-14,4,False
2018-01-21,10,False
2018-01-28,7,False
2018-02-04,11,False
2018-02-11,7,False
2018-02-18,16,False
2018-02-25,7,False
2018-03-04,10,False
2018-03-11,7,False
2018-03-18,16,False
2018-03-25,11,False
2018-04-01,20,False
2018-04-08,9,False
2018-04-15,16,False
2018-04-22,4,False
2018-04-29,12,False
2018-05-06,9,False
2018-05-13,4,False
2018-05-20,7,False
2018-05-27,9,False
2018-06-03,18,False
2018-06-10,3,False
2018-06-17,7,False
2018-06-24,11,False
2018-07-01,12,False
2018-07-08,9,False
2018-07-15,7,False
2018-07-22,13,False
2018-07-29,7,False
2018-08-05,14,False
2018-08-12,18,False
2018-08-19,11,False
2018-08-26,19,False
2018-09-02,10,False
2018-09-09,9,False
2018-09-16,12,False
2018-09-23,7,False
2018-09-30,14,False
2018-10-07,12,False
2018-10-14,9,False
2018-10-21,10,False
2018-10-28,10,False
2018-11-04,12,False
2018-11-11,17,False
2018-11-18,7,False
2018-11-25,24,False
2018-12-02,5,False
2018-12-09,3,False
2018-12-16,12,False
2018-12-23,15,False
2018-12-30,13,False
2019-01-06,12,False
2019-01-13,8,False
2019-01-20,13,False
2019-01-27,8,False
2019-02-03,22,False
2019-02-10,3,False
2019-02-17,20,False
2019-02-24,13,False
2019-03-03,17,False
2019-03-10,5,False
2019-03-17,7,False
2019-03-24,12,False
2019-03-31,15,False
2019-04-07,7,False
2019-04-14,14,False
2019-04-21,9,False
2019-04-28,10,False
2019-05-05,12,False
2019-05-12,2,False
2019-05-19,10,False
2019-05-26,10,False
2019-06-02,12,False
2019-06-09,5,False
2019-06-16,3,False
2019-06-23,10,False
2019-06-30,7,False
2019-07-07,18,False
2019-07-14,9,False
2019-07-21,5,False
2019-07-28,5,False
2019-08-04,7,False
2019-08-11,15,False
2019-08-18,15,False
2019-08-25,8,False
2019-09-01,10,False
2019-09-08,8,False
2019-09-15,10,False
2019-09-22,14,False
2019-09-29,10,False
2019-10-06,13,False
2019-10-13,11,False
2019-10-20,17,False
2019-10-27,13,False
2019-11-03,14,False
2019-11-10,8,False
2019-11-17,10,False
2019-11-24,14,False
2019-12-01,10,False
2019-12-08,6,False
2019-12-15,13,False
2019-12-22,16,False
2019-12-29,5,False
2020-01-05,9,False
2020-01-12,9,False
2020-01-19,8,False
2020-01-26,17,False
2020-02-02,9,False
2020-02-09,13,False
2020-02-16,13,False
2020-02-23,13,False
2020-03-01,16,False
2020-03-08,69,False
2020-03-15,100,False
2020-03-22,87,False
2020-03-29,74,False
2020-04-05,53,False
2020-04-12,58,False
2020-04-19,28,False
2020-04-26,50,False
2020-05-03,56,False
2020-05-10,32,False
2020-05-17,36,False
2020-05-24,25,False
2020-05-31,29,False
2020-06-07,36,False
2020-06-14,28,False
2020-06-21,17,False
2020-06-28,25,False
2020-07-05,18,False
2020-07-12,24,False
2020-07-19,12,False
2020-07-26,20,False
2020-08-02,25,False
2020-08-09,22,False
2020-08-16,18,False
2020-08-23,20,False
2020-08-30,14,False
2020-09-06,30,False
2020-09-13,9,False
2020-09-20,14,False
2020-09-27,19,False
2020-10-04,10,False
2020-10-11,11,False
2020-10-18,11,False
2020-10-25,14,False
2020-11-01,19,False
2020-11-08,12,False
2020-11-15,26,False
2020-11-22,12,False
2020-11-29,24,False
2020-12-06,6,False
2020-12-13,8,False
2020-12-20,15,False
2020-12-27,18,False
2021-01-03,25,False
2021-01-10,6,False
2021-01-17,12,False
2021-01-24,11,False
2021-01-31,32,False
2021-02-07,15,False
2021-02-14,14,False
2021-02-21,24,False
2021-02-28,16,False
2021-03-07,20,False
2021-03-14,13,False
2021-03-21,16,False
2021-03-28,19,False
2021-04-04,12,False
2021-04-11,17,False
2021-04-18,27,False
2021-04-25,13,False
2021-05-02,9,False
2021-05-09,14,False
2021-05-16,20,False
2021-05-23,15,False
2021-05-30,14,False
2021-06-06,20,False
2021-06-13,18,False
2021-06-20,22,False
2021-06-27,20,False
2021-07-04,19,False
2021-07-11,16,False
2021-07-18,26,False
2021-07-25,19,False
2021-08-01,24,False
2021-08-08,9,True
