date,NFLX,isPartial
2016-08-21,8,False
2016-08-28,7,False
2016-09-04,5,False
2016-09-11,8,False
2016-09-18,12,False
2016-09-25,9,False
2016-10-02,14,False
2016-10-09,11,False
2016-10-16,43,False
2016-10-23,16,False
2016-10-30,7,False
2016-11-06,10,False
2016-11-13,9,False
2016-11-20,6,False
2016-11-27,8,False
2016-12-04,9,False
2016-12-11,7,False
2016-12-18,5,False
2016-12-25,5,False
2017-01-01,6,False
2017-01-08,9,False
2017-01-15,26,False
2017-01-22,9,False
2017-01-29,10,False
2017-02-05,10,False
2017-02-12,8,False
2017-02-19,6,False
2017-02-26,7,False
2017-03-05,6,False
2017-03-12,8,False
2017-03-19,8,False
2017-03-26,8,False
2017-04-02,8,False
2017-04-09,7,False
2017-04-16,23,False
2017-04-23,11,False
2017-04-30,11,False
2017-05-07,8,False
2017-05-14,9,False
2017-05-21,8,False
2017-05-28,8,False
2017-06-04,11,False
2017-06-11,11,False
2017-06-18,7,False
2017-06-25,9,False
2017-07-02,6,False
2017-07-09,10,False
2017-07-16,38,False
2017-07-23,16,False
2017-07-30,10,False
2017-08-06,17,False
2017-08-13,10,False
2017-08-20,9,False
2017-08-27,6,False
2017-09-03,7,False
2017-09-10,9,False
2017-09-17,9,False
2017-09-24,10,False
2017-10-01,14,False
2017-10-08,12,False
2017-10-15,33,False
2017-10-22,14,False
2017-10-29,11,False
2017-11-05,11,False
2017-11-12,8,False
2017-11-19,6,False
2017-11-26,12,False
2017-12-03,11,False
2017-12-10,11,False
2017-12-17,9,False
2017-12-24,8,False
2017-12-31,12,False
2018-01-07,11,False
2018-01-14,13,False
2018-01-21,53,False
2018-01-28,26,False
2018-02-04,23,False
2018-02-11,19,False
2018-02-18,14,False
2018-02-25,18,False
2018-03-04,27,False
2018-03-11,19,False
2018-03-18,20,False
2018-03-25,22,False
2018-04-01,22,False
2018-04-08,24,False
2018-04-15,49,False
2018-04-22,23,False
2018-04-29,17,False
2018-05-06,16,False
2018-05-13,13,False
2018-05-20,21,False
2018-05-27,15,False
