date,TFX,isPartial
2016-08-21,9,False
2016-08-28,10,False
2016-09-04,11,False
2016-09-11,9,False
2016-09-18,10,False
2016-09-25,19,False
2016-10-02,22,False
2016-10-09,14,False
2016-10-16,20,False
2016-10-23,21,False
2016-10-30,16,False
2016-11-06,18,False
2016-11-13,22,False
2016-11-20,22,False
2016-11-27,24,False
2016-12-04,16,False
2016-12-11,19,False
2016-12-18,20,False
2016-12-25,21,False
2017-01-01,20,False
2017-01-08,15,False
2017-01-15,24,False
2017-01-22,23,False
2017-01-29,23,False
2017-02-05,18,False
2017-02-12,20,False
2017-02-19,22,False
2017-02-26,19,False
2017-03-05,19,False
2017-03-12,18,False
2017-03-19,18,False
2017-03-26,18,False
2017-04-02,17,False
2017-04-09,19,False
2017-04-16,16,False
2017-04-23,18,False
2017-04-30,17,False
2017-05-07,19,False
2017-05-14,15,False
2017-05-21,17,False
2017-05-28,17,False
2017-06-04,15,False
2017-06-11,16,False
2017-06-18,18,False
2017-06-25,15,False
2017-07-02,14,False
2017-07-09,17,False
2017-07-16,19,False
2017-07-23,18,False
2017-07-30,19,False
2017-08-06,15,False
2017-08-13,19,False
2017-08-20,15,False
2017-08-27,12,False
2017-09-03,16,False
2017-09-10,11,False
2017-09-17,16,False
2017-09-24,17,False
2017-10-01,15,False
2017-10-08,22,False
2017-10-15,19,False
2017-10-22,20,False
2017-10-29,16,False
2017-11-05,17,False
2017-11-12,14,False
2017-11-19,17,False
2017-11-26,19,False
2017-12-03,19,False
2017-12-10,18,False
2017-12-17,19,False
2017-12-24,16,False
2017-12-31,13,False
2018-01-07,12,False
2018-01-14,14,False
2018-01-21,20,False
2018-01-28,64,False
2018-02-04,63,False
2018-02-11,55,False
2018-02-18,51,False
2018-02-25,55,False
2018-03-04,51,False
2018-03-11,49,False
2018-03-18,55,False
2018-03-25,64,False
2018-04-01,36,False
2018-04-08,42,False
2018-04-15,29,False
2018-04-22,35,False
2018-04-29,29,False
2018-05-06,34,False
2018-05-13,28,False
2018-05-20,44,False
2018-05-27,32,False
2018-06-03,34,False
2018-06-10,29,False
2018-06-17,30,False
2018-06-24,22,False
2018-07-01,25,False
2018-07-08,35,False
2018-07-15,65,False
2018-07-22,59,False
2018-07-29,56,False
2018-08-05,63,False
2018-08-12,63,False
2018-08-19,65,False
2018-08-26,76,False
2018-09-02,54,False
2018-09-09,46,False
2018-09-16,53,False
2018-09-23,43,False
2018-09-30,44,False
2018-10-07,38,False
2018-10-14,50,False
2018-10-21,42,False
2018-10-28,41,False
2018-11-04,32,False
2018-11-11,38,False
2018-11-18,58,False
2018-11-25,36,False
2018-12-02,39,False
2018-12-09,32,False
2018-12-16,41,False
2018-12-23,41,False
2018-12-30,60,False
2019-01-06,42,False
2019-01-13,46,False
2019-01-20,35,False
2019-01-27,41,False
2019-02-03,43,False
2019-02-10,50,False
2019-02-17,36,False
2019-02-24,39,False
2019-03-03,37,False
2019-03-10,40,False
2019-03-17,33,False
2019-03-24,46,False
2019-03-31,37,False
2019-04-07,40,False
2019-04-14,34,False
2019-04-21,37,False
2019-04-28,34,False
2019-05-05,36,False
2019-05-12,29,False
2019-05-19,27,False
2019-05-26,25,False
2019-06-02,37,False
2019-06-09,60,False
2019-06-16,41,False
2019-06-23,30,False
2019-06-30,28,False
2019-07-07,26,False
2019-07-14,30,False
2019-07-21,24,False
2019-07-28,29,False
2019-08-04,35,False
2019-08-11,82,False
2019-08-18,76,False
2019-08-25,81,False
2019-09-01,62,False
2019-09-08,48,False
2019-09-15,43,False
2019-09-22,43,False
2019-09-29,44,False
2019-10-06,37,False
2019-10-13,45,False
2019-10-20,45,False
2019-10-27,38,False
2019-11-03,42,False
2019-11-10,36,False
2019-11-17,39,False
2019-11-24,56,False
2019-12-01,49,False
2019-12-08,55,False
2019-12-15,69,False
2019-12-22,98,False
2019-12-29,100,False
2020-01-05,87,False
2020-01-12,63,False
2020-01-19,72,False
2020-01-26,61,False
2020-02-02,68,False
2020-02-09,63,False
2020-02-16,68,False
2020-02-23,70,False
2020-03-01,70,False
2020-03-08,81,False
2020-03-15,58,False
2020-03-22,49,False
2020-03-29,36,False
2020-04-05,37,False
2020-04-12,37,False
2020-04-19,32,False
2020-04-26,32,False
2020-05-03,30,False
2020-05-10,34,False
2020-05-17,31,False
2020-05-24,22,False
2020-05-31,22,False
2020-06-07,26,False
2020-06-14,26,False
2020-06-21,26,False
2020-06-28,22,False
2020-07-05,30,False
2020-07-12,25,False
2020-07-19,27,False
2020-07-26,32,False
2020-08-02,30,False
2020-08-09,32,False
2020-08-16,71,False
2020-08-23,75,False
2020-08-30,76,False
2020-09-06,68,False
2020-09-13,62,False
2020-09-20,65,False
2020-09-27,62,False
2020-10-04,61,False
2020-10-11,53,False
2020-10-18,55,False
2020-10-25,63,False
2020-11-01,47,False
2020-11-08,59,False
2020-11-15,42,False
2020-11-22,33,False
2020-11-29,29,False
2020-12-06,27,False
2020-12-13,31,False
2020-12-20,31,False
2020-12-27,33,False
2021-01-03,75,False
2021-01-10,69,False
2021-01-17,34,False
2021-01-24,53,False
2021-01-31,32,False
2021-02-07,36,False
2021-02-14,68,False
2021-02-21,58,False
2021-02-28,58,False
2021-03-07,52,False
2021-03-14,56,False
2021-03-21,58,False
2021-03-28,58,False
2021-04-04,53,False
2021-04-11,55,False
2021-04-18,50,False
2021-04-25,53,False
2021-05-02,48,False
2021-05-09,46,False
2021-05-16,44,False
2021-05-23,38,False
2021-05-30,43,False
2021-06-06,40,False
2021-06-13,35,False
2021-06-20,32,False
2021-06-27,29,False
2021-07-04,19,False
2021-07-11,19,False
2021-07-18,18,False
2021-07-25,17,False
2021-08-01,23,False
2021-08-08,17,True
