date,MXIM,isPartial
2016-08-21,20,False
2016-08-28,19,False
2016-09-04,5,False
2016-09-11,23,False
2016-09-18,0,False
2016-09-25,18,False
2016-10-02,9,False
2016-10-09,9,False
2016-10-16,4,False
2016-10-23,5,False
2016-10-30,18,False
2016-11-06,18,False
2016-11-13,18,False
2016-11-20,9,False
2016-11-27,30,False
2016-12-04,4,False
2016-12-11,9,False
2016-12-18,5,False
2016-12-25,14,False
2017-01-01,9,False
2017-01-08,13,False
2017-01-15,17,False
2017-01-22,29,False
2017-01-29,37,False
2017-02-05,16,False
2017-02-12,29,False
2017-02-19,17,False
2017-02-26,12,False
2017-03-05,12,False
2017-03-12,20,False
2017-03-19,16,False
2017-03-26,17,False
2017-04-02,12,False
2017-04-09,17,False
2017-04-16,25,False
2017-04-23,25,False
2017-04-30,13,False
2017-05-07,25,False
2017-05-14,9,False
2017-05-21,13,False
2017-05-28,9,False
2017-06-04,21,False
2017-06-11,13,False
2017-06-18,9,False
2017-06-25,18,False
2017-07-02,14,False
2017-07-09,13,False
2017-07-16,22,False
2017-07-23,4,False
2017-07-30,9,False
2017-08-06,9,False
2017-08-13,9,False
2017-08-20,26,False
2017-08-27,17,False
2017-09-03,21,False
2017-09-10,13,False
2017-09-17,21,False
2017-09-24,38,False
2017-10-01,4,False
2017-10-08,0,False
2017-10-15,21,False
2017-10-22,37,False
2017-10-29,8,False
2017-11-05,45,False
2017-11-12,28,False
2017-11-19,24,False
2017-11-26,24,False
2017-12-03,24,False
2017-12-10,8,False
2017-12-17,29,False
2017-12-24,0,False
2017-12-31,21,False
2018-01-07,35,False
2018-01-14,12,False
2018-01-21,35,False
2018-01-28,74,False
2018-02-04,39,False
2018-02-11,39,False
2018-02-18,23,False
2018-02-25,8,False
2018-03-04,15,False
2018-03-11,19,False
2018-03-18,15,False
2018-03-25,20,False
2018-04-01,16,False
2018-04-08,15,False
2018-04-15,19,False
2018-04-22,31,False
2018-04-29,16,False
2018-05-06,16,False
2018-05-13,20,False
2018-05-20,12,False
2018-05-27,12,False
2018-06-03,16,False
2018-06-10,27,False
2018-06-17,20,False
2018-06-24,0,False
2018-07-01,31,False
2018-07-08,12,False
2018-07-15,16,False
2018-07-22,48,False
2018-07-29,20,False
2018-08-05,19,False
2018-08-12,12,False
2018-08-19,28,False
2018-08-26,16,False
2018-09-02,15,False
2018-09-09,31,False
2018-09-16,15,False
2018-09-23,11,False
2018-09-30,23,False
2018-10-07,38,False
2018-10-14,23,False
2018-10-21,15,False
2018-10-28,31,False
2018-11-04,23,False
2018-11-11,23,False
2018-11-18,19,False
2018-11-25,30,False
2018-12-02,19,False
2018-12-09,12,False
2018-12-16,20,False
2018-12-23,9,False
2018-12-30,17,False
2019-01-06,12,False
2019-01-13,23,False
2019-01-20,26,False
2019-01-27,30,False
2019-02-03,37,False
2019-02-10,15,False
2019-02-17,15,False
2019-02-24,11,False
2019-03-03,8,False
2019-03-10,4,False
2019-03-17,15,False
2019-03-24,15,False
2019-03-31,4,False
2019-04-07,11,False
2019-04-14,12,False
2019-04-21,27,False
2019-04-28,34,False
2019-05-05,26,False
2019-05-12,8,False
2019-05-19,15,False
2019-05-26,8,False
2019-06-02,22,False
2019-06-09,26,False
2019-06-16,8,False
2019-06-23,38,False
2019-06-30,19,False
2019-07-07,19,False
2019-07-14,11,False
2019-07-21,35,False
2019-07-28,35,False
2019-08-04,23,False
2019-08-11,19,False
2019-08-18,11,False
2019-08-25,15,False
2019-09-01,7,False
2019-09-08,22,False
2019-09-15,25,False
2019-09-22,7,False
2019-09-29,22,False
2019-10-06,14,False
2019-10-13,14,False
2019-10-20,18,False
2019-10-27,4,False
2019-11-03,14,False
2019-11-10,17,False
2019-11-17,28,False
2019-11-24,10,False
2019-12-01,14,False
2019-12-08,18,False
2019-12-15,21,False
2019-12-22,15,False
2019-12-29,19,False
2020-01-05,14,False
2020-01-12,10,False
2020-01-19,3,False
2020-01-26,30,False
2020-02-02,20,False
2020-02-09,10,False
2020-02-16,7,False
2020-02-23,23,False
2020-03-01,19,False
2020-03-08,26,False
2020-03-15,22,False
2020-03-22,9,False
2020-03-29,25,False
2020-04-05,12,False
2020-04-12,9,False
2020-04-19,12,False
2020-04-26,15,False
2020-05-03,24,False
2020-05-10,6,False
2020-05-17,22,False
2020-05-24,22,False
2020-05-31,15,False
2020-06-07,22,False
2020-06-14,6,False
2020-06-21,16,False
2020-06-28,10,False
2020-07-05,10,False
2020-07-12,100,False
2020-07-19,26,False
2020-07-26,13,False
2020-08-02,13,False
2020-08-09,10,False
2020-08-16,13,False
2020-08-23,6,False
2020-08-30,10,False
2020-09-06,3,False
2020-09-13,3,False
2020-09-20,16,False
2020-09-27,7,False
2020-10-04,3,False
2020-10-11,14,False
2020-10-18,3,False
2020-10-25,17,False
2020-11-01,6,False
2020-11-08,10,False
2020-11-15,23,False
2020-11-22,3,False
2020-11-29,10,False
2020-12-06,27,False
2020-12-13,10,False
2020-12-20,15,False
2020-12-27,7,False
2021-01-03,7,False
2021-01-10,20,False
2021-01-17,7,False
2021-01-24,17,False
2021-01-31,7,False
2021-02-07,23,False
2021-02-14,14,False
2021-02-21,20,False
2021-02-28,10,False
2021-03-07,30,False
2021-03-14,6,False
2021-03-21,17,False
2021-03-28,18,False
2021-04-04,13,False
2021-04-11,17,False
2021-04-18,13,False
2021-04-25,17,False
2021-05-02,13,False
2021-05-09,20,False
2021-05-16,7,False
2021-05-23,31,False
2021-05-30,21,False
2021-06-06,10,False
2021-06-13,7,False
2021-06-20,14,False
2021-06-27,10,False
2021-07-04,21,False
2021-07-11,10,False
2021-07-18,4,False
2021-07-25,10,False
2021-08-01,7,False
2021-08-08,10,True
