date,VRSK,isPartial
2016-08-21,30,False
2016-08-28,86,False
2016-09-04,0,False
2016-09-11,43,False
2016-09-18,42,False
2016-09-25,14,False
2016-10-02,27,False
2016-10-09,14,False
2016-10-16,41,False
2016-10-23,28,False
2016-10-30,56,False
2016-11-06,13,False
2016-11-13,27,False
2016-11-20,13,False
2016-11-27,13,False
2016-12-04,38,False
2016-12-11,13,False
2016-12-18,14,False
2016-12-25,0,False
2017-01-01,14,False
2017-01-08,13,False
2017-01-15,13,False
2017-01-22,26,False
2017-01-29,50,False
2017-02-05,0,False
2017-02-12,12,False
2017-02-19,63,False
2017-02-26,12,False
2017-03-05,12,False
2017-03-12,24,False
2017-03-19,13,False
2017-03-26,0,False
2017-04-02,13,False
2017-04-09,13,False
2017-04-16,0,False
2017-04-23,25,False
2017-04-30,51,False
2017-05-07,13,False
2017-05-14,13,False
2017-05-21,14,False
2017-05-28,14,False
2017-06-04,13,False
2017-06-11,27,False
2017-06-18,39,False
2017-06-25,0,False
2017-07-02,14,False
2017-07-09,0,False
2017-07-16,28,False
2017-07-23,67,False
2017-07-30,0,False
2017-08-06,52,False
2017-08-13,13,False
2017-08-20,13,False
2017-08-27,13,False
2017-09-03,0,False
2017-09-10,13,False
2017-09-17,13,False
2017-09-24,51,False
2017-10-01,13,False
2017-10-08,25,False
2017-10-15,0,False
2017-10-22,25,False
2017-10-29,88,False
2017-11-05,49,False
2017-11-12,37,False
2017-11-19,12,False
2017-11-26,49,False
2017-12-03,37,False
2017-12-10,12,False
2017-12-17,13,False
2017-12-24,14,False
2017-12-31,39,False
2018-01-07,24,False
2018-01-14,36,False
2018-01-21,24,False
2018-01-28,24,False
2018-02-04,24,False
2018-02-11,24,False
2018-02-18,35,False
2018-02-25,12,False
2018-03-04,23,False
2018-03-11,58,False
2018-03-18,35,False
2018-03-25,49,False
2018-04-01,48,False
2018-04-08,24,False
2018-04-15,12,False
2018-04-22,48,False
2018-04-29,60,False
2018-05-06,72,False
2018-05-13,12,False
2018-05-20,0,False
2018-05-27,12,False
2018-06-03,12,False
2018-06-10,35,False
2018-06-17,24,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,37,False
2018-07-22,0,False
2018-07-29,24,False
2018-08-05,24,False
2018-08-12,12,False
2018-08-19,24,False
2018-08-26,24,False
