date,IQV,isPartial
2016-08-21,18,False
2016-08-28,17,False
2016-09-04,17,False
2016-09-11,34,False
2016-09-18,0,False
2016-09-25,0,False
2016-10-02,16,False
2016-10-09,50,False
2016-10-16,17,False
2016-10-23,33,False
2016-10-30,34,False
2016-11-06,16,False
2016-11-13,33,False
2016-11-20,0,False
2016-11-27,47,False
2016-12-04,15,False
2016-12-11,16,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,0,False
2017-01-15,15,False
2017-01-22,0,False
2017-01-29,30,False
2017-02-05,15,False
2017-02-12,15,False
2017-02-19,15,False
2017-02-26,0,False
2017-03-05,0,False
2017-03-12,29,False
2017-03-19,0,False
2017-03-26,0,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,30,False
2017-04-30,15,False
2017-05-07,0,False
2017-05-14,16,False
2017-05-21,49,False
2017-05-28,16,False
2017-06-04,48,False
2017-06-11,16,False
2017-06-18,16,False
2017-06-25,0,False
2017-07-02,33,False
2017-07-09,0,False
2017-07-16,17,False
2017-07-23,0,False
2017-07-30,0,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,31,False
2017-08-27,16,False
2017-09-03,0,False
2017-09-10,15,False
2017-09-17,15,False
2017-09-24,31,False
2017-10-01,15,False
2017-10-08,15,False
2017-10-15,15,False
2017-10-22,0,False
2017-10-29,15,False
2017-11-05,15,False
2017-11-12,29,False
2017-11-19,15,False
2017-11-26,44,False
2017-12-03,44,False
2017-12-10,15,False
2017-12-17,0,False
2017-12-24,0,False
2017-12-31,0,False
2018-01-07,14,False
2018-01-14,0,False
2018-01-21,28,False
2018-01-28,28,False
2018-02-04,14,False
2018-02-11,0,False
2018-02-18,14,False
2018-02-25,42,False
2018-03-04,42,False
2018-03-11,28,False
2018-03-18,14,False
2018-03-25,0,False
2018-04-01,14,False
2018-04-08,57,False
2018-04-15,0,False
2018-04-22,29,False
2018-04-29,43,False
2018-05-06,43,False
2018-05-13,58,False
2018-05-20,87,False
2018-05-27,73,False
2018-06-03,14,False
2018-06-10,28,False
2018-06-17,43,False
2018-06-24,14,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,59,False
2018-07-22,29,False
2018-07-29,14,False
2018-08-05,0,False
2018-08-12,43,False
2018-08-19,73,False
2018-08-26,43,False
2018-09-02,71,False
2018-09-09,0,False
2018-09-16,42,False
2018-09-23,70,False
2018-09-30,42,False
2018-10-07,0,False
2018-10-14,43,False
2018-10-21,28,False
2018-10-28,42,False
2018-11-04,41,False
2018-11-11,56,False
2018-11-18,14,False
2018-11-25,0,False
2018-12-02,28,False
2018-12-09,43,False
2018-12-16,43,False
2018-12-23,31,False
2018-12-30,0,False
2019-01-06,70,False
2019-01-13,14,False
2019-01-20,14,False
2019-01-27,82,False
2019-02-03,14,False
2019-02-10,96,False
2019-02-17,27,False
2019-02-24,27,False
2019-03-03,28,False
2019-03-10,41,False
2019-03-17,28,False
2019-03-24,14,False
2019-03-31,14,False
2019-04-07,14,False
2019-04-14,87,False
2019-04-21,28,False
2019-04-28,56,False
2019-05-05,0,False
2019-05-12,42,False
2019-05-19,28,False
2019-05-26,14,False
2019-06-02,41,False
2019-06-09,14,False
2019-06-16,28,False
2019-06-23,41,False
2019-06-30,28,False
2019-07-07,27,False
2019-07-14,14,False
2019-07-21,43,False
2019-07-28,0,False
2019-08-04,28,False
2019-08-11,14,False
2019-08-18,27,False
2019-08-25,14,False
2019-09-01,13,False
2019-09-08,26,False
2019-09-15,40,False
2019-09-22,13,False
2019-09-29,26,False
2019-10-06,0,False
2019-10-13,65,False
2019-10-20,0,False
2019-10-27,39,False
2019-11-03,26,False
2019-11-10,13,False
2019-11-17,0,False
2019-11-24,25,False
2019-12-01,13,False
2019-12-08,13,False
2019-12-15,13,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,24,False
2020-01-19,12,False
2020-01-26,25,False
2020-02-02,12,False
2020-02-09,48,False
2020-02-16,24,False
2020-02-23,36,False
2020-03-01,24,False
2020-03-08,94,False
2020-03-15,34,False
2020-03-22,22,False
2020-03-29,0,False
2020-04-05,34,False
2020-04-12,34,False
2020-04-19,0,False
2020-04-26,22,False
2020-05-03,22,False
2020-05-10,68,False
2020-05-17,34,False
2020-05-24,34,False
2020-05-31,44,False
2020-06-07,23,False
2020-06-14,23,False
2020-06-21,12,False
2020-06-28,47,False
2020-07-05,24,False
2020-07-12,12,False
2020-07-19,37,False
2020-07-26,100,False
2020-08-02,24,False
2020-08-09,24,False
2020-08-16,36,False
2020-08-23,24,False
2020-08-30,35,False
2020-09-06,23,False
2020-09-13,23,False
2020-09-20,12,False
2020-09-27,48,False
2020-10-04,59,False
2020-10-11,13,False
2020-10-18,75,False
2020-10-25,12,False
2020-11-01,47,False
2020-11-08,37,False
2020-11-15,12,False
2020-11-22,50,False
2020-11-29,72,False
2020-12-06,37,False
2020-12-13,98,False
2020-12-20,27,False
2020-12-27,0,False
2021-01-03,24,False
2021-01-10,37,False
2021-01-17,24,False
2021-01-24,0,False
2021-01-31,37,False
2021-02-07,48,False
2021-02-14,25,False
2021-02-21,24,False
2021-02-28,73,False
2021-03-07,37,False
2021-03-14,23,False
2021-03-21,12,False
2021-03-28,38,False
2021-04-04,62,False
2021-04-11,12,False
2021-04-18,25,False
2021-04-25,48,False
2021-05-02,12,False
2021-05-09,13,False
2021-05-16,37,False
2021-05-23,0,False
2021-05-30,37,False
2021-06-06,12,False
2021-06-13,25,False
2021-06-20,51,False
2021-06-27,13,False
2021-07-04,26,False
2021-07-11,26,False
2021-07-18,0,False
2021-07-25,64,False
2021-08-01,26,False
2021-08-08,60,True
