date,GILD,isPartial
2016-08-21,21,False
2016-08-28,21,False
2016-09-04,19,False
2016-09-11,18,False
2016-09-18,24,False
2016-09-25,17,False
2016-10-02,20,False
2016-10-09,20,False
2016-10-16,21,False
2016-10-23,18,False
2016-10-30,23,False
2016-11-06,21,False
2016-11-13,22,False
2016-11-20,18,False
2016-11-27,20,False
2016-12-04,22,False
2016-12-11,18,False
2016-12-18,21,False
2016-12-25,17,False
2017-01-01,23,False
2017-01-08,20,False
2017-01-15,22,False
2017-01-22,17,False
2017-01-29,18,False
2017-02-05,33,False
2017-02-12,27,False
2017-02-19,21,False
2017-02-26,22,False
2017-03-05,20,False
2017-03-12,21,False
2017-03-19,20,False
2017-03-26,14,False
2017-04-02,17,False
2017-04-09,18,False
2017-04-16,18,False
2017-04-23,21,False
2017-04-30,20,False
2017-05-07,17,False
2017-05-14,18,False
2017-05-21,17,False
2017-05-28,16,False
2017-06-04,17,False
2017-06-11,16,False
2017-06-18,20,False
2017-06-25,22,False
2017-07-02,20,False
2017-07-09,17,False
2017-07-16,20,False
2017-07-23,24,False
2017-07-30,20,False
2017-08-06,16,False
2017-08-13,14,False
2017-08-20,19,False
2017-08-27,31,False
2017-09-03,22,False
2017-09-10,20,False
2017-09-17,18,False
2017-09-24,16,False
2017-10-01,19,False
2017-10-08,17,False
2017-10-15,22,False
2017-10-22,24,False
2017-10-29,19,False
2017-11-05,20,False
2017-11-12,18,False
2017-11-19,20,False
2017-11-26,16,False
2017-12-03,16,False
2017-12-10,20,False
2017-12-17,15,False
2017-12-24,17,False
2017-12-31,18,False
2018-01-07,19,False
2018-01-14,16,False
2018-01-21,15,False
2018-01-28,22,False
2018-02-04,21,False
2018-02-11,19,False
2018-02-18,17,False
2018-02-25,13,False
2018-03-04,17,False
2018-03-11,15,False
2018-03-18,15,False
2018-03-25,12,False
2018-04-01,15,False
2018-04-08,15,False
2018-04-15,15,False
2018-04-22,15,False
2018-04-29,19,False
2018-05-06,16,False
2018-05-13,15,False
2018-05-20,15,False
2018-05-27,16,False
2018-06-03,11,False
2018-06-10,15,False
2018-06-17,15,False
2018-06-24,11,False
2018-07-01,14,False
2018-07-08,16,False
2018-07-15,17,False
2018-07-22,20,False
2018-07-29,20,False
2018-08-05,16,False
2018-08-12,16,False
2018-08-19,17,False
2018-08-26,13,False
2018-09-02,11,False
2018-09-09,15,False
2018-09-16,15,False
2018-09-23,14,False
2018-09-30,17,False
2018-10-07,14,False
2018-10-14,13,False
2018-10-21,17,False
2018-10-28,18,False
2018-11-04,15,False
2018-11-11,13,False
2018-11-18,15,False
2018-11-25,15,False
2018-12-02,14,False
2018-12-09,18,False
2018-12-16,14,False
2018-12-23,16,False
2018-12-30,17,False
2019-01-06,15,False
2019-01-13,15,False
2019-01-20,15,False
2019-01-27,19,False
2019-02-03,17,False
2019-02-10,16,False
2019-02-17,11,False
2019-02-24,15,False
2019-03-03,13,False
2019-03-10,16,False
2019-03-17,16,False
2019-03-24,16,False
2019-03-31,13,False
2019-04-07,14,False
2019-04-14,16,False
2019-04-21,18,False
2019-04-28,16,False
2019-05-05,15,False
2019-05-12,16,False
2019-05-19,13,False
2019-05-26,12,False
2019-06-02,14,False
2019-06-09,11,False
2019-06-16,16,False
2019-06-23,11,False
2019-06-30,14,False
2019-07-07,17,False
2019-07-14,14,False
2019-07-21,14,False
2019-07-28,17,False
2019-08-04,15,False
2019-08-11,14,False
2019-08-18,13,False
2019-08-25,13,False
2019-09-01,15,False
2019-09-08,15,False
2019-09-15,11,False
2019-09-22,13,False
2019-09-29,13,False
2019-10-06,11,False
2019-10-13,14,False
2019-10-20,15,False
2019-10-27,15,False
2019-11-03,13,False
2019-11-10,15,False
2019-11-17,15,False
2019-11-24,17,False
2019-12-01,14,False
2019-12-08,18,False
2019-12-15,13,False
2019-12-22,16,False
2019-12-29,15,False
2020-01-05,15,False
2020-01-12,14,False
2020-01-19,14,False
2020-01-26,16,False
2020-02-02,34,False
2020-02-09,23,False
2020-02-16,19,False
2020-02-23,51,False
2020-03-01,38,False
2020-03-08,50,False
2020-03-15,57,False
2020-03-22,44,False
2020-03-29,36,False
2020-04-05,32,False
2020-04-12,78,False
2020-04-19,68,False
2020-04-26,100,False
2020-05-03,55,False
2020-05-10,43,False
2020-05-17,35,False
2020-05-24,25,False
2020-05-31,31,False
2020-06-07,33,False
2020-06-14,26,False
2020-06-21,23,False
2020-06-28,32,False
2020-07-05,27,False
2020-07-12,27,False
2020-07-19,24,False
2020-07-26,28,False
2020-08-02,25,False
2020-08-09,22,False
2020-08-16,28,False
2020-08-23,21,False
2020-08-30,22,False
2020-09-06,19,False
