date,KMI,isPartial
2016-08-21,47,False
2016-08-28,48,False
2016-09-04,42,False
2016-09-11,44,False
2016-09-18,33,False
2016-09-25,33,False
2016-10-02,31,False
2016-10-09,24,False
2016-10-16,31,False
2016-10-23,24,False
2016-10-30,31,False
2016-11-06,33,False
2016-11-13,35,False
2016-11-20,27,False
2016-11-27,28,False
2016-12-04,21,False
2016-12-11,23,False
2016-12-18,26,False
2016-12-25,31,False
2017-01-01,48,False
2017-01-08,65,False
2017-01-15,34,False
2017-01-22,32,False
2017-01-29,27,False
2017-02-05,32,False
2017-02-12,26,False
2017-02-19,32,False
2017-02-26,35,False
2017-03-05,32,False
2017-03-12,29,False
2017-03-19,30,False
2017-03-26,40,False
2017-04-02,31,False
2017-04-09,40,False
2017-04-16,38,False
2017-04-23,39,False
2017-04-30,42,False
2017-05-07,51,False
2017-05-14,51,False
2017-05-21,50,False
2017-05-28,65,False
2017-06-04,54,False
2017-06-11,51,False
2017-06-18,70,False
2017-06-25,65,False
2017-07-02,48,False
2017-07-09,50,False
2017-07-16,61,False
2017-07-23,61,False
2017-07-30,55,False
2017-08-06,58,False
2017-08-13,58,False
2017-08-20,49,False
2017-08-27,53,False
2017-09-03,47,False
2017-09-10,49,False
2017-09-17,37,False
2017-09-24,37,False
2017-10-01,34,False
2017-10-08,29,False
2017-10-15,35,False
2017-10-22,29,False
2017-10-29,29,False
2017-11-05,29,False
2017-11-12,26,False
2017-11-19,32,False
2017-11-26,37,False
2017-12-03,41,False
2017-12-10,80,False
2017-12-17,26,False
2017-12-24,38,False
2017-12-31,40,False
2018-01-07,29,False
2018-01-14,46,False
2018-01-21,32,False
2018-01-28,38,False
2018-02-04,60,False
2018-02-11,34,False
2018-02-18,41,False
2018-02-25,59,False
2018-03-04,40,False
2018-03-11,47,False
2018-03-18,45,False
2018-03-25,51,False
2018-04-01,52,False
2018-04-08,60,False
2018-04-15,47,False
2018-04-22,57,False
2018-04-29,48,False
2018-05-06,56,False
2018-05-13,62,False
2018-05-20,75,False
2018-05-27,80,False
2018-06-03,57,False
2018-06-10,49,False
2018-06-17,48,False
2018-06-24,36,False
2018-07-01,45,False
2018-07-08,50,False
2018-07-15,58,False
2018-07-22,77,False
2018-07-29,61,False
2018-08-05,84,False
2018-08-12,50,False
2018-08-19,51,False
2018-08-26,40,False
2018-09-02,43,False
2018-09-09,37,False
2018-09-16,44,False
2018-09-23,38,False
2018-09-30,30,False
2018-10-07,36,False
2018-10-14,34,False
2018-10-21,33,False
