date,DLR,isPartial
2016-08-21,36,False
2016-08-28,46,False
2016-09-04,52,False
2016-09-11,52,False
2016-09-18,48,False
2016-09-25,45,False
2016-10-02,46,False
2016-10-09,49,False
2016-10-16,45,False
2016-10-23,49,False
2016-10-30,45,False
2016-11-06,43,False
2016-11-13,44,False
2016-11-20,42,False
2016-11-27,48,False
2016-12-04,44,False
2016-12-11,43,False
2016-12-18,42,False
2016-12-25,34,False
2017-01-01,43,False
2017-01-08,60,False
2017-01-15,49,False
2017-01-22,54,False
2017-01-29,46,False
2017-02-05,50,False
2017-02-12,65,False
2017-02-19,43,False
2017-02-26,45,False
2017-03-05,48,False
2017-03-12,43,False
2017-03-19,46,False
2017-03-26,40,False
2017-04-02,50,False
2017-04-09,40,False
2017-04-16,40,False
2017-04-23,44,False
2017-04-30,43,False
2017-05-07,45,False
2017-05-14,51,False
2017-05-21,44,False
2017-05-28,42,False
2017-06-04,45,False
2017-06-11,47,False
2017-06-18,49,False
2017-06-25,53,False
2017-07-02,46,False
2017-07-09,49,False
2017-07-16,44,False
2017-07-23,48,False
2017-07-30,47,False
2017-08-06,47,False
2017-08-13,43,False
2017-08-20,38,False
2017-08-27,45,False
2017-09-03,51,False
2017-09-10,54,False
2017-09-17,45,False
2017-09-24,45,False
2017-10-01,48,False
2017-10-08,53,False
2017-10-15,42,False
2017-10-22,47,False
2017-10-29,53,False
2017-11-05,45,False
2017-11-12,48,False
2017-11-19,44,False
2017-11-26,48,False
2017-12-03,45,False
2017-12-10,37,False
2017-12-17,39,False
2017-12-24,27,False
2017-12-31,38,False
2018-01-07,40,False
2018-01-14,50,False
2018-01-21,42,False
2018-01-28,44,False
2018-02-04,47,False
2018-02-11,49,False
2018-02-18,56,False
2018-02-25,56,False
2018-03-04,43,False
2018-03-11,47,False
2018-03-18,52,False
2018-03-25,100,False
2018-04-01,50,False
2018-04-08,50,False
2018-04-15,89,False
2018-04-22,54,False
2018-04-29,45,False
2018-05-06,42,False
2018-05-13,40,False
2018-05-20,50,False
2018-05-27,45,False
2018-06-03,45,False
2018-06-10,48,False
2018-06-17,45,False
2018-06-24,47,False
2018-07-01,49,False
2018-07-08,45,False
2018-07-15,53,False
2018-07-22,54,False
2018-07-29,47,False
2018-08-05,42,False
2018-08-12,45,False
2018-08-19,46,False
2018-08-26,47,False
2018-09-02,48,False
2018-09-09,49,False
2018-09-16,62,False
2018-09-23,45,False
2018-09-30,66,False
2018-10-07,54,False
2018-10-14,55,False
2018-10-21,52,False
2018-10-28,50,False
2018-11-04,49,False
2018-11-11,48,False
2018-11-18,56,False
2018-11-25,43,False
2018-12-02,46,False
2018-12-09,52,False
2018-12-16,44,False
2018-12-23,35,False
2018-12-30,36,False
2019-01-06,41,False
2019-01-13,51,False
2019-01-20,49,False
2019-01-27,47,False
2019-02-03,47,False
2019-02-10,45,False
2019-02-17,54,False
2019-02-24,44,False
2019-03-03,41,False
2019-03-10,53,False
2019-03-17,48,False
2019-03-24,48,False
2019-03-31,51,False
2019-04-07,48,False
2019-04-14,52,False
2019-04-21,52,False
2019-04-28,51,False
2019-05-05,50,False
2019-05-12,57,False
2019-05-19,45,False
2019-05-26,39,False
2019-06-02,47,False
2019-06-09,48,False
2019-06-16,53,False
2019-06-23,40,False
2019-06-30,49,False
