date,SIVB,isPartial
2016-08-21,31,False
2016-08-28,0,False
2016-09-04,10,False
2016-09-11,0,False
2016-09-18,0,False
2016-09-25,10,False
2016-10-02,38,False
2016-10-09,10,False
2016-10-16,29,False
2016-10-23,38,False
2016-10-30,10,False
2016-11-06,19,False
2016-11-13,38,False
2016-11-20,19,False
2016-11-27,9,False
2016-12-04,36,False
2016-12-11,37,False
2016-12-18,49,False
2016-12-25,0,False
2017-01-01,38,False
2017-01-08,27,False
2017-01-15,27,False
2017-01-22,27,False
2017-01-29,17,False
2017-02-05,0,False
2017-02-12,9,False
2017-02-19,9,False
2017-02-26,0,False
2017-03-05,17,False
2017-03-12,34,False
2017-03-19,35,False
2017-03-26,26,False
2017-04-02,18,False
2017-04-09,9,False
2017-04-16,0,False
2017-04-23,52,False
2017-04-30,27,False
2017-05-07,27,False
2017-05-14,18,False
2017-05-21,0,False
2017-05-28,9,False
2017-06-04,28,False
2017-06-11,0,False
2017-06-18,27,False
2017-06-25,10,False
2017-07-02,0,False
2017-07-09,0,False
2017-07-16,39,False
2017-07-23,47,False
2017-07-30,55,False
2017-08-06,18,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,27,False
2017-09-03,18,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,18,False
2017-10-01,0,False
2017-10-08,9,False
2017-10-15,18,False
2017-10-22,35,False
2017-10-29,35,False
2017-11-05,34,False
2017-11-12,34,False
2017-11-19,34,False
2017-11-26,34,False
2017-12-03,9,False
2017-12-10,34,False
2017-12-17,9,False
2017-12-24,19,False
2017-12-31,18,False
2018-01-07,8,False
2018-01-14,8,False
2018-01-21,41,False
2018-01-28,25,False
2018-02-04,8,False
2018-02-11,8,False
2018-02-18,8,False
2018-02-25,8,False
2018-03-04,41,False
2018-03-11,16,False
2018-03-18,8,False
2018-03-25,17,False
2018-04-01,42,False
2018-04-08,0,False
2018-04-15,17,False
2018-04-22,67,False
2018-04-29,50,False
2018-05-06,50,False
2018-05-13,25,False
2018-05-20,51,False
2018-05-27,17,False
2018-06-03,17,False
2018-06-10,57,False
2018-06-17,8,False
2018-06-24,33,False
2018-07-01,25,False
2018-07-08,33,False
2018-07-15,34,False
2018-07-22,42,False
2018-07-29,33,False
2018-08-05,41,False
2018-08-12,42,False
2018-08-19,0,False
2018-08-26,33,False
2018-09-02,0,False
2018-09-09,8,False
2018-09-16,16,False
2018-09-23,32,False
2018-09-30,48,False
2018-10-07,24,False
2018-10-14,41,False
2018-10-21,57,False
2018-10-28,41,False
2018-11-04,40,False
2018-11-11,49,False
2018-11-18,25,False
2018-11-25,32,False
2018-12-02,33,False
2018-12-09,58,False
2018-12-16,33,False
2018-12-23,46,False
2018-12-30,9,False
2019-01-06,41,False
2019-01-13,16,False
2019-01-20,63,False
2019-01-27,16,False
2019-02-03,0,False
2019-02-10,24,False
2019-02-17,40,False
2019-02-24,16,False
2019-03-03,16,False
2019-03-10,56,False
2019-03-17,32,False
2019-03-24,24,False
2019-03-31,24,False
2019-04-07,56,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,33,False
2019-05-05,24,False
2019-05-12,0,False
2019-05-19,32,False
2019-05-26,8,False
2019-06-02,32,False
2019-06-09,55,False
2019-06-16,0,False
2019-06-23,32,False
2019-06-30,16,False
2019-07-07,32,False
2019-07-14,24,False
2019-07-21,58,False
2019-07-28,33,False
2019-08-04,49,False
2019-08-11,24,False
2019-08-18,16,False
2019-08-25,39,False
2019-09-01,23,False
2019-09-08,23,False
2019-09-15,31,False
2019-09-22,23,False
2019-09-29,15,False
2019-10-06,8,False
2019-10-13,15,False
2019-10-20,74,False
2019-10-27,30,False
2019-11-03,44,False
2019-11-10,37,False
2019-11-17,7,False
2019-11-24,7,False
2019-12-01,22,False
2019-12-08,30,False
2019-12-15,8,False
2019-12-22,25,False
2019-12-29,31,False
2020-01-05,36,False
2020-01-12,28,False
2020-01-19,14,False
2020-01-26,0,False
2020-02-02,7,False
2020-02-09,14,False
2020-02-16,14,False
2020-02-23,28,False
2020-03-01,55,False
2020-03-08,54,False
2020-03-15,53,False
2020-03-22,58,False
2020-03-29,19,False
2020-04-05,33,False
2020-04-12,52,False
2020-04-19,57,False
2020-04-26,25,False
2020-05-03,45,False
2020-05-10,46,False
2020-05-17,7,False
2020-05-24,20,False
2020-05-31,52,False
2020-06-07,33,False
2020-06-14,7,False
2020-06-21,27,False
2020-06-28,7,False
2020-07-05,21,False
2020-07-12,14,False
2020-07-19,29,False
2020-07-26,36,False
2020-08-02,28,False
2020-08-09,35,False
2020-08-16,28,False
2020-08-23,34,False
2020-08-30,7,False
2020-09-06,20,False
2020-09-13,0,False
2020-09-20,20,False
2020-09-27,21,False
2020-10-04,0,False
2020-10-11,22,False
2020-10-18,7,False
2020-10-25,43,False
2020-11-01,27,False
2020-11-08,36,False
2020-11-15,22,False
2020-11-22,22,False
2020-11-29,0,False
2020-12-06,28,False
2020-12-13,21,False
2020-12-20,39,False
2020-12-27,0,False
2021-01-03,56,False
2021-01-10,100,False
2021-01-17,71,False
2021-01-24,79,False
2021-01-31,29,False
2021-02-07,42,False
2021-02-14,79,False
2021-02-21,35,False
2021-02-28,28,False
2021-03-07,28,False
2021-03-14,27,False
2021-03-21,21,False
2021-03-28,22,False
2021-04-04,29,False
2021-04-11,36,False
2021-04-18,57,False
2021-04-25,21,False
2021-05-02,28,False
2021-05-09,36,False
2021-05-16,14,False
2021-05-23,0,False
2021-05-30,29,False
2021-06-06,36,False
2021-06-13,29,False
2021-06-20,22,False
2021-06-27,44,False
2021-07-04,7,False
2021-07-11,30,False
2021-07-18,76,False
2021-07-25,30,False
2021-08-01,45,False
2021-08-08,60,True
