date,SBAC,isPartial
2016-08-21,18,False
2016-08-28,14,False
2016-09-04,15,False
2016-09-11,21,False
2016-09-18,17,False
2016-09-25,17,False
2016-10-02,20,False
2016-10-09,15,False
2016-10-16,21,False
2016-10-23,20,False
2016-10-30,10,False
2016-11-06,14,False
2016-11-13,23,False
2016-11-20,5,False
2016-11-27,19,False
2016-12-04,7,False
2016-12-11,13,False
2016-12-18,7,False
2016-12-25,5,False
2017-01-01,12,False
2017-01-08,16,False
2017-01-15,26,False
2017-01-22,25,False
2017-01-29,18,False
2017-02-05,26,False
2017-02-12,14,False
2017-02-19,21,False
2017-02-26,27,False
2017-03-05,33,False
2017-03-12,40,False
2017-03-19,50,False
2017-03-26,55,False
2017-04-02,74,False
2017-04-09,58,False
2017-04-16,94,False
2017-04-23,100,False
2017-04-30,94,False
2017-05-07,72,False
2017-05-14,41,False
2017-05-21,29,False
2017-05-28,17,False
2017-06-04,14,False
2017-06-11,13,False
2017-06-18,12,False
2017-06-25,6,False
2017-07-02,8,False
2017-07-09,8,False
2017-07-16,13,False
2017-07-23,9,False
2017-07-30,11,False
2017-08-06,19,False
2017-08-13,15,False
2017-08-20,16,False
2017-08-27,18,False
2017-09-03,21,False
2017-09-10,14,False
2017-09-17,12,False
2017-09-24,19,False
2017-10-01,10,False
2017-10-08,15,False
2017-10-15,15,False
2017-10-22,12,False
2017-10-29,17,False
2017-11-05,13,False
2017-11-12,16,False
2017-11-19,6,False
2017-11-26,8,False
2017-12-03,16,False
2017-12-10,15,False
2017-12-17,10,False
2017-12-24,5,False
2017-12-31,11,False
2018-01-07,21,False
2018-01-14,18,False
2018-01-21,30,False
2018-01-28,21,False
2018-02-04,23,False
2018-02-11,21,False
2018-02-18,22,False
2018-02-25,31,False
2018-03-04,38,False
2018-03-11,35,False
2018-03-18,54,False
2018-03-25,34,False
2018-04-01,50,False
2018-04-08,64,False
2018-04-15,83,False
2018-04-22,83,False
2018-04-29,81,False
2018-05-06,63,False
2018-05-13,43,False
2018-05-20,26,False
2018-05-27,14,False
2018-06-03,11,False
2018-06-10,12,False
2018-06-17,6,False
2018-06-24,13,False
2018-07-01,6,False
2018-07-08,10,False
2018-07-15,10,False
2018-07-22,12,False
2018-07-29,14,False
2018-08-05,12,False
2018-08-12,10,False
2018-08-19,16,False
2018-08-26,18,False
2018-09-02,16,False
2018-09-09,14,False
2018-09-16,14,False
2018-09-23,12,False
2018-09-30,13,False
2018-10-07,21,False
2018-10-14,15,False
2018-10-21,19,False
2018-10-28,10,False
2018-11-04,12,False
2018-11-11,11,False
2018-11-18,6,False
2018-11-25,13,False
2018-12-02,15,False
2018-12-09,17,False
2018-12-16,14,False
2018-12-23,4,False
2018-12-30,6,False
2019-01-06,17,False
2019-01-13,21,False
2019-01-20,18,False
2019-01-27,23,False
2019-02-03,19,False
2019-02-10,21,False
2019-02-17,23,False
2019-02-24,25,False
2019-03-03,32,False
2019-03-10,35,False
2019-03-17,40,False
2019-03-24,38,False
2019-03-31,41,False
2019-04-07,59,False
2019-04-14,47,False
2019-04-21,74,False
2019-04-28,79,False
2019-05-05,62,False
2019-05-12,52,False
2019-05-19,39,False
2019-05-26,24,False
2019-06-02,13,False
2019-06-09,18,False
2019-06-16,8,False
2019-06-23,8,False
2019-06-30,4,False
2019-07-07,10,False
2019-07-14,10,False
2019-07-21,14,False
2019-07-28,10,False
2019-08-04,11,False
2019-08-11,14,False
2019-08-18,9,False
2019-08-25,17,False
2019-09-01,12,False
2019-09-08,17,False
2019-09-15,11,False
2019-09-22,14,False
2019-09-29,14,False
2019-10-06,13,False
2019-10-13,14,False
2019-10-20,17,False
2019-10-27,12,False
2019-11-03,16,False
2019-11-10,10,False
2019-11-17,14,False
2019-11-24,9,False
2019-12-01,11,False
2019-12-08,17,False
2019-12-15,11,False
2019-12-22,4,False
2019-12-29,5,False
2020-01-05,13,False
2020-01-12,16,False
2020-01-19,12,False
2020-01-26,15,False
2020-02-02,15,False
2020-02-09,18,False
2020-02-16,15,False
2020-02-23,18,False
2020-03-01,22,False
2020-03-08,31,False
2020-03-15,10,False
2020-03-22,10,False
2020-03-29,12,False
2020-04-05,9,False
2020-04-12,8,False
2020-04-19,7,False
2020-04-26,10,False
2020-05-03,9,False
2020-05-10,6,False
2020-05-17,9,False
2020-05-24,12,False
2020-05-31,14,False
2020-06-07,9,False
2020-06-14,13,False
2020-06-21,4,False
2020-06-28,6,False
2020-07-05,4,False
2020-07-12,7,False
2020-07-19,4,False
2020-07-26,6,False
2020-08-02,10,False
2020-08-09,7,False
2020-08-16,9,False
2020-08-23,10,False
2020-08-30,12,False
2020-09-06,9,False
2020-09-13,10,False
2020-09-20,7,False
2020-09-27,7,False
2020-10-04,12,False
2020-10-11,7,False
2020-10-18,6,False
2020-10-25,5,False
2020-11-01,5,False
2020-11-08,3,False
2020-11-15,4,False
2020-11-22,4,False
2020-11-29,6,False
2020-12-06,7,False
2020-12-13,6,False
2020-12-20,3,False
2020-12-27,3,False
2021-01-03,6,False
2021-01-10,10,False
2021-01-17,11,False
2021-01-24,10,False
2021-01-31,8,False
2021-02-07,6,False
2021-02-14,7,False
2021-02-21,9,False
2021-02-28,11,False
2021-03-07,8,False
2021-03-14,7,False
2021-03-21,7,False
2021-03-28,6,False
2021-04-04,10,False
2021-04-11,15,False
2021-04-18,8,False
2021-04-25,12,False
2021-05-02,14,False
2021-05-09,8,False
2021-05-16,6,False
2021-05-23,8,False
2021-05-30,11,False
2021-06-06,10,False
2021-06-13,9,False
2021-06-20,6,False
2021-06-27,4,False
2021-07-04,6,False
2021-07-11,6,False
2021-07-18,6,False
2021-07-25,4,False
2021-08-01,10,False
2021-08-08,6,True
