date,NWS,isPartial
2016-08-21,35,False
2016-08-28,40,False
2016-09-04,34,False
2016-09-11,30,False
2016-09-18,31,False
2016-09-25,34,False
2016-10-02,54,False
2016-10-09,31,False
2016-10-16,27,False
2016-10-23,25,False
2016-10-30,24,False
2016-11-06,21,False
2016-11-13,27,False
2016-11-20,28,False
2016-11-27,30,False
2016-12-04,39,False
2016-12-11,51,False
2016-12-18,34,False
2016-12-25,35,False
2017-01-01,54,False
2017-01-08,48,False
2017-01-15,39,False
2017-01-22,34,False
2017-01-29,26,False
2017-02-05,42,False
2017-02-12,31,False
2017-02-19,38,False
2017-02-26,33,False
2017-03-05,40,False
2017-03-12,46,False
2017-03-19,29,False
2017-03-26,36,False
2017-04-02,37,False
2017-04-09,30,False
2017-04-16,32,False
2017-04-23,37,False
2017-04-30,39,False
2017-05-07,28,False
2017-05-14,40,False
2017-05-21,37,False
2017-05-28,35,False
2017-06-04,31,False
2017-06-11,43,False
2017-06-18,44,False
2017-06-25,36,False
2017-07-02,36,False
2017-07-09,39,False
2017-07-16,37,False
2017-07-23,35,False
2017-07-30,37,False
2017-08-06,34,False
2017-08-13,34,False
2017-08-20,46,False
2017-08-27,49,False
2017-09-03,66,False
2017-09-10,44,False
2017-09-17,38,False
2017-09-24,27,False
2017-10-01,34,False
2017-10-08,33,False
2017-10-15,30,False
2017-10-22,35,False
2017-10-29,34,False
2017-11-05,32,False
2017-11-12,31,False
2017-11-19,23,False
2017-11-26,24,False
2017-12-03,39,False
2017-12-10,34,False
2017-12-17,41,False
2017-12-24,45,False
2017-12-31,58,False
2018-01-07,52,False
2018-01-14,51,False
2018-01-21,38,False
2018-01-28,33,False
2018-02-04,47,False
2018-02-11,42,False
2018-02-18,52,False
2018-02-25,48,False
2018-03-04,53,False
2018-03-11,51,False
2018-03-18,65,False
2018-03-25,39,False
2018-04-01,50,False
2018-04-08,51,False
2018-04-15,42,False
2018-04-22,37,False
2018-04-29,44,False
2018-05-06,35,False
2018-05-13,51,False
2018-05-20,44,False
2018-05-27,50,False
2018-06-03,41,False
2018-06-10,45,False
2018-06-17,48,False
2018-06-24,45,False
2018-07-01,46,False
2018-07-08,38,False
2018-07-15,48,False
2018-07-22,51,False
2018-07-29,44,False
2018-08-05,44,False
2018-08-12,46,False
2018-08-19,42,False
2018-08-26,45,False
2018-09-02,52,False
2018-09-09,70,False
2018-09-16,44,False
2018-09-23,43,False
2018-09-30,42,False
2018-10-07,60,False
2018-10-14,60,False
2018-10-21,36,False
2018-10-28,35,False
2018-11-04,40,False
2018-11-11,44,False
2018-11-18,39,False
2018-11-25,45,False
2018-12-02,53,False
2018-12-09,40,False
2018-12-16,36,False
2018-12-23,42,False
2018-12-30,42,False
2019-01-06,45,False
2019-01-13,63,False
2019-01-20,54,False
2019-01-27,68,False
2019-02-03,58,False
2019-02-10,68,False
2019-02-17,66,False
2019-02-24,57,False
2019-03-03,61,False
2019-03-10,53,False
2019-03-17,40,False
2019-03-24,38,False
2019-03-31,40,False
2019-04-07,55,False
2019-04-14,56,False
2019-04-21,42,False
2019-04-28,52,False
2019-05-05,53,False
2019-05-12,50,False
2019-05-19,64,False
2019-05-26,76,False
2019-06-02,55,False
2019-06-09,46,False
2019-06-16,57,False
2019-06-23,51,False
2019-06-30,51,False
2019-07-07,50,False
2019-07-14,54,False
2019-07-21,50,False
2019-07-28,47,False
2019-08-04,47,False
2019-08-11,51,False
2019-08-18,49,False
2019-08-25,58,False
2019-09-01,64,False
2019-09-08,51,False
2019-09-15,42,False
2019-09-22,46,False
2019-09-29,51,False
2019-10-06,47,False
2019-10-13,44,False
2019-10-20,44,False
2019-10-27,49,False
2019-11-03,39,False
2019-11-10,44,False
2019-11-17,42,False
2019-11-24,60,False
2019-12-01,45,False
2019-12-08,49,False
2019-12-15,50,False
2019-12-22,44,False
2019-12-29,45,False
2020-01-05,61,False
2020-01-12,62,False
2020-01-19,44,False
2020-01-26,45,False
2020-02-02,63,False
2020-02-09,53,False
2020-02-16,45,False
2020-02-23,51,False
2020-03-01,52,False
2020-03-08,81,False
2020-03-15,100,False
2020-03-22,73,False
2020-03-29,59,False
2020-04-05,62,False
2020-04-12,70,False
2020-04-19,71,False
2020-04-26,56,False
2020-05-03,58,False
2020-05-10,61,False
2020-05-17,60,False
2020-05-24,67,False
2020-05-31,61,False
2020-06-07,59,False
2020-06-14,51,False
2020-06-21,57,False
2020-06-28,55,False
2020-07-05,64,False
2020-07-12,60,False
2020-07-19,71,False
2020-07-26,83,False
2020-08-02,75,False
2020-08-09,66,False
2020-08-16,56,False
2020-08-23,69,False
2020-08-30,58,False
2020-09-06,59,False
2020-09-13,52,False
2020-09-20,55,False
2020-09-27,53,False
2020-10-04,55,False
2020-10-11,64,False
2020-10-18,63,False
2020-10-25,81,False
2020-11-01,86,False
2020-11-08,58,False
2020-11-15,46,False
2020-11-22,51,False
2020-11-29,48,False
2020-12-06,49,False
2020-12-13,67,False
2020-12-20,61,False
2020-12-27,60,False
2021-01-03,56,False
2021-01-10,61,False
2021-01-17,56,False
2021-01-24,72,False
2021-01-31,68,False
2021-02-07,72,False
2021-02-14,75,False
2021-02-21,48,False
2021-02-28,48,False
2021-03-07,53,False
2021-03-14,60,False
2021-03-21,74,False
2021-03-28,52,False
2021-04-04,53,False
2021-04-11,49,False
2021-04-18,55,False
2021-04-25,50,False
2021-05-02,48,False
2021-05-09,49,False
2021-05-16,60,False
2021-05-23,59,False
2021-05-30,49,False
2021-06-06,53,False
2021-06-13,50,False
2021-06-20,60,False
2021-06-27,60,False
2021-07-04,64,False
2021-07-11,76,False
2021-07-18,54,False
2021-07-25,55,False
2021-08-01,47,False
2021-08-08,53,True
