date,MRK,isPartial
2016-08-21,34,False
2016-08-28,29,False
2016-09-04,31,False
2016-09-11,30,False
2016-09-18,33,False
2016-09-25,34,False
2016-10-02,38,False
2016-10-09,38,False
2016-10-16,35,False
2016-10-23,34,False
2016-10-30,37,False
2016-11-06,44,False
2016-11-13,36,False
2016-11-20,35,False
2016-11-27,30,False
2016-12-04,33,False
2016-12-11,37,False
2016-12-18,38,False
2016-12-25,26,False
2017-01-01,38,False
2017-01-08,48,False
2017-01-15,36,False
2017-01-22,38,False
2017-01-29,42,False
2017-02-05,34,False
2017-02-12,48,False
2017-02-19,43,False
2017-02-26,41,False
2017-03-05,37,False
2017-03-12,35,False
2017-03-19,31,False
2017-03-26,32,False
2017-04-02,30,False
2017-04-09,29,False
2017-04-16,32,False
2017-04-23,35,False
2017-04-30,29,False
2017-05-07,32,False
2017-05-14,28,False
2017-05-21,37,False
2017-05-28,36,False
2017-06-04,35,False
2017-06-11,24,False
2017-06-18,28,False
2017-06-25,34,False
2017-07-02,21,False
2017-07-09,32,False
2017-07-16,36,False
2017-07-23,32,False
2017-07-30,31,False
2017-08-06,38,False
2017-08-13,28,False
2017-08-20,41,False
2017-08-27,36,False
2017-09-03,28,False
2017-09-10,33,False
2017-09-17,31,False
2017-09-24,26,False
2017-10-01,27,False
2017-10-08,34,False
2017-10-15,32,False
2017-10-22,34,False
2017-10-29,46,False
2017-11-05,34,False
2017-11-12,42,False
2017-11-19,26,False
2017-11-26,34,False
2017-12-03,41,False
2017-12-10,41,False
2017-12-17,35,False
2017-12-24,30,False
2017-12-31,44,False
2018-01-07,45,False
2018-01-14,40,False
2018-01-21,48,False
2018-01-28,41,False
2018-02-04,42,False
2018-02-11,33,False
2018-02-18,39,False
2018-02-25,30,False
2018-03-04,32,False
2018-03-11,32,False
2018-03-18,39,False
2018-03-25,31,False
2018-04-01,29,False
2018-04-08,35,False
2018-04-15,45,False
2018-04-22,39,False
2018-04-29,42,False
2018-05-06,44,False
2018-05-13,29,False
2018-05-20,34,False
2018-05-27,31,False
2018-06-03,40,False
2018-06-10,36,False
2018-06-17,33,False
2018-06-24,30,False
2018-07-01,33,False
2018-07-08,36,False
2018-07-15,36,False
2018-07-22,100,False
2018-07-29,37,False
2018-08-05,28,False
2018-08-12,41,False
2018-08-19,34,False
2018-08-26,36,False
2018-09-02,32,False
2018-09-09,38,False
2018-09-16,34,False
2018-09-23,27,False
2018-09-30,33,False
2018-10-07,37,False
2018-10-14,32,False
2018-10-21,35,False
2018-10-28,38,False
2018-11-04,40,False
2018-11-11,42,False
2018-11-18,34,False
2018-11-25,35,False
2018-12-02,41,False
2018-12-09,35,False
2018-12-16,40,False
2018-12-23,29,False
2018-12-30,34,False
2019-01-06,32,False
2019-01-13,30,False
2019-01-20,38,False
2019-01-27,39,False
2019-02-03,38,False
2019-02-10,39,False
2019-02-17,32,False
2019-02-24,43,False
2019-03-03,32,False
2019-03-10,32,False
2019-03-17,36,False
2019-03-24,33,False
2019-03-31,33,False
2019-04-07,37,False
2019-04-14,52,False
2019-04-21,35,False
2019-04-28,40,False
2019-05-05,29,False
2019-05-12,36,False
2019-05-19,32,False
2019-05-26,33,False
2019-06-02,31,False
2019-06-09,30,False
2019-06-16,31,False
2019-06-23,34,False
2019-06-30,30,False
2019-07-07,35,False
2019-07-14,44,False
2019-07-21,29,False
2019-07-28,38,False
2019-08-04,37,False
2019-08-11,36,False
2019-08-18,33,False
2019-08-25,29,False
2019-09-01,34,False
2019-09-08,35,False
2019-09-15,39,False
2019-09-22,35,False
2019-09-29,36,False
2019-10-06,33,False
2019-10-13,33,False
2019-10-20,43,False
2019-10-27,40,False
2019-11-03,38,False
2019-11-10,30,False
