date,JNPR,isPartial
2016-08-21,21,False
2016-08-28,13,False
2016-09-04,3,False
2016-09-11,13,False
2016-09-18,23,False
2016-09-25,32,False
2016-10-02,29,False
2016-10-09,13,False
2016-10-16,51,False
2016-10-23,39,False
2016-10-30,26,False
2016-11-06,22,False
2016-11-13,22,False
2016-11-20,19,False
2016-11-27,27,False
2016-12-04,30,False
2016-12-11,28,False
2016-12-18,26,False
2016-12-25,23,False
2017-01-01,22,False
2017-01-08,30,False
2017-01-15,18,False
2017-01-22,42,False
2017-01-29,26,False
2017-02-05,38,False
2017-02-12,56,False
2017-02-19,21,False
2017-02-26,40,False
2017-03-05,14,False
2017-03-12,9,False
2017-03-19,24,False
2017-03-26,18,False
2017-04-02,21,False
2017-04-09,18,False
2017-04-16,3,False
2017-04-23,47,False
2017-04-30,51,False
2017-05-07,18,False
2017-05-14,28,False
2017-05-21,13,False
2017-05-28,13,False
2017-06-04,15,False
2017-06-11,19,False
2017-06-18,12,False
2017-06-25,19,False
2017-07-02,20,False
2017-07-09,29,False
2017-07-16,32,False
2017-07-23,66,False
2017-07-30,43,False
2017-08-06,18,False
2017-08-13,6,False
2017-08-20,21,False
2017-08-27,15,False
2017-09-03,18,False
2017-09-10,24,False
2017-09-17,9,False
2017-09-24,30,False
2017-10-01,9,False
2017-10-08,38,False
2017-10-15,21,False
2017-10-22,44,False
2017-10-29,27,False
2017-11-05,20,False
2017-11-12,32,False
2017-11-19,20,False
2017-11-26,100,False
2017-12-03,26,False
2017-12-10,41,False
2017-12-17,24,False
2017-12-24,10,False
2017-12-31,18,False
2018-01-07,39,False
2018-01-14,20,False
2018-01-21,28,False
2018-01-28,42,False
2018-02-04,34,False
2018-02-11,31,False
2018-02-18,33,False
2018-02-25,16,False
2018-03-04,11,False
2018-03-11,11,False
2018-03-18,30,False
2018-03-25,23,False
2018-04-01,37,False
2018-04-08,17,False
2018-04-15,39,False
2018-04-22,25,False
2018-04-29,34,False
2018-05-06,40,False
2018-05-13,40,False
2018-05-20,31,False
2018-05-27,14,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,31,False
2018-06-24,25,False
2018-07-01,17,False
2018-07-08,33,False
