date,BF.B,isPartial
2016-08-21,0,False
2016-08-28,29,False
2016-09-04,0,False
2016-09-11,0,False
2016-09-18,0,False
2016-09-25,0,False
2016-10-02,0,False
2016-10-09,0,False
2016-10-16,0,False
2016-10-23,0,False
2016-10-30,0,False
2016-11-06,28,False
2016-11-13,0,False
2016-11-20,0,False
2016-11-27,0,False
2016-12-04,53,False
2016-12-11,27,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,0,False
2017-01-08,26,False
2017-01-15,0,False
2017-01-22,26,False
2017-01-29,26,False
2017-02-05,0,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,0,False
2017-03-05,25,False
2017-03-12,0,False
2017-03-19,26,False
2017-03-26,0,False
2017-04-02,0,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,0,False
2017-04-30,0,False
2017-05-07,0,False
2017-05-14,0,False
2017-05-21,28,False
2017-05-28,28,False
2017-06-04,54,False
2017-06-11,28,False
2017-06-18,0,False
2017-06-25,28,False
2017-07-02,0,False
2017-07-09,0,False
2017-07-16,28,False
2017-07-23,0,False
2017-07-30,27,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,27,False
2017-09-03,0,False
2017-09-10,0,False
2017-09-17,0,False
2017-09-24,26,False
2017-10-01,0,False
2017-10-08,52,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,0,False
2017-11-05,0,False
2017-11-12,25,False
2017-11-19,25,False
2017-11-26,0,False
2017-12-03,25,False
2017-12-10,25,False
2017-12-17,0,False
2017-12-24,29,False
2017-12-31,0,False
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,24,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,49,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,24,False
2018-03-11,0,False
2018-03-18,49,False
2018-03-25,25,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,25,False
2018-04-29,25,False
2018-05-06,0,False
2018-05-13,25,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,49,False
2018-06-10,72,False
2018-06-17,0,False
2018-06-24,49,False
2018-07-01,0,False
2018-07-08,24,False
2018-07-15,0,False
2018-07-22,25,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,25,False
2018-08-26,49,False
2018-09-02,0,False
2018-09-09,48,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,0,False
2018-10-28,24,False
2018-11-04,0,False
2018-11-11,48,False
2018-11-18,24,False
2018-11-25,24,False
2018-12-02,24,False
2018-12-09,0,False
2018-12-16,49,False
2018-12-23,27,False
2018-12-30,0,False
2019-01-06,24,False
2019-01-13,0,False
2019-01-20,47,False
2019-01-27,23,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,47,False
2019-02-24,46,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,24,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,0,False
2019-04-14,0,False
2019-04-21,24,False
2019-04-28,0,False
2019-05-05,24,False
2019-05-12,24,False
2019-05-19,47,False
2019-05-26,47,False
2019-06-02,23,False
2019-06-09,46,False
2019-06-16,24,False
2019-06-23,47,False
2019-06-30,71,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,25,False
2019-07-28,48,False
2019-08-04,0,False
2019-08-11,48,False
2019-08-18,23,False
2019-08-25,23,False
2019-09-01,46,False
2019-09-08,45,False
2019-09-15,0,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,0,False
2019-10-13,22,False
