date,LDOS,isPartial
2016-08-21,100,False
2016-08-28,34,False
2016-09-04,28,False
2016-09-11,51,False
2016-09-18,66,False
2016-09-25,38,False
2016-10-02,59,False
2016-10-09,11,False
2016-10-16,38,False
2016-10-23,11,False
2016-10-30,28,False
2016-11-06,27,False
2016-11-13,38,False
2016-11-20,11,False
2016-11-27,41,False
2016-12-04,20,False
2016-12-11,16,False
2016-12-18,39,False
2016-12-25,17,False
2017-01-01,11,False
2017-01-08,36,False
2017-01-15,25,False
2017-01-22,15,False
2017-01-29,15,False
2017-02-05,30,False
2017-02-12,25,False
2017-02-19,25,False
2017-02-26,39,False
2017-03-05,43,False
2017-03-12,29,False
2017-03-19,15,False
2017-03-26,25,False
2017-04-02,10,False
2017-04-09,41,False
2017-04-16,15,False
2017-04-23,35,False
2017-04-30,10,False
2017-05-07,15,False
2017-05-14,42,False
2017-05-21,22,False
2017-05-28,11,False
2017-06-04,31,False
2017-06-11,16,False
2017-06-18,26,False
2017-06-25,16,False
2017-07-02,22,False
2017-07-09,16,False
2017-07-16,16,False
2017-07-23,11,False
2017-07-30,42,False
2017-08-06,21,False
2017-08-13,31,False
2017-08-20,21,False
2017-08-27,21,False
2017-09-03,15,False
2017-09-10,25,False
2017-09-17,10,False
2017-09-24,40,False
2017-10-01,20,False
2017-10-08,30,False
2017-10-15,25,False
2017-10-22,30,False
2017-10-29,25,False
2017-11-05,44,False
2017-11-12,34,False
2017-11-19,24,False
2017-11-26,34,False
2017-12-03,39,False
2017-12-10,24,False
2017-12-17,31,False
2017-12-24,33,False
2017-12-31,0,False
2018-01-07,33,False
2018-01-14,24,False
2018-01-21,38,False
2018-01-28,28,False
2018-02-04,48,False
2018-02-11,19,False
2018-02-18,52,False
2018-02-25,32,False
2018-03-04,23,False
2018-03-11,23,False
2018-03-18,23,False
2018-03-25,19,False
2018-04-01,19,False
2018-04-08,24,False
2018-04-15,14,False
2018-04-22,10,False
2018-04-29,19,False
2018-05-06,19,False
2018-05-13,24,False
2018-05-20,29,False
2018-05-27,10,False
2018-06-03,24,False
2018-06-10,23,False
2018-06-17,5,False
2018-06-24,28,False
2018-07-01,33,False
2018-07-08,19,False
2018-07-15,10,False
2018-07-22,48,False
2018-07-29,33,False
2018-08-05,47,False
2018-08-12,14,False
2018-08-19,29,False
2018-08-26,5,False
2018-09-02,14,False
2018-09-09,14,False
2018-09-16,37,False
2018-09-23,28,False
2018-09-30,14,False
2018-10-07,5,False
2018-10-14,23,False
2018-10-21,33,False
2018-10-28,19,False
2018-11-04,18,False
2018-11-11,14,False
2018-11-18,37,False
2018-11-25,18,False
2018-12-02,5,False
2018-12-09,14,False
2018-12-16,29,False
2018-12-23,10,False
2018-12-30,20,False
2019-01-06,51,False
2019-01-13,23,False
2019-01-20,36,False
2019-01-27,36,False
2019-02-03,32,False
2019-02-10,14,False
2019-02-17,41,False
2019-02-24,27,False
2019-03-03,32,False
2019-03-10,14,False
2019-03-17,37,False
2019-03-24,9,False
2019-03-31,23,False
2019-04-07,23,False
2019-04-14,24,False
2019-04-21,37,False
2019-04-28,56,False
2019-05-05,37,False
2019-05-12,23,False
2019-05-19,55,False
2019-05-26,14,False
2019-06-02,32,False
2019-06-09,22,False
2019-06-16,18,False
2019-06-23,32,False
2019-06-30,23,False
2019-07-07,23,False
2019-07-14,23,False
2019-07-21,9,False
2019-07-28,33,False
2019-08-04,42,False
2019-08-11,28,False
2019-08-18,23,False
2019-08-25,27,False
2019-09-01,27,False
2019-09-08,39,False
2019-09-15,48,False
2019-09-22,34,False
2019-09-29,22,False
2019-10-06,17,False
2019-10-13,30,False
2019-10-20,13,False
2019-10-27,39,False
2019-11-03,8,False
2019-11-10,21,False
2019-11-17,30,False
2019-11-24,17,False
2019-12-01,30,False
2019-12-08,30,False
2019-12-15,43,False
2019-12-22,33,False
2019-12-29,36,False
2020-01-05,17,False
2020-01-12,40,False
2020-01-19,21,False
2020-01-26,41,False
2020-02-02,65,False
2020-02-09,44,False
2020-02-16,56,False
2020-02-23,43,False
2020-03-01,54,False
2020-03-08,77,False
2020-03-15,38,False
2020-03-22,41,False
2020-03-29,47,False
2020-04-05,52,False
2020-04-12,37,False
2020-04-19,25,False
2020-04-26,14,False
2020-05-03,36,False
2020-05-10,34,False
2020-05-17,34,False
2020-05-24,38,False
2020-05-31,29,False
2020-06-07,33,False
2020-06-14,34,False
2020-06-21,27,False
2020-06-28,8,False
2020-07-05,36,False
2020-07-12,56,False
2020-07-19,37,False
2020-07-26,37,False
2020-08-02,40,False
2020-08-09,32,False
2020-08-16,20,False
2020-08-23,43,False
2020-08-30,42,False
2020-09-06,27,False
2020-09-13,34,False
2020-09-20,27,False
2020-09-27,31,False
2020-10-04,27,False
2020-10-11,21,False
2020-10-18,16,False
2020-10-25,25,False
2020-11-01,50,False
2020-11-08,33,False
2020-11-15,37,False
2020-11-22,24,False
2020-11-29,36,False
2020-12-06,40,False
2020-12-13,32,False
2020-12-20,27,False
2020-12-27,26,False
2021-01-03,32,False
2021-01-10,32,False
2021-01-17,32,False
2021-01-24,28,False
2021-01-31,28,False
2021-02-07,56,False
2021-02-14,16,False
2021-02-21,71,False
2021-02-28,48,False
2021-03-07,32,False
2021-03-14,45,False
2021-03-21,32,False
2021-03-28,17,False
2021-04-04,57,False
2021-04-11,16,False
2021-04-18,37,False
2021-04-25,28,False
2021-05-02,44,False
2021-05-09,12,False
2021-05-16,33,False
2021-05-23,8,False
2021-05-30,21,False
2021-06-06,16,False
2021-06-13,21,False
2021-06-20,17,False
2021-06-27,21,False
2021-07-04,17,False
2021-07-11,17,False
2021-07-18,17,False
2021-07-25,21,False
2021-08-01,34,False
2021-08-08,34,True
