date,GRMN,isPartial
2016-08-21,15,False
2016-08-28,13,False
2016-09-04,4,False
2016-09-11,3,False
2016-09-18,10,False
2016-09-25,15,False
2016-10-02,3,False
2016-10-09,4,False
2016-10-16,11,False
2016-10-23,16,False
2016-10-30,11,False
2016-11-06,9,False
2016-11-13,16,False
2016-11-20,9,False
2016-11-27,13,False
2016-12-04,9,False
2016-12-11,15,False
2016-12-18,7,False
2016-12-25,21,False
2017-01-01,5,False
2017-01-08,6,False
2017-01-15,14,False
2017-01-22,6,False
2017-01-29,14,False
2017-02-05,4,False
2017-02-12,12,False
2017-02-19,24,False
2017-02-26,24,False
2017-03-05,31,False
2017-03-12,15,False
2017-03-19,12,False
2017-03-26,12,False
2017-04-02,11,False
2017-04-09,9,False
2017-04-16,15,False
2017-04-23,12,False
2017-04-30,8,False
2017-05-07,10,False
2017-05-14,13,False
2017-05-21,9,False
2017-05-28,7,False
2017-06-04,18,False
2017-06-11,15,False
2017-06-18,17,False
2017-06-25,25,False
2017-07-02,22,False
2017-07-09,22,False
2017-07-16,41,False
2017-07-23,41,False
2017-07-30,26,False
2017-08-06,22,False
2017-08-13,9,False
2017-08-20,21,False
2017-08-27,15,False
2017-09-03,21,False
2017-09-10,20,False
2017-09-17,56,False
2017-09-24,24,False
2017-10-01,15,False
2017-10-08,19,False
2017-10-15,23,False
2017-10-22,19,False
2017-10-29,30,False
2017-11-05,23,False
2017-11-12,19,False
2017-11-19,29,False
2017-11-26,24,False
2017-12-03,24,False
2017-12-10,24,False
2017-12-17,14,False
2017-12-24,19,False
2017-12-31,26,False
2018-01-07,26,False
2018-01-14,31,False
2018-01-21,36,False
2018-01-28,27,False
2018-02-04,26,False
2018-02-11,31,False
2018-02-18,20,False
2018-02-25,22,False
2018-03-04,17,False
2018-03-11,15,False
2018-03-18,25,False
2018-03-25,24,False
2018-04-01,19,False
2018-04-08,39,False
2018-04-15,11,False
2018-04-22,26,False
2018-04-29,20,False
2018-05-06,16,False
2018-05-13,16,False
2018-05-20,19,False
2018-05-27,24,False
2018-06-03,23,False
2018-06-10,24,False
2018-06-17,32,False
2018-06-24,12,False
2018-07-01,31,False
2018-07-08,27,False
2018-07-15,55,False
2018-07-22,28,False
2018-07-29,18,False
2018-08-05,14,False
2018-08-12,11,False
2018-08-19,30,False
2018-08-26,24,False
2018-09-02,26,False
2018-09-09,24,False
2018-09-16,76,False
2018-09-23,34,False
2018-09-30,22,False
2018-10-07,21,False
2018-10-14,16,False
2018-10-21,17,False
2018-10-28,26,False
2018-11-04,20,False
2018-11-11,29,False
2018-11-18,29,False
2018-11-25,18,False
2018-12-02,27,False
2018-12-09,12,False
2018-12-16,21,False
2018-12-23,27,False
2018-12-30,91,False
2019-01-06,100,False
2019-01-13,59,False
2019-01-20,43,False
2019-01-27,33,False
2019-02-03,19,False
2019-02-10,26,False
2019-02-17,56,False
2019-02-24,34,False
2019-03-03,25,False
2019-03-10,48,False
2019-03-17,40,False
2019-03-24,27,False
2019-03-31,29,False
2019-04-07,21,False
2019-04-14,23,False
2019-04-21,18,False
2019-04-28,24,False
2019-05-05,22,False
2019-05-12,27,False
2019-05-19,15,False
2019-05-26,16,False
2019-06-02,23,False
2019-06-09,13,False
2019-06-16,23,False
2019-06-23,15,False
2019-06-30,15,False
2019-07-07,17,False
2019-07-14,16,False
2019-07-21,17,False
2019-07-28,26,False
2019-08-04,20,False
2019-08-11,16,False
2019-08-18,17,False
2019-08-25,23,False
2019-09-01,17,False
2019-09-08,16,False
2019-09-15,13,False
2019-09-22,10,False
2019-09-29,11,False
2019-10-06,19,False
2019-10-13,19,False
2019-10-20,22,False
2019-10-27,36,False
2019-11-03,21,False
2019-11-10,17,False
2019-11-17,18,False
2019-11-24,19,False
2019-12-01,22,False
2019-12-08,25,False
2019-12-15,27,False
2019-12-22,29,False
2019-12-29,31,False
2020-01-05,32,False
2020-01-12,33,False
2020-01-19,29,False
2020-01-26,15,False
2020-02-02,18,False
2020-02-09,18,False
2020-02-16,33,False
2020-02-23,24,False
2020-03-01,22,False
2020-03-08,22,False
2020-03-15,12,False
2020-03-22,13,False
2020-03-29,17,False
2020-04-05,18,False
2020-04-12,13,False
2020-04-19,20,False
2020-04-26,21,False
2020-05-03,25,False
2020-05-10,11,False
2020-05-17,9,False
2020-05-24,24,False
2020-05-31,19,False
2020-06-07,20,False
2020-06-14,22,False
2020-06-21,16,False
2020-06-28,16,False
2020-07-05,21,False
2020-07-12,18,False
2020-07-19,25,False
2020-07-26,30,False
2020-08-02,26,False
2020-08-09,21,False
2020-08-16,17,False
2020-08-23,13,False
2020-08-30,11,False
2020-09-06,12,False
2020-09-13,18,False
2020-09-20,18,False
2020-09-27,13,False
2020-10-04,23,False
2020-10-11,20,False
2020-10-18,10,False
2020-10-25,26,False
2020-11-01,24,False
2020-11-08,20,False
2020-11-15,21,False
2020-11-22,19,False
2020-11-29,18,False
2020-12-06,22,False
2020-12-13,18,False
2020-12-20,28,False
2020-12-27,23,False
2021-01-03,15,False
2021-01-10,15,False
2021-01-17,9,False
2021-01-24,18,False
2021-01-31,25,False
2021-02-07,25,False
2021-02-14,21,False
2021-02-21,13,False
2021-02-28,16,False
2021-03-07,17,False
2021-03-14,16,False
2021-03-21,14,False
2021-03-28,20,False
2021-04-04,11,False
2021-04-11,26,False
2021-04-18,17,False
2021-04-25,33,False
2021-05-02,6,False
2021-05-09,11,False
2021-05-16,16,False
2021-05-23,12,False
2021-05-30,11,False
2021-06-06,12,False
2021-06-13,12,False
2021-06-20,16,False
2021-06-27,12,False
2021-07-04,12,False
2021-07-11,19,False
2021-07-18,16,False
2021-07-25,21,False
2021-08-01,17,False
2021-08-08,14,True
