date,TMUS,isPartial
2016-08-21,20,False
2016-08-28,20,False
2016-09-04,13,False
2016-09-11,9,False
2016-09-18,17,False
2016-09-25,18,False
2016-10-02,17,False
2016-10-09,13,False
2016-10-16,22,False
2016-10-23,52,False
2016-10-30,14,False
2016-11-06,42,False
2016-11-13,52,False
2016-11-20,22,False
2016-11-27,39,False
2016-12-04,46,False
2016-12-11,37,False
2016-12-18,22,False
2016-12-25,17,False
2017-01-01,26,False
2017-01-08,22,False
2017-01-15,36,False
2017-01-22,34,False
2017-01-29,43,False
2017-02-05,20,False
2017-02-12,58,False
2017-02-19,29,False
2017-02-26,24,False
2017-03-05,30,False
2017-03-12,20,False
2017-03-19,26,False
2017-03-26,22,False
2017-04-02,27,False
2017-04-09,27,False
2017-04-16,31,False
2017-04-23,73,False
2017-04-30,31,False
2017-05-07,22,False
2017-05-14,32,False
2017-05-21,21,False
2017-05-28,32,False
2017-06-04,23,False
2017-06-11,29,False
2017-06-18,32,False
2017-06-25,25,False
2017-07-02,27,False
2017-07-09,22,False
2017-07-16,85,False
2017-07-23,37,False
2017-07-30,40,False
2017-08-06,23,False
2017-08-13,34,False
2017-08-20,15,False
2017-08-27,21,False
2017-09-03,13,False
2017-09-10,18,False
2017-09-17,50,False
2017-09-24,22,False
2017-10-01,16,False
2017-10-08,28,False
2017-10-15,21,False
2017-10-22,32,False
2017-10-29,50,False
2017-11-05,43,False
2017-11-12,51,False
2017-11-19,32,False
2017-11-26,26,False
2017-12-03,34,False
2017-12-10,45,False
2017-12-17,26,False
2017-12-24,23,False
2017-12-31,26,False
2018-01-07,30,False
2018-01-14,22,False
2018-01-21,27,False
2018-01-28,21,False
2018-02-04,43,False
2018-02-11,30,False
2018-02-18,21,False
2018-02-25,19,False
2018-03-04,22,False
2018-03-11,19,False
2018-03-18,8,False
2018-03-25,18,False
2018-04-01,25,False
2018-04-08,39,False
2018-04-15,17,False
2018-04-22,33,False
2018-04-29,100,False
2018-05-06,44,False
2018-05-13,27,False
2018-05-20,30,False
2018-05-27,20,False
2018-06-03,28,False
2018-06-10,37,False
2018-06-17,27,False
2018-06-24,13,False
2018-07-01,12,False
2018-07-08,11,False
2018-07-15,25,False
2018-07-22,15,False
2018-07-29,23,False
2018-08-05,35,False
2018-08-12,15,False
2018-08-19,19,False
2018-08-26,27,False
2018-09-02,17,False
2018-09-09,26,False
2018-09-16,20,False
2018-09-23,30,False
2018-09-30,28,False
2018-10-07,26,False
2018-10-14,19,False
2018-10-21,24,False
2018-10-28,35,False
2018-11-04,26,False
2018-11-11,32,False
2018-11-18,13,False
2018-11-25,25,False
2018-12-02,12,False
2018-12-09,17,False
2018-12-16,14,False
2018-12-23,19,False
2018-12-30,22,False
2019-01-06,13,False
2019-01-13,22,False
2019-01-20,17,False
2019-01-27,19,False
2019-02-03,42,False
2019-02-10,32,False
2019-02-17,36,False
2019-02-24,31,False
2019-03-03,26,False
2019-03-10,22,False
2019-03-17,13,False
2019-03-24,20,False
2019-03-31,22,False
2019-04-07,24,False
2019-04-14,33,False
2019-04-21,25,False
2019-04-28,22,False
2019-05-05,33,False
2019-05-12,35,False
2019-05-19,46,False
2019-05-26,27,False
2019-06-02,27,False
2019-06-09,21,False
2019-06-16,35,False
2019-06-23,29,False
2019-06-30,26,False
2019-07-07,34,False
2019-07-14,19,False
2019-07-21,63,False
2019-07-28,35,False
2019-08-04,18,False
2019-08-11,27,False
2019-08-18,19,False
2019-08-25,20,False
2019-09-01,11,False
2019-09-08,15,False
2019-09-15,14,False
2019-09-22,22,False
2019-09-29,18,False
2019-10-06,21,False
2019-10-13,26,False
2019-10-20,28,False
2019-10-27,34,False
2019-11-03,26,False
2019-11-10,29,False
2019-11-17,44,False
2019-11-24,24,False
2019-12-01,33,False
2019-12-08,26,False
2019-12-15,31,False
2019-12-22,25,False
2019-12-29,23,False
2020-01-05,37,False
2020-01-12,28,False
2020-01-19,20,False
2020-01-26,22,False
2020-02-02,26,False
2020-02-09,92,False
2020-02-16,38,False
2020-02-23,65,False
2020-03-01,60,False
2020-03-08,61,False
2020-03-15,48,False
2020-03-22,35,False
2020-03-29,58,False
