date,TPR,isPartial
2016-08-21,45,False
2016-08-28,64,False
2016-09-04,57,False
2016-09-11,45,False
2016-09-18,59,False
2016-09-25,59,False
2016-10-02,52,False
2016-10-09,49,False
2016-10-16,53,False
2016-10-23,52,False
2016-10-30,65,False
2016-11-06,54,False
2016-11-13,40,False
2016-11-20,40,False
2016-11-27,44,False
2016-12-04,41,False
2016-12-11,44,False
2016-12-18,31,False
2016-12-25,28,False
2017-01-01,34,False
2017-01-08,43,False
2017-01-15,51,False
2017-01-22,43,False
2017-01-29,41,False
2017-02-05,39,False
2017-02-12,47,False
2017-02-19,45,False
2017-02-26,35,False
2017-03-05,44,False
2017-03-12,43,False
2017-03-19,45,False
2017-03-26,46,False
2017-04-02,30,False
2017-04-09,39,False
2017-04-16,41,False
2017-04-23,40,False
2017-04-30,47,False
2017-05-07,42,False
2017-05-14,46,False
2017-05-21,57,False
2017-05-28,50,False
2017-06-04,51,False
2017-06-11,33,False
2017-06-18,41,False
2017-06-25,46,False
2017-07-02,40,False
2017-07-09,51,False
2017-07-16,46,False
2017-07-23,49,False
2017-07-30,45,False
2017-08-06,40,False
2017-08-13,43,False
2017-08-20,44,False
2017-08-27,33,False
2017-09-03,39,False
2017-09-10,53,False
2017-09-17,33,False
2017-09-24,48,False
2017-10-01,40,False
2017-10-08,43,False
2017-10-15,42,False
2017-10-22,44,False
2017-10-29,50,False
2017-11-05,51,False
2017-11-12,54,False
2017-11-19,49,False
2017-11-26,46,False
2017-12-03,40,False
2017-12-10,44,False
2017-12-17,35,False
2017-12-24,37,False
2017-12-31,43,False
2018-01-07,46,False
2018-01-14,46,False
2018-01-21,47,False
2018-01-28,40,False
2018-02-04,44,False
2018-02-11,52,False
2018-02-18,49,False
2018-02-25,33,False
2018-03-04,49,False
2018-03-11,43,False
2018-03-18,51,False
2018-03-25,50,False
2018-04-01,50,False
2018-04-08,48,False
2018-04-15,57,False
2018-04-22,49,False
2018-04-29,47,False
2018-05-06,40,False
2018-05-13,49,False
2018-05-20,44,False
2018-05-27,44,False
2018-06-03,39,False
2018-06-10,43,False
2018-06-17,49,False
2018-06-24,42,False
2018-07-01,35,False
2018-07-08,51,False
2018-07-15,46,False
2018-07-22,38,False
2018-07-29,46,False
2018-08-05,46,False
2018-08-12,45,False
2018-08-19,39,False
2018-08-26,49,False
2018-09-02,46,False
2018-09-09,37,False
2018-09-16,50,False
2018-09-23,46,False
2018-09-30,54,False
2018-10-07,44,False
2018-10-14,54,False
2018-10-21,49,False
2018-10-28,48,False
2018-11-04,43,False
2018-11-11,46,False
2018-11-18,35,False
2018-11-25,49,False
2018-12-02,43,False
2018-12-09,39,False
2018-12-16,40,False
2018-12-23,32,False
2018-12-30,30,False
2019-01-06,50,False
2019-01-13,44,False
2019-01-20,36,False
2019-01-27,43,False
2019-02-03,47,False
2019-02-10,44,False
2019-02-17,44,False
2019-02-24,53,False
2019-03-03,51,False
2019-03-10,48,False
2019-03-17,46,False
2019-03-24,53,False
2019-03-31,46,False
2019-04-07,54,False
2019-04-14,40,False
2019-04-21,49,False
2019-04-28,34,False
2019-05-05,49,False
2019-05-12,44,False
2019-05-19,47,False
2019-05-26,42,False
2019-06-02,51,False
2019-06-09,40,False
2019-06-16,40,False
2019-06-23,39,False
2019-06-30,45,False
2019-07-07,39,False
2019-07-14,39,False
2019-07-21,40,False
2019-07-28,41,False
2019-08-04,42,False
2019-08-11,51,False
2019-08-18,46,False
2019-08-25,42,False
2019-09-01,48,False
2019-09-08,53,False
2019-09-15,53,False
2019-09-22,48,False
2019-09-29,51,False
2019-10-06,46,False
2019-10-13,43,False
2019-10-20,48,False
2019-10-27,48,False
2019-11-03,50,False
2019-11-10,45,False
2019-11-17,47,False
2019-11-24,37,False
2019-12-01,46,False
2019-12-08,46,False
2019-12-15,42,False
2019-12-22,37,False
2019-12-29,30,False
2020-01-05,40,False
2020-01-12,49,False
2020-01-19,48,False
2020-01-26,40,False
2020-02-02,52,False
2020-02-09,47,False
2020-02-16,51,False
2020-02-23,44,False
2020-03-01,47,False
2020-03-08,47,False
2020-03-15,34,False
2020-03-22,43,False
2020-03-29,40,False
2020-04-05,37,False
2020-04-12,36,False
2020-04-19,48,False
2020-04-26,38,False
2020-05-03,44,False
2020-05-10,50,False
2020-05-17,46,False
2020-05-24,42,False
2020-05-31,46,False
2020-06-07,49,False
2020-06-14,40,False
2020-06-21,54,False
2020-06-28,47,False
2020-07-05,61,False
2020-07-12,50,False
2020-07-19,43,False
2020-07-26,46,False
2020-08-02,42,False
2020-08-09,50,False
2020-08-16,41,False
2020-08-23,38,False
2020-08-30,46,False
2020-09-06,51,False
2020-09-13,50,False
2020-09-20,58,False
2020-09-27,52,False
2020-10-04,55,False
2020-10-11,42,False
2020-10-18,48,False
2020-10-25,44,False
2020-11-01,46,False
2020-11-08,45,False
2020-11-15,52,False
2020-11-22,43,False
2020-11-29,48,False
2020-12-06,44,False
2020-12-13,52,False
2020-12-20,44,False
2020-12-27,35,False
2021-01-03,42,False
2021-01-10,50,False
2021-01-17,46,False
2021-01-24,48,False
2021-01-31,40,False
2021-02-07,47,False
2021-02-14,45,False
2021-02-21,52,False
2021-02-28,50,False
2021-03-07,44,False
2021-03-14,40,False
2021-03-21,43,False
2021-03-28,36,False
2021-04-04,47,False
2021-04-11,49,False
2021-04-18,48,False
2021-04-25,45,False
2021-05-02,53,False
2021-05-09,52,False
2021-05-16,51,False
2021-05-23,58,False
2021-05-30,50,False
2021-06-06,56,False
2021-06-13,100,False
2021-06-20,53,False
2021-06-27,67,False
2021-07-04,78,False
2021-07-11,59,False
2021-07-18,60,False
2021-07-25,59,False
2021-08-01,51,False
2021-08-08,53,True
