date,RCL,isPartial
2016-08-21,20,False
2016-08-28,21,False
2016-09-04,22,False
2016-09-11,19,False
2016-09-18,23,False
2016-09-25,23,False
2016-10-02,21,False
2016-10-09,20,False
2016-10-16,17,False
2016-10-23,22,False
2016-10-30,21,False
2016-11-06,22,False
2016-11-13,18,False
2016-11-20,20,False
2016-11-27,19,False
2016-12-04,24,False
2016-12-11,16,False
2016-12-18,17,False
2016-12-25,16,False
2017-01-01,22,False
2017-01-08,26,False
2017-01-15,20,False
2017-01-22,27,False
2017-01-29,22,False
2017-02-05,32,False
2017-02-12,23,False
2017-02-19,30,False
2017-02-26,25,False
2017-03-05,21,False
2017-03-12,23,False
2017-03-19,22,False
2017-03-26,19,False
2017-04-02,19,False
2017-04-09,23,False
2017-04-16,19,False
2017-04-23,19,False
2017-04-30,21,False
2017-05-07,20,False
2017-05-14,23,False
2017-05-21,19,False
2017-05-28,21,False
2017-06-04,15,False
2017-06-11,17,False
2017-06-18,23,False
2017-06-25,18,False
2017-07-02,25,False
2017-07-09,18,False
2017-07-16,20,False
2017-07-23,23,False
2017-07-30,22,False
2017-08-06,20,False
2017-08-13,25,False
2017-08-20,19,False
2017-08-27,20,False
2017-09-03,20,False
2017-09-10,23,False
2017-09-17,25,False
2017-09-24,23,False
2017-10-01,21,False
2017-10-08,19,False
2017-10-15,23,False
2017-10-22,18,False
2017-10-29,20,False
2017-11-05,23,False
2017-11-12,25,False
2017-11-19,23,False
2017-11-26,22,False
2017-12-03,22,False
2017-12-10,18,False
2017-12-17,20,False
2017-12-24,18,False
2017-12-31,18,False
2018-01-07,25,False
2018-01-14,22,False
2018-01-21,21,False
2018-01-28,27,False
2018-02-04,23,False
2018-02-11,22,False
2018-02-18,22,False
2018-02-25,26,False
2018-03-04,26,False
2018-03-11,29,False
2018-03-18,23,False
2018-03-25,18,False
2018-04-01,20,False
2018-04-08,24,False
2018-04-15,21,False
2018-04-22,19,False
2018-04-29,17,False
2018-05-06,19,False
2018-05-13,25,False
2018-05-20,21,False
2018-05-27,21,False
2018-06-03,24,False
2018-06-10,22,False
2018-06-17,17,False
2018-06-24,17,False
2018-07-01,23,False
2018-07-08,19,False
2018-07-15,18,False
2018-07-22,20,False
