date,MCD,isPartial
2016-08-21,8,False
2016-08-28,8,False
2016-09-04,8,False
2016-09-11,8,False
2016-09-18,8,False
2016-09-25,9,False
2016-10-02,8,False
2016-10-09,8,False
2016-10-16,9,False
2016-10-23,9,False
2016-10-30,9,False
2016-11-06,9,False
2016-11-13,8,False
2016-11-20,8,False
2016-11-27,8,False
2016-12-04,8,False
2016-12-11,8,False
2016-12-18,8,False
2016-12-25,8,False
2017-01-01,9,False
2017-01-08,8,False
2017-01-15,8,False
2017-01-22,8,False
2017-01-29,7,False
2017-02-05,8,False
2017-02-12,9,False
2017-02-19,10,False
2017-02-26,9,False
2017-03-05,9,False
2017-03-12,11,False
2017-03-19,12,False
2017-03-26,15,False
2017-04-02,19,False
2017-04-09,14,False
2017-04-16,16,False
2017-04-23,100,False
2017-04-30,11,False
2017-05-07,9,False
2017-05-14,10,False
2017-05-21,11,False
2017-05-28,10,False
2017-06-04,10,False
2017-06-11,10,False
2017-06-18,12,False
2017-06-25,14,False
2017-07-02,11,False
2017-07-09,11,False
2017-07-16,10,False
2017-07-23,10,False
2017-07-30,10,False
2017-08-06,10,False
2017-08-13,10,False
2017-08-20,9,False
2017-08-27,10,False
2017-09-03,8,False
2017-09-10,10,False
2017-09-17,9,False
2017-09-24,10,False
2017-10-01,11,False
2017-10-08,10,False
2017-10-15,10,False
2017-10-22,10,False
2017-10-29,10,False
2017-11-05,10,False
2017-11-12,9,False
2017-11-19,9,False
2017-11-26,10,False
2017-12-03,10,False
2017-12-10,10,False
2017-12-17,9,False
2017-12-24,10,False
2017-12-31,10,False
2018-01-07,8,False
2018-01-14,11,False
2018-01-21,9,False
2018-01-28,10,False
2018-02-04,9,False
2018-02-11,10,False
2018-02-18,10,False
2018-02-25,9,False
2018-03-04,10,False
2018-03-11,12,False
2018-03-18,12,False
2018-03-25,12,False
2018-04-01,12,False
2018-04-08,11,False
2018-04-15,10,False
2018-04-22,11,False
2018-04-29,12,False
2018-05-06,12,False
2018-05-13,11,False
2018-05-20,12,False
2018-05-27,11,False
2018-06-03,12,False
2018-06-10,12,False
2018-06-17,12,False
2018-06-24,14,False
2018-07-01,11,False
2018-07-08,10,False
2018-07-15,11,False
2018-07-22,11,False
2018-07-29,11,False
2018-08-05,10,False
2018-08-12,10,False
2018-08-19,10,False
2018-08-26,11,False
2018-09-02,11,False
2018-09-09,11,False
2018-09-16,10,False
2018-09-23,11,False
2018-09-30,12,False
2018-10-07,11,False
2018-10-14,11,False
2018-10-21,11,False
2018-10-28,10,False
2018-11-04,10,False
2018-11-11,11,False
2018-11-18,11,False
2018-11-25,11,False
2018-12-02,11,False
2018-12-09,11,False
2018-12-16,11,False
2018-12-23,11,False
2018-12-30,10,False
2019-01-06,10,False
2019-01-13,9,False
2019-01-20,9,False
2019-01-27,10,False
2019-02-03,10,False
2019-02-10,10,False
2019-02-17,11,False
2019-02-24,10,False
2019-03-03,10,False
2019-03-10,9,False
2019-03-17,10,False
2019-03-24,13,False
2019-03-31,11,False
2019-04-07,11,False
2019-04-14,11,False
2019-04-21,12,False
2019-04-28,12,False
2019-05-05,11,False
2019-05-12,12,False
2019-05-19,11,False
2019-05-26,11,False
2019-06-02,12,False
2019-06-09,13,False
2019-06-16,12,False
2019-06-23,14,False
2019-06-30,11,False
2019-07-07,11,False
2019-07-14,11,False
2019-07-21,12,False
2019-07-28,13,False
2019-08-04,12,False
2019-08-11,11,False
2019-08-18,11,False
2019-08-25,12,False
2019-09-01,12,False
2019-09-08,12,False
2019-09-15,12,False
2019-09-22,13,False
2019-09-29,12,False
2019-10-06,12,False
2019-10-13,11,False
2019-10-20,11,False
2019-10-27,11,False
2019-11-03,13,False
2019-11-10,12,False
2019-11-17,12,False
2019-11-24,13,False
2019-12-01,11,False
2019-12-08,12,False
2019-12-15,10,False
2019-12-22,11,False
2019-12-29,12,False
2020-01-05,11,False
2020-01-12,11,False
2020-01-19,10,False
2020-01-26,11,False
2020-02-02,10,False
2020-02-09,12,False
2020-02-16,12,False
2020-02-23,12,False
2020-03-01,11,False
2020-03-08,12,False
2020-03-15,11,False
2020-03-22,10,False
2020-03-29,9,False
2020-04-05,10,False
2020-04-12,9,False
2020-04-19,10,False
2020-04-26,10,False
2020-05-03,11,False
2020-05-10,14,False
2020-05-17,13,False
2020-05-24,14,False
2020-05-31,12,False
2020-06-07,12,False
2020-06-14,13,False
2020-06-21,13,False
2020-06-28,12,False
2020-07-05,11,False
2020-07-12,12,False
2020-07-19,11,False
2020-07-26,13,False
2020-08-02,12,False
2020-08-09,12,False
2020-08-16,13,False
2020-08-23,11,False
2020-08-30,12,False
2020-09-06,12,False
2020-09-13,12,False
2020-09-20,11,False
2020-09-27,15,False
2020-10-04,14,False
2020-10-11,12,False
2020-10-18,11,False
2020-10-25,13,False
2020-11-01,12,False
2020-11-08,11,False
2020-11-15,11,False
2020-11-22,11,False
2020-11-29,11,False
2020-12-06,12,False
2020-12-13,13,False
2020-12-20,12,False
2020-12-27,13,False
2021-01-03,11,False
2021-01-10,11,False
2021-01-17,10,False
2021-01-24,10,False
2021-01-31,11,False
2021-02-07,11,False
2021-02-14,11,False
2021-02-21,12,False
2021-02-28,15,False
2021-03-07,11,False
2021-03-14,12,False
2021-03-21,12,False
2021-03-28,12,False
2021-04-04,14,False
2021-04-11,12,False
2021-04-18,13,False
2021-04-25,13,False
2021-05-02,13,False
2021-05-09,15,False
2021-05-16,14,False
2021-05-23,18,False
2021-05-30,16,False
2021-06-06,37,False
2021-06-13,16,False
2021-06-20,14,False
2021-06-27,14,False
2021-07-04,13,False
2021-07-11,12,False
2021-07-18,12,False
2021-07-25,12,False
2021-08-01,12,False
2021-08-08,11,True
