date,CTVA,isPartial
2016-08-21,5,False
2016-08-28,13,False
2016-09-04,4,False
2016-09-11,0,False
2016-09-18,9,False
2016-09-25,17,False
2016-10-02,17,False
2016-10-09,4,False
2016-10-16,9,False
2016-10-23,4,False
2016-10-30,9,False
2016-11-06,17,False
2016-11-13,4,False
2016-11-20,0,False
2016-11-27,16,False
2016-12-04,8,False
2016-12-11,8,False
2016-12-18,9,False
2016-12-25,4,False
2017-01-01,4,False
2017-01-08,0,False
2017-01-15,8,False
2017-01-22,4,False
2017-01-29,8,False
2017-02-05,0,False
2017-02-12,4,False
2017-02-19,4,False
2017-02-26,4,False
2017-03-05,8,False
2017-03-12,4,False
2017-03-19,8,False
2017-03-26,0,False
2017-04-02,8,False
2017-04-09,0,False
2017-04-16,4,False
2017-04-23,12,False
2017-04-30,8,False
2017-05-07,4,False
2017-05-14,13,False
2017-05-21,17,False
2017-05-28,4,False
2017-06-04,8,False
2017-06-11,4,False
2017-06-18,0,False
2017-06-25,9,False
2017-07-02,9,False
2017-07-09,4,False
2017-07-16,8,False
2017-07-23,0,False
2017-07-30,12,False
2017-08-06,12,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,4,False
2017-09-03,4,False
2017-09-10,8,False
2017-09-17,8,False
2017-09-24,4,False
2017-10-01,8,False
2017-10-08,4,False
2017-10-15,8,False
2017-10-22,12,False
2017-10-29,0,False
2017-11-05,8,False
2017-11-12,4,False
2017-11-19,12,False
2017-11-26,15,False
2017-12-03,8,False
2017-12-10,4,False
2017-12-17,4,False
2017-12-24,9,False
2017-12-31,8,False
2018-01-07,15,False
2018-01-14,0,False
2018-01-21,4,False
2018-01-28,4,False
2018-02-04,4,False
2018-02-11,4,False
2018-02-18,11,False
2018-02-25,7,False
2018-03-04,4,False
2018-03-11,11,False
2018-03-18,7,False
2018-03-25,11,False
2018-04-01,0,False
2018-04-08,11,False
2018-04-15,4,False
2018-04-22,7,False
2018-04-29,0,False
2018-05-06,8,False
2018-05-13,11,False
2018-05-20,4,False
2018-05-27,8,False
2018-06-03,4,False
2018-06-10,7,False
2018-06-17,4,False
2018-06-24,0,False
2018-07-01,8,False
2018-07-08,4,False
2018-07-15,11,False
2018-07-22,0,False
2018-07-29,4,False
2018-08-05,0,False
2018-08-12,7,False
2018-08-19,0,False
2018-08-26,18,False
2018-09-02,15,False
2018-09-09,4,False
2018-09-16,0,False
2018-09-23,7,False
2018-09-30,11,False
2018-10-07,7,False
2018-10-14,7,False
2018-10-21,11,False
2018-10-28,11,False
2018-11-04,7,False
2018-11-11,11,False
2018-11-18,0,False
