date,ZION,isPartial
2016-08-21,18,False
2016-08-28,18,False
2016-09-04,17,False
2016-09-11,16,False
2016-09-18,16,False
2016-09-25,17,False
2016-10-02,16,False
2016-10-09,17,False
2016-10-16,17,False
2016-10-23,15,False
2016-10-30,15,False
2016-11-06,14,False
2016-11-13,16,False
2016-11-20,14,False
2016-11-27,14,False
2016-12-04,14,False
2016-12-11,16,False
2016-12-18,17,False
2016-12-25,16,False
2017-01-01,17,False
2017-01-08,17,False
2017-01-15,16,False
2017-01-22,16,False
2017-01-29,18,False
2017-02-05,17,False
2017-02-12,19,False
2017-02-19,21,False
2017-02-26,19,False
2017-03-05,19,False
2017-03-12,19,False
2017-03-19,18,False
2017-03-26,19,False
2017-04-02,20,False
2017-04-09,18,False
2017-04-16,17,False
2017-04-23,17,False
2017-04-30,18,False
2017-05-07,17,False
2017-05-14,16,False
2017-05-21,16,False
2017-05-28,18,False
2017-06-04,18,False
2017-06-11,17,False
2017-06-18,17,False
2017-06-25,17,False
2017-07-02,17,False
2017-07-09,18,False
2017-07-16,19,False
2017-07-23,25,False
2017-07-30,18,False
2017-08-06,16,False
2017-08-13,17,False
2017-08-20,15,False
2017-08-27,15,False
2017-09-03,15,False
2017-09-10,16,False
2017-09-17,15,False
2017-09-24,15,False
2017-10-01,15,False
2017-10-08,14,False
2017-10-15,15,False
2017-10-22,15,False
2017-10-29,15,False
2017-11-05,14,False
2017-11-12,15,False
2017-11-19,15,False
2017-11-26,13,False
2017-12-03,14,False
2017-12-10,14,False
2017-12-17,14,False
2017-12-24,15,False
2017-12-31,15,False
2018-01-07,14,False
2018-01-14,21,False
2018-01-21,28,False
2018-01-28,15,False
2018-02-04,14,False
2018-02-11,14,False
2018-02-18,17,False
2018-02-25,19,False
2018-03-04,16,False
2018-03-11,16,False
2018-03-18,16,False
2018-03-25,22,False
2018-04-01,17,False
2018-04-08,16,False
2018-04-15,16,False
2018-04-22,15,False
2018-04-29,15,False
2018-05-06,16,False
2018-05-13,20,False
2018-05-20,17,False
2018-05-27,16,False
2018-06-03,15,False
2018-06-10,15,False
2018-06-17,16,False
2018-06-24,16,False
2018-07-01,16,False
2018-07-08,16,False
2018-07-15,16,False
2018-07-22,18,False
2018-07-29,19,False
2018-08-05,18,False
2018-08-12,25,False
2018-08-19,21,False
2018-08-26,17,False
2018-09-02,17,False
2018-09-09,15,False
2018-09-16,16,False
2018-09-23,14,False
2018-09-30,16,False
2018-10-07,15,False
2018-10-14,17,False
2018-10-21,15,False
2018-10-28,16,False
2018-11-04,29,False
2018-11-11,26,False
2018-11-18,23,False
2018-11-25,17,False
2018-12-02,15,False
2018-12-09,15,False
2018-12-16,19,False
2018-12-23,19,False
2018-12-30,17,False
2019-01-06,22,False
2019-01-13,20,False
2019-01-20,19,False
2019-01-27,19,False
2019-02-03,19,False
2019-02-10,25,False
2019-02-17,100,False
2019-02-24,31,False
2019-03-03,27,False
2019-03-10,39,False
2019-03-17,44,False
2019-03-24,40,False
2019-03-31,43,False
2019-04-07,31,False
2019-04-14,23,False
2019-04-21,19,False
2019-04-28,18,False
2019-05-05,18,False
2019-05-12,49,False
2019-05-19,21,False
2019-05-26,19,False
2019-06-02,18,False
2019-06-09,18,False
2019-06-16,53,False
2019-06-23,26,False
2019-06-30,32,False
2019-07-07,25,False
2019-07-14,21,False
2019-07-21,23,False
2019-07-28,20,False
2019-08-04,18,False
2019-08-11,16,False
2019-08-18,16,False
2019-08-25,18,False
2019-09-01,17,False
2019-09-08,17,False
2019-09-15,16,False
2019-09-22,17,False
2019-09-29,19,False
2019-10-06,27,False
2019-10-13,26,False
2019-10-20,28,False
2019-10-27,18,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,22,False
2019-11-24,20,False
2019-12-01,21,False
2019-12-08,20,False
2019-12-15,22,False
2019-12-22,24,False
2019-12-29,21,False
2020-01-05,21,False
2020-01-12,24,False
2020-01-19,61,False
2020-01-26,29,False
2020-02-02,26,False
2020-02-09,32,False
2020-02-16,24,False
2020-02-23,32,False
2020-03-01,38,False
2020-03-08,24,False
2020-03-15,18,False
2020-03-22,16,False
2020-03-29,14,False
2020-04-05,14,False
2020-04-12,13,False
2020-04-19,13,False
2020-04-26,14,False
2020-05-03,14,False
2020-05-10,18,False
2020-05-17,18,False
2020-05-24,26,False
2020-05-31,20,False
2020-06-07,20,False
2020-06-14,19,False
2020-06-21,18,False
2020-06-28,22,False
2020-07-05,21,False
2020-07-12,20,False
2020-07-19,21,False
2020-07-26,25,False
2020-08-02,24,False
2020-08-09,20,False
2020-08-16,19,False
2020-08-23,17,False
2020-08-30,17,False
2020-09-06,17,False
2020-09-13,17,False
2020-09-20,16,False
2020-09-27,16,False
2020-10-04,15,False
2020-10-11,17,False
2020-10-18,20,False
2020-10-25,15,False
2020-11-01,13,False
2020-11-08,14,False
2020-11-15,14,False
2020-11-22,14,False
2020-11-29,13,False
2020-12-06,14,False
2020-12-13,14,False
2020-12-20,19,False
2020-12-27,18,False
2021-01-03,17,False
2021-01-10,16,False
2021-01-17,17,False
2021-01-24,15,False
2021-01-31,17,False
2021-02-07,16,False
2021-02-14,18,False
2021-02-21,20,False
2021-02-28,20,False
2021-03-07,20,False
2021-03-14,18,False
2021-03-21,19,False
2021-03-28,21,False
2021-04-04,21,False
2021-04-11,18,False
2021-04-18,23,False
2021-04-25,20,False
2021-05-02,19,False
2021-05-09,19,False
2021-05-16,18,False
2021-05-23,18,False
2021-05-30,17,False
2021-06-06,18,False
2021-06-13,22,False
2021-06-20,17,False
2021-06-27,21,False
2021-07-04,17,False
2021-07-11,16,False
2021-07-18,17,False
2021-07-25,16,False
2021-08-01,17,False
2021-08-08,16,True
