date,MSFT,isPartial
2016-08-21,8,False
2016-08-28,7,False
2016-09-04,7,False
2016-09-11,7,False
2016-09-18,10,False
2016-09-25,10,False
2016-10-02,7,False
2016-10-09,6,False
2016-10-16,21,False
2016-10-23,17,False
2016-10-30,10,False
2016-11-06,14,False
2016-11-13,12,False
2016-11-20,8,False
2016-11-27,10,False
2016-12-04,12,False
2016-12-11,12,False
2016-12-18,9,False
2016-12-25,7,False
2017-01-01,8,False
2017-01-08,9,False
2017-01-15,8,False
2017-01-22,21,False
2017-01-29,14,False
2017-02-05,10,False
2017-02-12,12,False
2017-02-19,10,False
2017-02-26,12,False
2017-03-05,9,False
2017-03-12,9,False
2017-03-19,10,False
2017-03-26,9,False
2017-04-02,9,False
2017-04-09,9,False
2017-04-16,10,False
2017-04-23,21,False
2017-04-30,14,False
2017-05-07,13,False
2017-05-14,11,False
2017-05-21,11,False
2017-05-28,13,False
2017-06-04,13,False
2017-06-11,14,False
2017-06-18,12,False
2017-06-25,12,False
2017-07-02,14,False
2017-07-09,14,False
2017-07-16,33,False
2017-07-23,17,False
2017-07-30,15,False
2017-08-06,11,False
2017-08-13,11,False
2017-08-20,9,False
2017-08-27,11,False
2017-09-03,11,False
2017-09-10,11,False
2017-09-17,13,False
2017-09-24,12,False
2017-10-01,14,False
2017-10-08,11,False
2017-10-15,13,False
2017-10-22,30,False
2017-10-29,19,False
2017-11-05,14,False
2017-11-12,13,False
2017-11-19,10,False
2017-11-26,16,False
2017-12-03,19,False
2017-12-10,14,False
2017-12-17,16,False
2017-12-24,12,False
2017-12-31,16,False
2018-01-07,16,False
2018-01-14,18,False
2018-01-21,23,False
2018-01-28,39,False
2018-02-04,33,False
2018-02-11,21,False
2018-02-18,20,False
2018-02-25,21,False
2018-03-04,19,False
2018-03-11,19,False
2018-03-18,20,False
2018-03-25,27,False
2018-04-01,25,False
2018-04-08,21,False
2018-04-15,24,False
2018-04-22,32,False
2018-04-29,22,False
2018-05-06,21,False
2018-05-13,20,False
2018-05-20,19,False
2018-05-27,23,False
