date,MCHP,isPartial
2016-08-21,14,False
2016-08-28,21,False
2016-09-04,10,False
2016-09-11,17,False
2016-09-18,10,False
2016-09-25,20,False
2016-10-02,3,False
2016-10-09,23,False
2016-10-16,7,False
2016-10-23,17,False
2016-10-30,3,False
2016-11-06,35,False
2016-11-13,23,False
2016-11-20,19,False
2016-11-27,31,False
2016-12-04,12,False
2016-12-11,3,False
2016-12-18,13,False
2016-12-25,7,False
2017-01-01,19,False
2017-01-08,19,False
2017-01-15,18,False
2017-01-22,15,False
2017-01-29,24,False
2017-02-05,54,False
2017-02-12,51,False
2017-02-19,43,False
2017-02-26,38,False
2017-03-05,23,False
2017-03-12,18,False
2017-03-19,21,False
2017-03-26,9,False
2017-04-02,18,False
2017-04-09,16,False
2017-04-16,30,False
2017-04-23,18,False
2017-04-30,15,False
2017-05-07,46,False
2017-05-14,38,False
2017-05-21,33,False
2017-05-28,32,False
2017-06-04,44,False
2017-06-11,23,False
2017-06-18,13,False
2017-06-25,30,False
2017-07-02,20,False
2017-07-09,29,False
2017-07-16,37,False
2017-07-23,16,False
2017-07-30,25,False
2017-08-06,34,False
2017-08-13,41,False
2017-08-20,25,False
2017-08-27,25,False
2017-09-03,22,False
2017-09-10,27,False
2017-09-17,18,False
2017-09-24,18,False
2017-10-01,27,False
2017-10-08,9,False
2017-10-15,30,False
2017-10-22,42,False
2017-10-29,30,False
2017-11-05,73,False
2017-11-12,29,False
2017-11-19,21,False
2017-11-26,20,False
2017-12-03,24,False
2017-12-10,24,False
2017-12-17,15,False
2017-12-24,20,False
2017-12-31,16,False
2018-01-07,35,False
2018-01-14,43,False
2018-01-21,43,False
2018-01-28,26,False
2018-02-04,63,False
2018-02-11,65,False
2018-02-18,31,False
2018-02-25,56,False
2018-03-04,65,False
2018-03-11,36,False
2018-03-18,48,False
2018-03-25,38,False
2018-04-01,43,False
2018-04-08,23,False
2018-04-15,29,False
2018-04-22,23,False
2018-04-29,26,False
2018-05-06,46,False
2018-05-13,29,False
