date,ROK,isPartial
2016-08-21,25,False
2016-08-28,26,False
2016-09-04,24,False
2016-09-11,26,False
2016-09-18,24,False
2016-09-25,24,False
2016-10-02,25,False
2016-10-09,24,False
2016-10-16,24,False
2016-10-23,25,False
2016-10-30,25,False
2016-11-06,25,False
2016-11-13,25,False
2016-11-20,26,False
2016-11-27,26,False
2016-12-04,25,False
2016-12-11,28,False
2016-12-18,28,False
2016-12-25,59,False
2017-01-01,43,False
2017-01-08,30,False
2017-01-15,27,False
2017-01-22,31,False
2017-01-29,27,False
2017-02-05,26,False
2017-02-12,26,False
2017-02-19,28,False
2017-02-26,25,False
2017-03-05,25,False
2017-03-12,24,False
2017-03-19,26,False
2017-03-26,24,False
2017-04-02,23,False
2017-04-09,24,False
2017-04-16,26,False
2017-04-23,26,False
2017-04-30,23,False
2017-05-07,23,False
2017-05-14,23,False
2017-05-21,23,False
2017-05-28,24,False
2017-06-04,23,False
2017-06-11,22,False
2017-06-18,21,False
2017-06-25,21,False
2017-07-02,23,False
2017-07-09,22,False
2017-07-16,21,False
2017-07-23,22,False
2017-07-30,20,False
2017-08-06,21,False
2017-08-13,21,False
2017-08-20,23,False
2017-08-27,22,False
2017-09-03,24,False
2017-09-10,23,False
2017-09-17,24,False
2017-09-24,21,False
2017-10-01,23,False
2017-10-08,24,False
2017-10-15,23,False
2017-10-22,23,False
2017-10-29,23,False
2017-11-05,24,False
2017-11-12,25,False
2017-11-19,26,False
2017-11-26,24,False
2017-12-03,26,False
2017-12-10,24,False
2017-12-17,27,False
2017-12-24,39,False
2017-12-31,65,False
2018-01-07,29,False
2018-01-14,28,False
2018-01-21,25,False
2018-01-28,25,False
2018-02-04,25,False
2018-02-11,25,False
2018-02-18,24,False
2018-02-25,24,False
2018-03-04,24,False
2018-03-11,24,False
2018-03-18,24,False
2018-03-25,24,False
2018-04-01,22,False
2018-04-08,23,False
2018-04-15,23,False
2018-04-22,23,False
2018-04-29,20,False
2018-05-06,22,False
2018-05-13,21,False
2018-05-20,22,False
2018-05-27,22,False
2018-06-03,21,False
2018-06-10,20,False
2018-06-17,20,False
2018-06-24,21,False
2018-07-01,21,False
2018-07-08,22,False
2018-07-15,21,False
2018-07-22,23,False
2018-07-29,23,False
2018-08-05,22,False
2018-08-12,23,False
2018-08-19,24,False
2018-08-26,22,False
2018-09-02,23,False
2018-09-09,22,False
2018-09-16,22,False
2018-09-23,21,False
2018-09-30,21,False
2018-10-07,22,False
2018-10-14,22,False
2018-10-21,24,False
2018-10-28,22,False
2018-11-04,23,False
2018-11-11,22,False
2018-11-18,23,False
2018-11-25,23,False
2018-12-02,24,False
2018-12-09,24,False
2018-12-16,24,False
2018-12-23,29,False
2018-12-30,73,False
2019-01-06,29,False
2019-01-13,26,False
2019-01-20,25,False
2019-01-27,26,False
2019-02-03,27,False
2019-02-10,25,False
2019-02-17,26,False
2019-02-24,25,False
2019-03-03,24,False
2019-03-10,24,False
2019-03-17,24,False
2019-03-24,24,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,23,False
2019-04-21,24,False
2019-04-28,23,False
2019-05-05,24,False
2019-05-12,24,False
2019-05-19,24,False
2019-05-26,25,False
2019-06-02,21,False
2019-06-09,21,False
2019-06-16,23,False
2019-06-23,22,False
2019-06-30,24,False
2019-07-07,22,False
2019-07-14,24,False
2019-07-21,22,False
2019-07-28,23,False
2019-08-04,23,False
2019-08-11,24,False
2019-08-18,23,False
2019-08-25,25,False
2019-09-01,26,False
2019-09-08,25,False
2019-09-15,24,False
2019-09-22,25,False
2019-09-29,26,False
2019-10-06,24,False
2019-10-13,23,False
2019-10-20,23,False
2019-10-27,24,False
2019-11-03,27,False
2019-11-10,26,False
2019-11-17,27,False
2019-11-24,25,False
2019-12-01,27,False
2019-12-08,29,False
2019-12-15,27,False
2019-12-22,32,False
2019-12-29,100,False
2020-01-05,33,False
2020-01-12,31,False
2020-01-19,33,False
2020-01-26,32,False
2020-02-02,31,False
2020-02-09,29,False
2020-02-16,28,False
2020-02-23,47,False
2020-03-01,28,False
2020-03-08,26,False
2020-03-15,24,False
2020-03-22,23,False
2020-03-29,24,False
2020-04-05,22,False
2020-04-12,23,False
2020-04-19,24,False
2020-04-26,26,False
2020-05-03,26,False
2020-05-10,27,False
2020-05-17,27,False
2020-05-24,27,False
2020-05-31,27,False
2020-06-07,26,False
2020-06-14,25,False
2020-06-21,26,False
2020-06-28,25,False
2020-07-05,26,False
2020-07-12,25,False
2020-07-19,25,False
2020-07-26,25,False
2020-08-02,25,False
2020-08-09,24,False
2020-08-16,25,False
2020-08-23,27,False
2020-08-30,27,False
2020-09-06,26,False
2020-09-13,27,False
2020-09-20,26,False
2020-09-27,24,False
2020-10-04,25,False
2020-10-11,26,False
2020-10-18,24,False
2020-10-25,25,False
2020-11-01,27,False
2020-11-08,28,False
2020-11-15,29,False
2020-11-22,31,False
2020-11-29,29,False
2020-12-06,33,False
2020-12-13,31,False
2020-12-20,33,False
2020-12-27,91,False
2021-01-03,34,False
2021-01-10,30,False
2021-01-17,30,False
2021-01-24,31,False
2021-01-31,33,False
2021-02-07,32,False
2021-02-14,30,False
2021-02-21,29,False
2021-02-28,31,False
2021-03-07,29,False
2021-03-14,30,False
2021-03-21,29,False
2021-03-28,27,False
