date,CCL,isPartial
2016-08-21,17,False
2016-08-28,15,False
2016-09-04,15,False
2016-09-11,15,False
2016-09-18,16,False
2016-09-25,18,False
2016-10-02,15,False
2016-10-09,15,False
2016-10-16,17,False
2016-10-23,15,False
2016-10-30,14,False
2016-11-06,14,False
2016-11-13,14,False
2016-11-20,16,False
2016-11-27,13,False
2016-12-04,17,False
2016-12-11,15,False
2016-12-18,15,False
2016-12-25,13,False
2017-01-01,17,False
2017-01-08,17,False
2017-01-15,14,False
2017-01-22,18,False
2017-01-29,18,False
2017-02-05,18,False
2017-02-12,15,False
2017-02-19,16,False
2017-02-26,16,False
2017-03-05,17,False
2017-03-12,18,False
2017-03-19,15,False
2017-03-26,17,False
2017-04-02,16,False
2017-04-09,14,False
2017-04-16,13,False
2017-04-23,15,False
2017-04-30,16,False
2017-05-07,18,False
2017-05-14,15,False
2017-05-21,16,False
2017-05-28,15,False
2017-06-04,18,False
2017-06-11,17,False
2017-06-18,14,False
2017-06-25,14,False
2017-07-02,13,False
2017-07-09,14,False
2017-07-16,15,False
2017-07-23,14,False
2017-07-30,14,False
2017-08-06,14,False
2017-08-13,14,False
2017-08-20,12,False
2017-08-27,14,False
2017-09-03,15,False
2017-09-10,17,False
2017-09-17,17,False
2017-09-24,16,False
2017-10-01,16,False
2017-10-08,15,False
2017-10-15,14,False
2017-10-22,14,False
2017-10-29,15,False
2017-11-05,16,False
2017-11-12,15,False
2017-11-19,15,False
2017-11-26,16,False
2017-12-03,14,False
2017-12-10,20,False
2017-12-17,18,False
2017-12-24,64,False
2017-12-31,16,False
2018-01-07,17,False
2018-01-14,16,False
2018-01-21,15,False
2018-01-28,18,False
2018-02-04,17,False
2018-02-11,17,False
2018-02-18,17,False
2018-02-25,16,False
2018-03-04,16,False
2018-03-11,16,False
2018-03-18,15,False
2018-03-25,15,False
2018-04-01,18,False
2018-04-08,17,False
2018-04-15,16,False
2018-04-22,17,False
2018-04-29,15,False
2018-05-06,14,False
2018-05-13,15,False
2018-05-20,17,False
2018-05-27,16,False
2018-06-03,15,False
2018-06-10,15,False
2018-06-17,14,False
2018-06-24,16,False
2018-07-01,13,False
2018-07-08,15,False
2018-07-15,17,False
2018-07-22,15,False
2018-07-29,15,False
2018-08-05,15,False
2018-08-12,17,False
2018-08-19,18,False
2018-08-26,18,False
2018-09-02,17,False
2018-09-09,15,False
2018-09-16,16,False
2018-09-23,17,False
2018-09-30,15,False
2018-10-07,14,False
2018-10-14,17,False
2018-10-21,17,False
2018-10-28,19,False
2018-11-04,18,False
2018-11-11,18,False
2018-11-18,15,False
2018-11-25,15,False
2018-12-02,17,False
2018-12-09,14,False
2018-12-16,14,False
2018-12-23,14,False
2018-12-30,16,False
2019-01-06,16,False
2019-01-13,18,False
2019-01-20,16,False
2019-01-27,17,False
2019-02-03,16,False
2019-02-10,16,False
2019-02-17,27,False
2019-02-24,40,False
2019-03-03,26,False
2019-03-10,21,False
2019-03-17,19,False
2019-03-24,18,False
2019-03-31,19,False
2019-04-07,17,False
2019-04-14,17,False
2019-04-21,18,False
2019-04-28,14,False
2019-05-05,17,False
2019-05-12,17,False
2019-05-19,16,False
2019-05-26,15,False
2019-06-02,15,False
2019-06-09,18,False
2019-06-16,18,False
2019-06-23,18,False
2019-06-30,18,False
2019-07-07,16,False
2019-07-14,17,False
2019-07-21,16,False
2019-07-28,15,False
2019-08-04,16,False
2019-08-11,16,False
2019-08-18,18,False
2019-08-25,14,False
2019-09-01,18,False
2019-09-08,19,False
2019-09-15,20,False
2019-09-22,22,False
2019-09-29,21,False
2019-10-06,21,False
2019-10-13,20,False
2019-10-20,19,False
2019-10-27,18,False
2019-11-03,19,False
2019-11-10,19,False
2019-11-17,16,False
