date,MRNA,isPartial
2019-01-06,9,False
2019-01-13,10,False
2019-01-20,8,False
2019-01-27,9,False
2019-02-03,9,False
2019-02-10,12,False
2019-02-17,10,False
2019-02-24,11,False
2019-03-03,10,False
2019-03-10,9,False
2019-03-17,8,False
2019-03-24,9,False
2019-03-31,9,False
2019-04-07,10,False
2019-04-14,7,False
2019-04-21,7,False
2019-04-28,9,False
2019-05-05,8,False
2019-05-12,8,False
2019-05-19,7,False
2019-05-26,6,False
2019-06-02,5,False
2019-06-09,5,False
2019-06-16,5,False
2019-06-23,5,False
2019-06-30,3,False
2019-07-07,3,False
2019-07-14,3,False
2019-07-21,4,False
2019-07-28,3,False
2019-08-04,3,False
2019-08-11,4,False
2019-08-18,4,False
2019-08-25,4,False
2019-09-01,4,False
2019-09-08,6,False
2019-09-15,7,False
2019-09-22,8,False
2019-09-29,6,False
2019-10-06,8,False
2019-10-13,7,False
2019-10-20,8,False
2019-10-27,9,False
2019-11-03,10,False
2019-11-10,9,False
2019-11-17,11,False
2019-11-24,7,False
2019-12-01,11,False
2019-12-08,10,False
2019-12-15,7,False
2019-12-22,3,False
2019-12-29,3,False
2020-01-05,7,False
2020-01-12,10,False
2020-01-19,9,False
2020-01-26,12,False
2020-02-02,11,False
2020-02-09,13,False
2020-02-16,9,False
2020-02-23,26,False
2020-03-01,18,False
2020-03-08,16,False
2020-03-15,24,False
2020-03-22,17,False
2020-03-29,18,False
2020-04-05,15,False
2020-04-12,20,False
2020-04-19,23,False
2020-04-26,22,False
2020-05-03,23,False
2020-05-10,22,False
2020-05-17,44,False
2020-05-24,25,False
2020-05-31,21,False
2020-06-07,18,False
2020-06-14,17,False
2020-06-21,15,False
2020-06-28,14,False
2020-07-05,15,False
2020-07-12,39,False
2020-07-19,30,False
2020-07-26,28,False
2020-08-02,20,False
2020-08-09,24,False
2020-08-16,17,False
2020-08-23,18,False
2020-08-30,17,False
2020-09-06,17,False
2020-09-13,19,False
2020-09-20,17,False
2020-09-27,18,False
2020-10-04,16,False
2020-10-11,16,False
2020-10-18,18,False
2020-10-25,17,False
2020-11-01,16,False
2020-11-08,40,False
2020-11-15,54,False
2020-11-22,40,False
2020-11-29,75,False
2020-12-06,73,False
2020-12-13,89,False
2020-12-20,61,False
2020-12-27,55,False
2021-01-03,59,False
2021-01-10,57,False
2021-01-17,49,False
2021-01-24,56,False
2021-01-31,55,False
2021-02-07,47,False
2021-02-14,41,False
2021-02-21,48,False
2021-02-28,56,False
2021-03-07,53,False
2021-03-14,58,False
2021-03-21,48,False
2021-03-28,56,False
2021-04-04,61,False
2021-04-11,72,False
2021-04-18,70,False
2021-04-25,67,False
2021-05-02,76,False
2021-05-09,69,False
2021-05-16,65,False
2021-05-23,63,False
2021-05-30,59,False
2021-06-06,64,False
2021-06-13,67,False
2021-06-20,76,False
2021-06-27,72,False
2021-07-04,68,False
2021-07-11,71,False
2021-07-18,74,False
2021-07-25,71,False
2021-08-01,80,False
2021-08-08,100,True
