date,VRSN,isPartial
2016-08-21,74,False
2016-08-28,85,False
2016-09-04,57,False
2016-09-11,99,False
2016-09-18,55,False
2016-09-25,27,False
2016-10-02,27,False
2016-10-09,27,False
2016-10-16,82,False
2016-10-23,96,False
2016-10-30,14,False
2016-11-06,66,False
2016-11-13,54,False
2016-11-20,27,False
2016-11-27,26,False
2016-12-04,25,False
2016-12-11,13,False
2016-12-18,28,False
2016-12-25,70,False
2017-01-01,13,False
2017-01-08,26,False
2017-01-15,50,False
2017-01-22,13,False
2017-01-29,62,False
2017-02-05,50,False
2017-02-12,0,False
2017-02-19,0,False
2017-02-26,24,False
2017-03-05,24,False
2017-03-12,24,False
2017-03-19,50,False
2017-03-26,37,False
2017-04-02,25,False
2017-04-09,26,False
2017-04-16,12,False
2017-04-23,75,False
2017-04-30,25,False
2017-05-07,25,False
2017-05-14,26,False
2017-05-21,54,False
2017-05-28,27,False
2017-06-04,52,False
2017-06-11,54,False
2017-06-18,13,False
2017-06-25,55,False
2017-07-02,55,False
2017-07-09,0,False
2017-07-16,41,False
2017-07-23,54,False
2017-07-30,52,False
2017-08-06,51,False
2017-08-13,52,False
2017-08-20,13,False
2017-08-27,0,False
2017-09-03,52,False
2017-09-10,13,False
2017-09-17,63,False
2017-09-24,88,False
2017-10-01,25,False
2017-10-08,50,False
2017-10-15,25,False
2017-10-22,49,False
2017-10-29,88,False
2017-11-05,48,False
2017-11-12,36,False
2017-11-19,12,False
2017-11-26,24,False
2017-12-03,12,False
2017-12-10,37,False
2017-12-17,26,False
2017-12-24,55,False
2017-12-31,64,False
2018-01-07,24,False
2018-01-14,47,False
2018-01-21,47,False
2018-01-28,71,False
2018-02-04,71,False
2018-02-11,59,False
2018-02-18,59,False
2018-02-25,57,False
2018-03-04,35,False
2018-03-11,58,False
2018-03-18,35,False
2018-03-25,12,False
2018-04-01,36,False
2018-04-08,12,False
2018-04-15,59,False
2018-04-22,72,False
2018-04-29,71,False
2018-05-06,24,False
2018-05-13,12,False
2018-05-20,12,False
2018-05-27,0,False
2018-06-03,12,False
2018-06-10,46,False
2018-06-17,83,False
2018-06-24,35,False
2018-07-01,47,False
2018-07-08,23,False
2018-07-15,24,False
2018-07-22,48,False
2018-07-29,47,False
2018-08-05,23,False
2018-08-12,36,False
2018-08-19,48,False
2018-08-26,24,False
2018-09-02,47,False
2018-09-09,35,False
2018-09-16,23,False
2018-09-23,23,False
2018-09-30,69,False
2018-10-07,70,False
2018-10-14,59,False
2018-10-21,35,False
2018-10-28,82,False
2018-11-04,34,False
2018-11-11,46,False
2018-11-18,12,False
2018-11-25,11,False
2018-12-02,46,False
2018-12-09,23,False
2018-12-16,36,False
2018-12-23,78,False
2018-12-30,13,False
2019-01-06,46,False
2019-01-13,46,False
2019-01-20,23,False
2019-01-27,23,False
2019-02-03,34,False
2019-02-10,34,False
2019-02-17,45,False
2019-02-24,34,False
2019-03-03,46,False
2019-03-10,34,False
2019-03-17,58,False
2019-03-24,23,False
2019-03-31,69,False
2019-04-07,11,False
2019-04-14,12,False
2019-04-21,82,False
2019-04-28,23,False
2019-05-05,0,False
2019-05-12,23,False
2019-05-19,34,False
2019-05-26,23,False
2019-06-02,23,False
2019-06-09,22,False
2019-06-16,69,False
2019-06-23,23,False
2019-06-30,46,False
2019-07-07,56,False
2019-07-14,12,False
2019-07-21,36,False
2019-07-28,23,False
2019-08-04,70,False
2019-08-11,23,False
2019-08-18,23,False
2019-08-25,45,False
2019-09-01,44,False
2019-09-08,54,False
2019-09-15,22,False
2019-09-22,54,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,11,False
2019-10-20,73,False
2019-10-27,43,False
2019-11-03,42,False
2019-11-10,21,False
2019-11-17,21,False
2019-11-24,10,False
2019-12-01,53,False
