date,OGN,isPartial
2016-08-21,32,False
2016-08-28,25,False
2016-09-04,16,False
2016-09-11,19,False
2016-09-18,23,False
2016-09-25,27,False
2016-10-02,58,False
2016-10-09,42,False
2016-10-16,38,False
2016-10-23,38,False
2016-10-30,30,False
2016-11-06,22,False
2016-11-13,39,False
2016-11-20,44,False
2016-11-27,28,False
2016-12-04,35,False
2016-12-11,39,False
2016-12-18,35,False
2016-12-25,26,False
2017-01-01,22,False
2017-01-08,16,False
2017-01-15,62,False
2017-01-22,44,False
2017-01-29,34,False
2017-02-05,33,False
2017-02-12,42,False
2017-02-19,47,False
2017-02-26,52,False
2017-03-05,37,False
2017-03-12,40,False
2017-03-19,45,False
2017-03-26,46,False
2017-04-02,37,False
2017-04-09,43,False
2017-04-16,53,False
2017-04-23,44,False
2017-04-30,22,False
2017-05-07,45,False
2017-05-14,39,False
2017-05-21,31,False
2017-05-28,47,False
2017-06-04,27,False
2017-06-11,47,False
2017-06-18,41,False
2017-06-25,44,False
2017-07-02,31,False
2017-07-09,24,False
2017-07-16,37,False
2017-07-23,44,False
2017-07-30,35,False
2017-08-06,22,False
2017-08-13,28,False
2017-08-20,24,False
2017-08-27,30,False
2017-09-03,23,False
2017-09-10,30,False
2017-09-17,12,False
2017-09-24,25,False
2017-10-01,29,False
2017-10-08,33,False
2017-10-15,44,False
2017-10-22,29,False
2017-10-29,35,False
2017-11-05,27,False
2017-11-12,15,False
2017-11-19,16,False
2017-11-26,29,False
2017-12-03,19,False
2017-12-10,21,False
2017-12-17,22,False
2017-12-24,18,False
2017-12-31,24,False
2018-01-07,20,False
2018-01-14,34,False
2018-01-21,28,False
2018-01-28,35,False
2018-02-04,27,False
2018-02-11,22,False
2018-02-18,19,False
2018-02-25,27,False
2018-03-04,44,False
2018-03-11,25,False
2018-03-18,40,False
2018-03-25,30,False
2018-04-01,31,False
2018-04-08,24,False
2018-04-15,26,False
2018-04-22,16,False
2018-04-29,26,False
2018-05-06,23,False
2018-05-13,12,False
2018-05-20,20,False
2018-05-27,9,False
2018-06-03,15,False
2018-06-10,20,False
2018-06-17,22,False
2018-06-24,21,False
2018-07-01,24,False
2018-07-08,19,False
2018-07-15,26,False
2018-07-22,11,False
2018-07-29,30,False
2018-08-05,16,False
2018-08-12,20,False
2018-08-19,27,False
2018-08-26,22,False
2018-09-02,31,False
2018-09-09,32,False
2018-09-16,14,False
2018-09-23,18,False
2018-09-30,18,False
2018-10-07,18,False
2018-10-14,17,False
2018-10-21,7,False
2018-10-28,14,False
2018-11-04,29,False
2018-11-11,25,False
2018-11-18,19,False
2018-11-25,15,False
2018-12-02,24,False
2018-12-09,12,False
2018-12-16,20,False
2018-12-23,9,False
2018-12-30,21,False
2019-01-06,7,False
2019-01-13,19,False
2019-01-20,19,False
2019-01-27,20,False
2019-02-03,19,False
2019-02-10,41,False
2019-02-17,40,False
2019-02-24,31,False
2019-03-03,24,False
2019-03-10,27,False
2019-03-17,38,False
2019-03-24,24,False
2019-03-31,28,False
2019-04-07,21,False
2019-04-14,17,False
2019-04-21,17,False
2019-04-28,25,False
2019-05-05,17,False
2019-05-12,18,False
2019-05-19,28,False
2019-05-26,28,False
2019-06-02,19,False
2019-06-09,29,False
2019-06-16,18,False
2019-06-23,15,False
2019-06-30,21,False
2019-07-07,22,False
2019-07-14,17,False
2019-07-21,18,False
2019-07-28,14,False
2019-08-04,13,False
2019-08-11,15,False
2019-08-18,19,False
2019-08-25,11,False
2019-09-01,19,False
2019-09-08,12,False
2019-09-15,24,False
2019-09-22,10,False
2019-09-29,16,False
2019-10-06,17,False
2019-10-13,11,False
2019-10-20,13,False
2019-10-27,12,False
2019-11-03,20,False
2019-11-10,22,False
2019-11-17,13,False
2019-11-24,16,False
2019-12-01,18,False
2019-12-08,18,False
2019-12-15,15,False
2019-12-22,24,False
2019-12-29,13,False
2020-01-05,39,False
2020-01-12,20,False
2020-01-19,13,False
2020-01-26,21,False
2020-02-02,29,False
2020-02-09,37,False
2020-02-16,23,False
2020-02-23,17,False
2020-03-01,25,False
2020-03-08,33,False
2020-03-15,21,False
2020-03-22,17,False
2020-03-29,15,False
2020-04-05,15,False
2020-04-12,29,False
2020-04-19,17,False
2020-04-26,27,False
2020-05-03,23,False
2020-05-10,18,False
2020-05-17,29,False
2020-05-24,18,False
2020-05-31,24,False
2020-06-07,18,False
2020-06-14,28,False
2020-06-21,21,False
2020-06-28,23,False
2020-07-05,23,False
2020-07-12,22,False
2020-07-19,24,False
2020-07-26,20,False
2020-08-02,18,False
2020-08-09,18,False
2020-08-16,36,False
2020-08-23,14,False
2020-08-30,13,False
2020-09-06,17,False
2020-09-13,23,False
2020-09-20,15,False
2020-09-27,17,False
2020-10-04,20,False
2020-10-11,15,False
2020-10-18,13,False
2020-10-25,17,False
2020-11-01,19,False
2020-11-08,27,False
2020-11-15,17,False
2020-11-22,37,False
2020-11-29,21,False
2020-12-06,19,False
2020-12-13,20,False
2020-12-20,10,False
2020-12-27,13,False
2021-01-03,11,False
2021-01-10,21,False
2021-01-17,17,False
2021-01-24,19,False
2021-01-31,17,False
2021-02-07,44,False
2021-02-14,19,False
2021-02-21,28,False
2021-02-28,36,False
2021-03-07,53,False
2021-03-14,44,False
2021-03-21,26,False
2021-03-28,71,False
2021-04-04,100,False
2021-04-11,89,False
2021-04-18,55,False
2021-04-25,45,False
2021-05-02,64,False
2021-05-09,51,False
2021-05-16,32,False
2021-05-23,47,False
2021-05-30,65,False
2021-06-06,71,False
2021-06-13,61,False
2021-06-20,33,False
2021-06-27,29,False
2021-07-04,43,False
2021-07-11,44,False
2021-07-18,36,False
2021-07-25,35,False
2021-08-01,35,False
2021-08-08,46,True
