date,CZR,isPartial
2016-08-21,7,False
2016-08-28,23,False
2016-09-04,15,False
2016-09-11,10,False
2016-09-18,29,False
2016-09-25,21,False
2016-10-02,17,False
2016-10-09,5,False
2016-10-16,10,False
2016-10-23,5,False
2016-10-30,8,False
2016-11-06,11,False
2016-11-13,16,False
2016-11-20,17,False
2016-11-27,8,False
2016-12-04,6,False
2016-12-11,23,False
2016-12-18,8,False
2016-12-25,2,False
2017-01-01,11,False
2017-01-08,6,False
2017-01-15,10,False
2017-01-22,9,False
2017-01-29,9,False
2017-02-05,9,False
2017-02-12,22,False
2017-02-19,13,False
2017-02-26,19,False
2017-03-05,4,False
2017-03-12,10,False
2017-03-19,12,False
2017-03-26,7,False
2017-04-02,10,False
2017-04-09,11,False
2017-04-16,15,False
2017-04-23,12,False
2017-04-30,10,False
2017-05-07,7,False
2017-05-14,12,False
2017-05-21,9,False
2017-05-28,17,False
2017-06-04,20,False
2017-06-11,16,False
2017-06-18,20,False
2017-06-25,14,False
2017-07-02,16,False
2017-07-09,13,False
2017-07-16,8,False
2017-07-23,16,False
2017-07-30,20,False
2017-08-06,18,False
2017-08-13,23,False
2017-08-20,12,False
2017-08-27,17,False
2017-09-03,20,False
2017-09-10,16,False
2017-09-17,12,False
2017-09-24,12,False
2017-10-01,16,False
2017-10-08,13,False
2017-10-15,18,False
2017-10-22,13,False
2017-10-29,13,False
2017-11-05,20,False
2017-11-12,16,False
2017-11-19,11,False
2017-11-26,11,False
2017-12-03,20,False
2017-12-10,11,False
2017-12-17,16,False
2017-12-24,10,False
2017-12-31,18,False
2018-01-07,14,False
2018-01-14,11,False
2018-01-21,14,False
2018-01-28,4,False
2018-02-04,21,False
2018-02-11,12,False
2018-02-18,14,False
2018-02-25,5,False
2018-03-04,19,False
2018-03-11,4,False
2018-03-18,16,False
2018-03-25,13,False
2018-04-01,13,False
2018-04-08,22,False
2018-04-15,14,False
2018-04-22,11,False
2018-04-29,22,False
2018-05-06,11,False
2018-05-13,28,False
2018-05-20,25,False
2018-05-27,35,False
2018-06-03,39,False
2018-06-10,23,False
2018-06-17,15,False
2018-06-24,10,False
2018-07-01,14,False
2018-07-08,21,False
2018-07-15,19,False
2018-07-22,18,False
2018-07-29,32,False
2018-08-05,27,False
2018-08-12,32,False
2018-08-19,22,False
2018-08-26,19,False
2018-09-02,19,False
2018-09-09,19,False
2018-09-16,17,False
2018-09-23,12,False
