date,TRMB,isPartial
2016-08-21,25,False
2016-08-28,18,False
2016-09-04,18,False
2016-09-11,6,False
2016-09-18,12,False
2016-09-25,6,False
2016-10-02,29,False
2016-10-09,12,False
2016-10-16,12,False
2016-10-23,29,False
2016-10-30,6,False
2016-11-06,40,False
2016-11-13,35,False
2016-11-20,11,False
2016-11-27,33,False
2016-12-04,11,False
2016-12-11,28,False
2016-12-18,30,False
2016-12-25,12,False
2017-01-01,29,False
2017-01-08,5,False
2017-01-15,27,False
2017-01-22,22,False
2017-01-29,48,False
2017-02-05,48,False
2017-02-12,16,False
2017-02-19,16,False
2017-02-26,16,False
2017-03-05,10,False
2017-03-12,10,False
2017-03-19,16,False
2017-03-26,16,False
2017-04-02,32,False
2017-04-09,17,False
2017-04-16,5,False
2017-04-23,54,False
2017-04-30,44,False
2017-05-07,11,False
2017-05-14,11,False
2017-05-21,12,False
2017-05-28,35,False
2017-06-04,11,False
2017-06-11,17,False
2017-06-18,11,False
2017-06-25,12,False
2017-07-02,6,False
2017-07-09,12,False
2017-07-16,18,False
2017-07-23,29,False
2017-07-30,51,False
2017-08-06,17,False
2017-08-13,11,False
2017-08-20,11,False
2017-08-27,22,False
2017-09-03,39,False
2017-09-10,22,False
2017-09-17,5,False
2017-09-24,5,False
2017-10-01,16,False
2017-10-08,11,False
2017-10-15,11,False
2017-10-22,53,False
2017-10-29,49,False
2017-11-05,21,False
2017-11-12,16,False
2017-11-19,32,False
2017-11-26,41,False
2017-12-03,32,False
2017-12-10,5,False
2017-12-17,16,False
2017-12-24,0,False
2017-12-31,17,False
2018-01-07,15,False
2018-01-14,15,False
2018-01-21,25,False
2018-01-28,20,False
2018-02-04,41,False
2018-02-11,25,False
2018-02-18,30,False
2018-02-25,15,False
2018-03-04,20,False
2018-03-11,20,False
2018-03-18,15,False
2018-03-25,5,False
2018-04-01,26,False
2018-04-08,10,False
2018-04-15,20,False
2018-04-22,31,False
2018-04-29,5,False
2018-05-06,10,False
2018-05-13,31,False
2018-05-20,0,False
2018-05-27,5,False
2018-06-03,26,False
2018-06-10,20,False
2018-06-17,10,False
2018-06-24,10,False
2018-07-01,15,False
2018-07-08,25,False
2018-07-15,31,False
2018-07-22,16,False
2018-07-29,36,False
2018-08-05,20,False
2018-08-12,21,False
2018-08-19,36,False
2018-08-26,15,False
2018-09-02,45,False
2018-09-09,25,False
2018-09-16,25,False
2018-09-23,5,False
2018-09-30,30,False
2018-10-07,5,False
2018-10-14,15,False
2018-10-21,10,False
2018-10-28,30,False
2018-11-04,10,False
2018-11-11,20,False
2018-11-18,20,False
2018-11-25,34,False
2018-12-02,35,False
2018-12-09,20,False
2018-12-16,41,False
2018-12-23,11,False
2018-12-30,16,False
2019-01-06,25,False
2019-01-13,39,False
2019-01-20,19,False
2019-01-27,10,False
2019-02-03,29,False
2019-02-10,24,False
2019-02-17,29,False
2019-02-24,19,False
2019-03-03,35,False
2019-03-10,39,False
2019-03-17,5,False
2019-03-24,20,False
2019-03-31,35,False
2019-04-07,25,False
2019-04-14,31,False
2019-04-21,15,False
2019-04-28,20,False
2019-05-05,30,False
2019-05-12,15,False
2019-05-19,39,False
2019-05-26,10,False
2019-06-02,5,False
2019-06-09,0,False
2019-06-16,5,False
2019-06-23,10,False
2019-06-30,10,False
2019-07-07,10,False
2019-07-14,15,False
2019-07-21,10,False
2019-07-28,20,False
2019-08-04,25,False
2019-08-11,30,False
2019-08-18,19,False
2019-08-25,19,False
2019-09-01,24,False
2019-09-08,37,False
2019-09-15,33,False
2019-09-22,9,False
2019-09-29,19,False
2019-10-06,28,False
2019-10-13,9,False
2019-10-20,18,False
2019-10-27,23,False
2019-11-03,5,False
2019-11-10,18,False
2019-11-17,32,False
2019-11-24,9,False
2019-12-01,9,False
2019-12-08,19,False
2019-12-15,14,False
2019-12-22,10,False
2019-12-29,38,False
2020-01-05,18,False
2020-01-12,30,False
2020-01-19,18,False
2020-01-26,31,False
2020-02-02,40,False
2020-02-09,17,False
2020-02-16,35,False
2020-02-23,34,False
2020-03-01,21,False
2020-03-08,62,False
2020-03-15,20,False
2020-03-22,60,False
2020-03-29,35,False
2020-04-05,36,False
2020-04-12,24,False
2020-04-19,16,False
2020-04-26,31,False
2020-05-03,12,False
2020-05-10,4,False
2020-05-17,36,False
2020-05-24,49,False
2020-05-31,32,False
2020-06-07,36,False
2020-06-14,12,False
2020-06-21,16,False
2020-06-28,13,False
2020-07-05,17,False
2020-07-12,17,False
2020-07-19,13,False
2020-07-26,18,False
2020-08-02,56,False
2020-08-09,30,False
2020-08-16,25,False
2020-08-23,46,False
2020-08-30,33,False
2020-09-06,25,False
2020-09-13,21,False
2020-09-20,8,False
2020-09-27,13,False
2020-10-04,34,False
2020-10-11,31,False
2020-10-18,13,False
2020-10-25,0,False
2020-11-01,29,False
2020-11-08,18,False
2020-11-15,31,False
2020-11-22,9,False
2020-11-29,43,False
2020-12-06,39,False
2020-12-13,17,False
2020-12-20,24,False
2020-12-27,0,False
2021-01-03,39,False
2021-01-10,35,False
2021-01-17,35,False
2021-01-24,26,False
2021-01-31,48,False
2021-02-07,60,False
2021-02-14,18,False
2021-02-21,34,False
2021-02-28,9,False
2021-03-07,26,False
2021-03-14,12,False
2021-03-21,30,False
2021-03-28,100,False
2021-04-04,57,False
2021-04-11,35,False
2021-04-18,44,False
2021-04-25,26,False
2021-05-02,26,False
2021-05-09,54,False
2021-05-16,9,False
2021-05-23,22,False
2021-05-30,22,False
2021-06-06,18,False
2021-06-13,9,False
2021-06-20,18,False
2021-06-27,27,False
2021-07-04,14,False
2021-07-11,14,False
2021-07-18,23,False
2021-07-25,36,False
2021-08-01,32,False
2021-08-08,5,True
