date,ABBV,isPartial
2016-08-21,8,False
2016-08-28,13,False
2016-09-04,8,False
2016-09-11,11,False
2016-09-18,10,False
2016-09-25,12,False
2016-10-02,7,False
2016-10-09,12,False
2016-10-16,6,False
2016-10-23,19,False
2016-10-30,17,False
2016-11-06,29,False
2016-11-13,30,False
2016-11-20,16,False
2016-11-27,17,False
2016-12-04,12,False
2016-12-11,13,False
2016-12-18,8,False
2016-12-25,17,False
2017-01-01,16,False
2017-01-08,24,False
2017-01-15,16,False
2017-01-22,17,False
2017-01-29,12,False
2017-02-05,19,False
2017-02-12,25,False
2017-02-19,23,False
2017-02-26,15,False
2017-03-05,17,False
2017-03-12,14,False
2017-03-19,27,False
2017-03-26,16,False
2017-04-02,16,False
2017-04-09,13,False
2017-04-16,12,False
2017-04-23,15,False
2017-04-30,20,False
2017-05-07,10,False
2017-05-14,20,False
2017-05-21,9,False
2017-05-28,12,False
2017-06-04,18,False
2017-06-11,21,False
2017-06-18,14,False
2017-06-25,11,False
2017-07-02,14,False
2017-07-09,17,False
2017-07-16,9,False
2017-07-23,13,False
2017-07-30,26,False
2017-08-06,18,False
2017-08-13,17,False
2017-08-20,19,False
2017-08-27,15,False
2017-09-03,19,False
2017-09-10,36,False
2017-09-17,16,False
2017-09-24,19,False
2017-10-01,28,False
2017-10-08,19,False
2017-10-15,25,False
2017-10-22,40,False
2017-10-29,21,False
2017-11-05,23,False
2017-11-12,23,False
2017-11-19,11,False
2017-11-26,19,False
2017-12-03,21,False
2017-12-10,15,False
2017-12-17,23,False
2017-12-24,12,False
2017-12-31,14,False
2018-01-07,35,False
2018-01-14,20,False
2018-01-21,58,False
2018-01-28,39,False
2018-02-04,35,False
2018-02-11,28,False
2018-02-18,24,False
2018-02-25,25,False
2018-03-04,38,False
2018-03-11,25,False
2018-03-18,58,False
2018-03-25,34,False
2018-04-01,22,False
2018-04-08,26,False
2018-04-15,19,False
2018-04-22,34,False
2018-04-29,34,False
2018-05-06,35,False
2018-05-13,28,False
2018-05-20,29,False
2018-05-27,30,False
2018-06-03,28,False
